Date,Rank,Team,Conf,W-L,AdjEM,AdjO,AdjO_Rk,AdjD,AdjD_Rk,AdjT,AdjT_Rk,Luck,Luck_Rk,SOS_AdjEM,SOS_AdjEM_Rk,OppO,OppO_Rk,OppD,OppD_Rk,NC_SOS_AdjEM,NC_SOS_AdjEM_Rk
2012-01-16,1,Ohio St.,B10,16-3,.9778,114.7,9,79.3,1,68.4,111,-.076,304,.6034,51,104.1,13,99.9,154,.4671,232
2012-01-16,2,Kansas,B12,14-3,.9646,113.7,13,82.3,3,69.6,52,-.003,186,.6631,12,103.4,31,96.8,11,.6359,54
2012-01-16,3,Syracuse,BE,19-0,.9641,120.0,3,87.0,10,68.0,135,+.040,90,.5888,67,102.2,87,98.7,82,.5093,187
2012-01-16,4,Wisconsin,B10,14-5,.9605,111.0,33,81.3,2,58.8,345,-.059,288,.5884,68,101.8,113,98.3,57,.4685,226
2012-01-16,5,Kentucky,SEC,17-1,.9535,115.5,8,86.0,6,68.8,88,+.023,122,.5217,157,100.1,210,99.2,107,.5012,194
2012-01-16,6,Michigan St.,B10,15-3,.9494,115.8,7,87.0,9,68.2,124,-.017,217,.6453,25,102.9,45,97.0,19,.5320,159
2012-01-16,7,Missouri,B12,16-1,.9436,122.6,2,93.1,59,68.6,99,+.032,101,.4783,223,100.8,172,101.6,265,.3449,324
2012-01-16,8,Baylor,B12,17-0,.9388,114.2,11,87.5,11,67.8,148,+.092,27,.5403,130,99.9,229,98.3,61,.4976,201
2012-01-16,9,Duke,ACC,15-2,.9322,119.8,4,92.7,49,69.8,45,+.117,12,.7372,1,106.5,2,96.3,5,.7225,16
2012-01-16,10,North Carolina,ACC,15-3,.9291,113.0,19,87.9,13,75.0,2,+.020,127,.5737,86,102.3,80,99.4,121,.5599,126
2012-01-16,11,Indiana,B10,15-3,.9289,119.4,5,92.9,55,69.4,60,+.048,75,.6311,33,102.2,89,96.9,14,.4155,282
2012-01-16,12,Florida,SEC,14-4,.9229,122.7,1,96.3,97,67.0,172,-.086,317,.5525,115,100.1,205,98.1,50,.5257,166
2012-01-16,13,Georgetown,BE,14-3,.9201,112.7,22,88.8,16,64.1,288,+.018,134,.6195,41,101.8,111,97.1,20,.4964,202
2012-01-16,14,Alabama,SEC,13-4,.9171,107.6,63,85.1,5,63.7,297,-.036,250,.6456,24,104.0,14,98.1,51,.6182,67
2012-01-16,15,Wichita St.,MVC,15-3,.9169,112.8,21,89.3,17,66.8,183,+.017,140,.5759,81,102.5,62,99.5,130,.5615,122
2012-01-16,16,California,P12,15-4,.9048,110.4,40,88.6,15,66.4,204,+.019,129,.5125,173,101.3,145,100.8,219,.4949,205
2012-01-16,17,St. Louis,A10,14-4,.9043,111.6,28,89.6,20,62.6,318,-.079,306,.4993,195,99.5,246,99.6,134,.4369,260
2012-01-16,18,New Mexico,MWC,15-2,.9030,110.0,45,88.5,14,67.2,167,+.017,139,.4559,252,99.3,259,101.0,228,.4241,278
2012-01-16,19,Nevada Las Vegas,MWC,16-3,.8996,112.9,20,91.2,33,71.3,23,+.041,88,.5961,57,101.9,105,98.1,53,.5752,108
2012-01-16,20,Brigham Young,WCC,15-4,.8969,111.1,32,90.0,22,72.8,11,-.037,252,.5031,189,101.6,121,101.5,263,.5041,190
