season,daynum,wteamname,wseed,wseed_orig,wteamid,wscore,lteamname,lseed,lseed_org,lteamid,lscore,wloc,numot,point_spread,total_games,round,round_order
1985,136,Notre Dame,7,Z07,1323,79,Oregon St,10,Z10,1333,70,N,0,9,63,Round of 64,Round of 64
1985,136,Louisiana Tech,5,Y05,1256,78,Pittsburgh,12,Y12,1338,54,N,0,24,63,Round of 64,Round of 64
1985,136,North Carolina,2,Z02,1314,76,MTSU,15,Z15,1292,57,N,0,19,63,Round of 64,Round of 64
1985,136,Georgetown,1,W01,1207,68,Lehigh,16,W16,1250,43,N,0,25,63,Round of 64,Round of 64
1985,136,Loyola-Chicago,4,W04,1260,59,Iona,13,W13,1233,58,N,0,1,63,Round of 64,Round of 64
1985,136,Kentucky,12,X12,1246,66,Washington,5,X05,1449,58,N,0,8,63,Round of 64,Round of 64
1985,136,Auburn,11,Z11,1120,59,Purdue,6,Z06,1345,58,N,0,1,63,Round of 64,Round of 64
1985,136,SMU,5,W05,1374,85,Old Dominion,12,W12,1330,68,N,0,17,63,Round of 64,Round of 64
1985,136,Kansas,3,Z03,1242,49,Ohio,14,Z14,1325,38,N,0,11,63,Round of 64,Round of 64
1985,136,Arkansas,9,X09,1116,63,Iowa,8,X08,1234,54,N,0,9,63,Round of 64,Round of 64
1985,136,Oklahoma,1,Y01,1328,96,NC A&T,16,Y16,1299,83,N,0,13,63,Round of 64,Round of 64
1985,136,Illinois St,9,Y09,1229,58,USC,8,Y08,1425,55,N,0,3,63,Round of 64,Round of 64
1985,136,UNLV,4,X04,1424,85,San Diego St,13,X13,1361,80,N,0,5,63,Round of 64,Round of 64
1985,136,St John's,1,X01,1385,83,Southern Univ,16,X16,1380,59,N,0,24,63,Round of 64,Round of 64
1985,136,Ohio St,4,Y04,1326,75,Iowa St,13,Y13,1235,64,N,0,11,63,Round of 64,Round of 64
1985,136,Temple,8,W08,1396,60,Virginia Tech,9,W09,1439,57,N,0,3,63,Round of 64,Round of 64
1985,137,Duke,3,Y03,1181,75,Pepperdine,14,Y14,1337,62,N,0,13,63,Round of 64,Round of 64
1985,137,Alabama,7,X07,1104,50,Arizona,10,X10,1112,41,N,0,9,63,Round of 64,Round of 64
1985,137,Boston College,11,Y11,1130,55,Texas Tech,6,Y06,1403,53,N,0,2,63,Round of 64,Round of 64
1985,137,Illinois,3,W03,1228,76,Northeastern,14,W14,1318,57,N,0,19,63,Round of 64,Round of 64
1985,137,NC State,3,X03,1301,65,Nevada,14,X14,1305,56,N,0,9,63,Round of 64,Round of 64
1985,137,UTEP,11,X11,1431,79,Tulsa,6,X06,1409,75,N,0,4,63,Round of 64,Round of 64
1985,137,Michigan,1,Z01,1276,59,F Dickinson,16,Z16,1192,55,N,0,4,63,Round of 64,Round of 64
1985,137,Georgia Tech,2,W02,1210,65,Mercer,15,W15,1273,58,N,0,7,63,Round of 64,Round of 64
1985,137,Georgia,6,W06,1208,67,Wichita St,11,W11,1455,59,N,0,8,63,Round of 64,Round of 64
1985,137,Maryland,5,Z05,1268,69,Miami OH,12,Z12,1275,68,N,1,1,63,Round of 64,Round of 64
1985,137,Memphis,2,Y02,1272,67,Penn,15,Y15,1335,55,N,0,12,63,Round of 64,Round of 64
1985,137,VCU,2,X02,1433,81,Marshall,15,X15,1267,65,N,0,16,63,Round of 64,Round of 64
1985,137,UAB,7,Y07,1412,70,Michigan St,10,Y10,1277,68,N,0,2,63,Round of 64,Round of 64
1985,137,Navy,13,Z13,1298,78,LSU,4,Z04,1261,55,N,0,23,63,Round of 64,Round of 64
1985,137,Syracuse,7,W07,1393,70,DePaul,10,W10,1177,65,N,0,5,63,Round of 64,Round of 64
1985,137,Villanova,8,Z08,1437,51,Dayton,9,Z09,1173,49,N,0,2,63,Round of 64,Round of 64
1985,138,Georgetown,1,W01,1207,63,Temple,8,W08,1396,46,N,0,17,63,Round of 32,Round of 32
1985,138,North Carolina,2,Z02,1314,60,Notre Dame,7,Z07,1323,58,N,0,2,63,Round of 32,Round of 32
1985,138,Loyola-Chicago,4,W04,1260,70,SMU,5,W05,1374,57,N,0,13,63,Round of 32,Round of 32
1985,138,Oklahoma,1,Y01,1328,75,Illinois St,9,Y09,1229,69,N,0,6,63,Round of 32,Round of 32
1985,138,Auburn,11,Z11,1120,66,Kansas,3,Z03,1242,64,N,0,2,63,Round of 32,Round of 32
