gameId,date,season,teamId,team,isHome,opponentId,opponent,team_points,opp_points,team_fieldGoalsMade,team_fieldGoalsAttempted,team_freeThrowsMade,team_freeThrowsAttempted,team_threePointsMade,team_threePointsAttempted,team_offensiveRebounds,team_totalRebounds,team_assists,team_turnovers,team_personalFouls,team_steals,team_blockedShots,team_fieldGoalPercentage,team_threePointPercentage,team_freeThrowPercentage,opp_fieldGoalsMade,opp_fieldGoalsAttempted,opp_freeThrowsMade,opp_freeThrowsAttempted,opp_threePointsMade,opp_threePointsAttempted,opp_offensiveRebounds,opp_totalRebounds,opp_assists,opp_turnovers,opp_personalFouls,opp_steals,opp_blockedShots,opp_fieldGoalPercentage,opp_threePointPercentage,opp_freeThrowPercentage
6515080,2026-01-01,2026,2089,CSUN,True,2093,UC Davis,66,85,24,63,9,14,9,29,9,30,13,13,14,12,2,38.1%,31.0%,64.3%,36,65,4,6,9,28,9,41,20,15,16,10,5,55.4%,32.1%,66.7%
6515080,2026-01-01,2026,2093,UC Davis,False,2089,CSUN,85,66,36,65,4,6,9,28,9,41,20,15,16,10,5,55.4%,32.1%,66.7%,24,63,9,14,9,29,9,30,13,13,14,12,2,38.1%,31.0%,64.3%
6515193,2026-01-01,2026,618,Southern Miss.,True,1551,Arkansas St.,83,91,27,60,27,33,2,18,16,47,10,29,19,8,5,45.0%,11.1%,81.8%,30,74,22,27,9,31,11,29,13,14,24,15,3,40.5%,29.0%,81.5%
6515193,2026-01-01,2026,1551,Arkansas St.,False,618,Southern Miss.,91,83,30,74,22,27,9,31,11,29,13,14,24,15,3,40.5%,29.0%,81.5%,27,60,27,33,2,18,16,47,10,29,19,8,5,45.0%,11.1%,81.8%
6515210,2026-01-01,2026,1850,Mississippi Val.,True,1856,Alabama A&M,74,72,24,63,23,33,3,23,12,38,15,28,25,17,5,38.1%,13.0%,69.7%,28,71,16,29,0,6,23,51,12,34,26,11,3,39.4%,0.0%,55.2%
6515210,2026-01-01,2026,1856,Alabama A&M,False,1850,Mississippi Val.,72,74,28,71,16,29,0,6,23,51,12,34,26,11,3,39.4%,0.0%,55.2%,24,63,23,33,3,23,12,38,15,28,25,17,5,38.1%,13.0%,69.7%
6515488,2026-01-01,2026,202147,California Baptist,True,1348,UT Arlington,85,64,33,71,12,17,7,27,16,50,11,16,25,9,3,46.5%,25.9%,70.6%,24,62,12,22,4,10,11,36,12,18,18,4,5,38.7%,40.0%,54.5%
6515488,2026-01-01,2026,1348,UT Arlington,False,202147,California Baptist,64,85,24,62,12,22,4,10,11,36,12,18,18,4,5,38.7%,40.0%,54.5%,33,71,12,17,7,27,16,50,11,16,25,9,3,46.5%,25.9%,70.6%
6515507,2026-01-01,2026,420,James Madison,True,1110,Georgia St.,84,64,29,63,18,31,8,23,18,53,18,17,18,7,3,46.0%,34.8%,58.1%,24,63,11,22,5,18,10,33,6,12,26,12,0,38.1%,27.8%,50.0%
6515507,2026-01-01,2026,1110,Georgia St.,False,420,James Madison,64,84,24,63,11,22,5,18,10,33,6,12,26,12,0,38.1%,27.8%,50.0%,29,63,18,31,8,23,18,53,18,17,18,7,3,46.0%,34.8%,58.1%
6515600,2026-01-01,2026,1972,Portland St.,True,303,Weber St.,68,58,23,62,18,21,4,16,13,44,15,11,18,4,4,37.1%,25.0%,85.7%,19,55,15,20,5,22,7,35,11,14,21,4,2,34.5%,22.7%,75.0%
6515600,2026-01-01,2026,303,Weber St.,False,1972,Portland St.,58,68,19,55,15,20,5,22,7,35,11,14,21,4,2,34.5%,22.7%,75.0%,23,62,18,21,4,16,13,44,15,11,18,4,4,37.1%,25.0%,85.7%
6515621,2026-01-01,2026,2378,FGCU,True,1638,North Ala.,51,44,17,47,11,20,6,19,13,37,7,17,11,9,4,36.2%,31.6%,55.0%,18,55,4,9,4,23,14,33,11,16,20,10,4,32.7%,17.4%,44.4%
6515621,2026-01-01,2026,1638,North Ala.,False,2378,FGCU,44,51,18,55,4,9,4,23,14,33,11,16,20,10,4,32.7%,17.4%,44.4%,17,47,11,20,6,19,13,37,7,17,11,9,4,36.2%,31.6%,55.0%
6515695,2026-01-01,2026,2658,Louisiana,True,1352,Troy,54,80,19,66,14,15,2,18,6,37,8,16,17,7,4,28.8%,11.1%,93.3%,30,81,11,15,9,24,18,60,13,15,18,8,7,37.0%,37.5%,73.3%
6515695,2026-01-01,2026,1352,Troy,False,2658,Louisiana,80,54,30,81,11,15,9,24,18,60,13,15,18,8,7,37.0%,37.5%,73.3%,19,66,14,15,2,18,6,37,8,16,17,7,4,28.8%,11.1%,93.3%
6515782,2026-01-01,2026,272,South Carolina,True,815,Alabama,83,57,32,64,14,17,5,13,10,43,15,9,12,9,4,50.0%,38.5%,82.3%,22,60,4,6,9,29,7,29,13,16,14,3,10,36.7%,31.0%,66.7%
6515782,2026-01-01,2026,815,Alabama,False,272,South Carolina,57,83,22,60,4,6,9,29,7,29,13,16,14,3,10,36.7%,31.0%,66.7%,32,64,14,17,5,13,10,43,15,9,12,9,4,50.0%,38.5%,82.3%
6515819,2026-01-01,2026,923,Old Dominion,True,50,Ga. Southern,87,84,31,72,20,27,5,19,18,53,11,18,23,9,7,43.1%,26.3%,74.1%,27,70,23,31,7,16,12,36,14,12,22,5,2,38.6%,43.8%,74.2%
6515819,2026-01-01,2026,50,Ga. Southern,False,923,Old Dominion,84,87,27,70,23,31,7,16,12,36,14,12,22,5,2,38.6%,43.8%,74.2%,31,72,20,27,5,19,18,53,11,18,23,9,7,43.1%,26.3%,74.1%
6515905,2026-01-01,2026,1345,UT Martin,True,1723,Western Ill.,86,78,31,72,19,24,5,21,7,42,14,12,26,9,1,43.1%,23.8%,79.2%,23,76,24,27,8,31,19,55,15,18,20,8,4,30.3%,25.8%,88.9%
6515905,2026-01-01,2026,1723,Western Ill.,False,1345,UT Martin,78,86,23,76,24,27,8,31,19,55,15,18,20,8,4,30.3%,25.8%,88.9%,31,72,19,24,5,21,7,42,14,12,26,9,1,43.1%,23.8%,79.2%
6515949,2026-01-01,2026,2271,North Carolina,True,2092,California,71,55,30,63,8,11,3,14,10,32,16,11,14,12,3,47.6%,21.4%,72.7%,22,52,4,5,7,19,6,29,14,22,16,4,2,42.3%,36.8%,80.0%
6515949,2026-01-01,2026,2092,California,False,2271,North Carolina,55,71,22,52,4,5,7,19,6,29,14,22,16,4,2,42.3%,36.8%,80.0%,30,63,8,11,3,14,10,32,16,11,14,12,3,47.6%,21.4%,72.7%
6516170,2026-01-01,2026,1341,Syracuse,True,47,Florida St.,82,72,30,68,18,28,4,16,22,56,16,20,14,8,9,44.1%,25.0%,64.3%,25,66,11,17,11,29,9,29,15,13,23,16,2,37.9%,37.9%,64.7%
6516170,2026-01-01,2026,47,Florida St.,False,1341,Syracuse,72,82,25,66,11,17,11,29,9,29,15,13,23,16,2,37.9%,37.9%,64.7%,30,68,18,28,4,16,22,56,16,20,14,8,9,44.1%,25.0%,64.3%
6516204,2026-01-01,2026,2624,Quinnipiac,True,762,Iona,80,54,31,54,10,10,8,16,5,25,23,12,14,11,1,57.4%,50.0%,100.0%,19,54,12,13,4,21,11,29,11,19,15,3,1,35.2%,19.1%,92.3%
6516204,2026-01-01,2026,762,Iona,False,2624,Quinnipiac,54,80,19,54,12,13,4,21,11,29,11,19,15,3,1,35.2%,19.1%,92.3%,31,54,10,10,8,16,5,25,23,12,14,11,1,57.4%,50.0%,100.0%
6516252,2026-01-01,2026,267,Siena,True,1259,Mount St. Mary's,69,59,20,61,21,27,8,28,19,51,16,22,17,12,2,32.8%,28.6%,77.8%,21,70,11,20,6,24,21,46,14,19,21,17,2,30.0%,25.0%,55.0%
6516252,2026-01-01,2026,1259,Mount St. Mary's,False,267,Siena,59,69,21,70,11,20,6,24,21,46,14,19,21,17,2,30.0%,25.0%,55.0%,20,61,21,27,8,28,19,51,16,22,17,12,2,32.8%,28.6%,77.8%
6516281,2026-01-01,2026,826,Little Rock,True,2668,Tennessee Tech,51,44,20,57,11,16,0,7,15,46,7,14,13,9,1,35.1%,0.0%,68.8%,15,57,10,16,4,21,14,39,4,17,20,7,3,26.3%,19.1%,62.5%
