Team,TeamID
A&M-Corpus Christi,2700
Abilene Christian,811
Adelphi,1171
Agnes Scott,1043
Air Force,969
Akron,2202
Alabama,815
Alabama A&M,1856
Alabama St.,2521
Alas. Anchorage,2203
Albany St. (GA),818
Alcorn,2206
Allen,1387967
American,823
Anderson (IN),862
App State,824
Apprentice,53998
Aquinas,58607
Arizona,825
Arizona St.,1182
Ark. Baptist,1388176
Ark.-Pine Bluff,2394
Arkansas,1183
Arkansas St.,1551
Arlington Baptist,8017
Army West Point,1710
Auburn,116
AUM,17524
Austin Peay,831
Ave Maria,51901
Ball St.,833
Bard,1894
Barton,2732
Baylor,121
Bellarmine,1186
Belmont,347
Benedictine Mesa,58637
Bethany (KS),53983
Bethesda (CA),54032
Bethune-Cookman,124
Biblical Stud. (TX),1388824
Binghamton,1187
Bloomfield Col.,1389389
Bloomsburg,2535
Blue Mountain (MS),100999
Bluefield Univ.,17585
Bob Jones,53526
Boise St.,473
Boston College,474
Boston U.,475
Bowling Green,1189
Bradley,1872
Brewton-Parker,54068
Bridgewater St.,841
Brown,131
Bryant,845
Bucknell,134
Buena Vista,486
Buffalo,1193
Butler,2542
BYU,129
Cal Lutheran,1768
Cal Poly,1052
Cal St. East Bay,1439
Cal St. Fullerton,1438
Cal St. Monterey Bay,320
Cal St. San Marcos,53323
Cal State LA,2
California,2092
California (PA),1440
California Baptist,202147
Calumet Col.,1371989
Campbell,1772
Canisius,1445
Carnegie Mellon,356
CarolinaU,58616
Cedarville,202142
Centenary (LA),12
Central Ark.,1896
Central Baptist,17570
Central Conn. St.,359
Central Mich.,16
Chadron St.,1584
Champion Chris.,1371991
Chapman,715
Charleston So.,1867
Charlotte,1622
Chattanooga,1343
Chestnut Hill,1381
Cheyney,1372005
Chicago St.,2419
Chico St.,9
Chris. Newport,717
Cincinnati,1075
Claflin,2387
Cleary,1388746
Clemson,2424
Cleveland St.,363
Clinton,1388521
Coastal Carolina,364
Coastal Ga.,54090
Col. of Charleston,158
Colby-Sawyer,1083
Colgate,19
Colo. Christian,2081
Colorado,1454
Colorado St.,1086
Columbia,1087
Columbia (MO),1371976
Columbia (SC),56147
Concord,1215
Concordia (TX),1000
Concordia-M'head,367
Converse,17561
Coppin St.,1456
Corban,17628
Cornell,1090
Covenant,2715
Creighton,724
Crown (MN),1393
CSU Bakersfield,699
CSUN,2089
Cumberlands (KY),53995
Dartmouth,2116
Davenport,58604
Davidson,2117
Davis & Elkins,1458
Dayton,1093
Dean,58602
Defiance,1389049
Delaware,31
Delaware St.,2119
Delta St.,2436
Denver,2122
DePaul,726
Detroit Mercy,34
Dickinson St.,17586
Dillard,54078
Dist. Columbia,730
Drake,38
Drexel,1464
Duke,1096
Duquesne,2438
East Carolina,1468
East Texas A&M,1097
Eastern Ill.,732
Eastern Ky.,1098
Eastern Mich.,1100
Eastern Ore.,54042
Eastern Wash.,1101
Ecclesia,54016
Edward Waters,1388163
Elizabeth City St.,1477
Elon,1219
Embry-Riddle (AZ),58631
Emmanuel (MA),2132
Emory & Henry,2450
Erskine,1220
ETSU,733
Evansville,383
Evergreen St.,54004
Fairfield,384
Faulkner,53525
FDU,2453
Felician,997
Ferrum,387
FGCU,2378
Fisk,54033
FIU,2136
