season,seasonLabel,teamId,team,conference,athleteId,athleteSourceId,name,position,games,starts,minutes,points,turnovers,fouls,assists,steals,blocks,offensiveRating,defensiveRating,netRating,PORPAG,usage,assistsTurnoverRatio,offensiveReboundPct,freeThrowRate,effectiveFieldGoalPct,trueShootingPct,fieldGoals.made,fieldGoals.attempted,fieldGoals.pct,twoPointFieldGoals.made,twoPointFieldGoals.attempted,twoPointFieldGoals.pct,threePointFieldGoals.made,threePointFieldGoals.attempted,threePointFieldGoals.pct,freeThrows.made,freeThrows.attempted,freeThrows.pct,rebounds.offensive,rebounds.defensive,rebounds.total,winShares.offensive,winShares.defensive,winShares.total,winShares.totalPer40
2026,20252026,63,Davidson,A-10,2330,5105866,Sean Logan,F,26,7,407,97,20,61,19,12,62,98.3,96.6,1.7,0.4,16.0,0.95,38.6,57.0,50.6,0.491,39,79,49.4,37,72,51.4,2,7,28.6,17,45,37.8,34,54,88,0.2,0.8,1.0,0.098
2026,20252026,63,Davidson,A-10,2334,5239519,Manie Joses,F,31,6,293,57,6,26,16,17,14,129.8,95.9,33.9,0.6,9.7,2.67,24.6,18.6,59.3,0.613,23,43,53.5,18,22,81.8,5,21,23.8,6,8,75.0,17,52,69,0.5,0.6,1.1,0.15
2026,20252026,63,Davidson,A-10,2335,5105613,Joe Hurlburt,F,8,1,72,13,6,10,6,1,1,89.6,101.6,-12.0,0.0,16.2,1.0,40.7,28.6,42.9,0.412,5,14,35.7,3,8,37.5,2,6,33.3,1,4,25.0,11,16,27,0.0,0.1,0.1,0.056
2026,20252026,63,Davidson,A-10,2337,5239523,Roberts Blums,G,32,0,715,398,30,47,36,19,0,118.7,105.9,12.8,3.1,27.5,1.2,17.6,25.8,58.6,0.6,136,298,45.6,59,109,54.1,77,189,40.7,49,77,63.6,19,89,108,2.2,0.8,3.0,0.168
2026,20252026,63,Davidson,A-10,2339,5174570,Hunter Adam,G,33,1,516,188,15,49,25,14,7,127.6,104.8,22.8,1.7,16.9,1.67,21.8,18.7,63.1,0.648,66,134,49.3,29,40,72.5,37,94,39.4,19,25,76.0,17,61,78,1.4,0.6,2.0,0.155
2026,20252026,63,Davidson,A-10,2340,5105870,Brock Matheny,G,6,1,14,6,1,2,0,0,0,102.7,101.9,0.8,0.1,22.5,0.0,,0.0,60.0,0.6,2,5,40.0,0,0,0.0,2,5,40.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026,20252026,63,Davidson,A-10,2343,5239521,Phillip Kavu,G,5,0,13,2,0,2,1,0,0,67.1,97.9,-30.8,-0.2,19.9,,0.0,0.0,20.0,0.2,1,5,20.0,1,4,25.0,0,1,0.0,0,0,0.0,0,1,1,0.0,0.0,0.0,0.0
2026,20252026,63,Davidson,A-10,2344,5239520,Nick Coval,G,33,3,640,210,34,60,54,13,2,118.2,108.4,9.8,1.6,17.0,1.59,13.5,35.4,58.0,0.631,70,144,48.6,43,70,61.4,27,74,36.5,43,51,84.3,7,45,52,1.3,0.6,1.9,0.119
2026,20252026,63,Davidson,A-10,2426,5182413,Sam Brown,G,32,32,758,255,38,45,71,17,4,98.6,107.8,-9.2,0.9,22.4,1.87,11.7,22.4,43.2,0.464,91,250,36.4,57,125,45.6,34,125,27.2,39,56,69.6,7,53,60,0.5,0.7,1.2,0.063
2026,20252026,63,Davidson,A-10,4560,4848644,JaQualon Roberts,F,32,0,379,85,20,49,13,20,12,101.8,101.6,0.2,0.4,14.8,0.65,50.6,59.1,46.2,0.511,30,66,45.5,29,57,50.9,1,9,11.1,24,39,61.5,39,38,77,0.3,0.6,0.9,0.095
2026,20252026,63,Davidson,A-10,4777,5176031,Josh Scovens,F,33,33,820,365,41,65,63,29,18,119.4,104.4,15.0,2.9,23.0,1.54,40.8,36.9,57.6,0.597,146,263,55.5,135,233,57.9,11,30,36.7,62,97,63.9,58,84,142,2.4,1.1,3.5,0.171
2026,20252026,63,Davidson,A-10,5769,4845382,Parker Friedrichsen,G,34,33,859,367,40,55,49,39,1,113.7,105.4,8.3,2.4,22.6,1.23,20.2,29.9,54.1,0.577,118,281,42.0,50,113,44.2,68,168,40.5,63,84,75.0,17,67,84,1.8,1.0,2.8,0.13
