season,seasonType,week,pollDate,pollType,teamId,team,conference,ranking,points,firstPlaceVotes
2010,regular,1,,AP Top 25,131,Kansas,Big 12,1.0,1612,55
2010,regular,1,,AP Top 25,169,Michigan State,Big Ten,2.0,1515,5
2010,regular,1,,AP Top 25,295,Texas,Big 12,3.0,1397,1
2010,regular,1,,AP Top 25,135,Kentucky,SEC,4.0,1372,3
2010,regular,1,,AP Top 25,338,Villanova,Big East,5.0,1347,0
2010,regular,1,,AP Top 25,200,North Carolina,ACC,6.0,1320,1
2010,regular,1,,AP Top 25,236,Purdue,Big Ten,7.0,1284,0
2010,regular,1,,AP Top 25,347,West Virginia,Big East,8.0,1115,0
2010,regular,1,,AP Top 25,72,Duke,ACC,9.0,1064,0
2010,regular,1,,AP Top 25,292,Tennessee,SEC,10.0,897,0
2010,regular,1,,AP Top 25,34,Butler,Horizon,11.0,864,0
2010,regular,1,,AP Top 25,314,UConn,Big East,12.0,844,0
2010,regular,1,,AP Top 25,40,California,Pac-12,13.0,800,0
2010,regular,1,,AP Top 25,343,Washington,Pac-12,14.0,776,0
2010,regular,1,,AP Top 25,170,Michigan,Big Ten,15.0,578,0
2010,regular,1,,AP Top 25,216,Ohio State,Big Ten,16.0,465,0
2010,regular,1,,AP Top 25,217,Oklahoma,Big 12,17.0,410,0
2010,regular,1,,AP Top 25,174,Mississippi State,SEC,18.0,393,0
2010,regular,1,,AP Top 25,150,Louisville,Big East,19.0,335,0
2010,regular,1,,AP Top 25,97,Georgetown,Big East,20.0,326,0
2010,regular,1,,AP Top 25,64,Dayton,A-10,21.0,318,0
2010,regular,1,,AP Top 25,101,Georgia Tech,ACC,22.0,301,0
2010,regular,1,,AP Top 25,118,Illinois,Big Ten,23.0,282,0
2010,regular,1,,AP Top 25,52,Clemson,ACC,24.0,217,0
2010,regular,1,,AP Top 25,173,Minnesota,Big Ten,25.0,172,0
2010,regular,1,,AP Top 25,213,Notre Dame,Big East,,107,0
2010,regular,1,,AP Top 25,177,Missouri,Big 12,,8,0
2010,regular,1,,AP Top 25,111,Holy Cross,Patriot,,1,0
2010,regular,1,,AP Top 25,18,BYU,Mountain West,,21,0
2010,regular,1,,AP Top 25,293,Texas A&M,Big 12,,10,0
2010,regular,1,,AP Top 25,209,Northern Iowa,MVC,,16,0
2010,regular,1,,AP Top 25,160,Maryland,ACC,,171,0
2010,regular,1,,AP Top 25,264,Siena,MAAC,,112,0
2010,regular,1,,AP Top 25,350,Western Kentucky,Sun Belt,,2,0
2010,regular,1,,AP Top 25,219,Old Dominion,Sun Belt,,1,0
2010,regular,1,,AP Top 25,342,Wake Forest,ACC,,50,0
2010,regular,1,,AP Top 25,286,Syracuse,Big East,,83,0
2010,regular,1,,AP Top 25,304,Tulsa,CUSA,,16,0
2010,regular,1,,AP Top 25,333,VCU,CAA,,2,0
2010,regular,1,,AP Top 25,229,Pittsburgh,Big East,,4,0
2010,regular,1,,AP Top 25,219,Old Dominion,CAA,,1,0
2010,regular,1,,AP Top 25,26,Boston College,ACC,,6,0
2010,regular,1,,AP Top 25,329,Utah State,WAC,,2,0
2010,regular,1,,AP Top 25,359,Xavier,A-10,,42,0
2010,regular,1,,AP Top 25,102,Gonzaga,WCC,,37,0
2010,regular,1,,AP Top 25,313,UCLA,Pac-12,,63,0
2010,regular,1,,AP Top 25,87,Florida,SEC,,53,0
2010,regular,1,,AP Top 25,90,Florida State,ACC,,92,0
2010,regular,1,,AP Top 25,336,Vanderbilt,SEC,,90,0
2010,regular,1,,AP Top 25,220,Ole Miss,SEC,,15,0
2010,regular,1,,AP Top 25,218,Oklahoma State,Big 12,,65,0
2010,regular,1,,AP Top 25,266,South Carolina,SEC,,28,0
2010,regular,1,,AP Top 25,132,Kansas State,Big 12,,24,0
2010,regular,1,,Coaches Poll,131,Kansas,Big 12,1.0,770,27
2010,postseason,1,,Coaches Poll,72,Duke,ACC,1.0,775,31
2010,postseason,1,,Coaches Poll,34,Butler,Horizon,2.0,739,0
2010,regular,1,,Coaches Poll,169,Michigan State,Big Ten,2.0,732,3
2010,postseason,1,,Coaches Poll,347,West Virginia,Big East,3.0,696,0
2010,regular,1,,Coaches Poll,295,Texas,Big 12,3.0,676,0
2010,regular,1,,Coaches Poll,200,North Carolina,ACC,4.0,653,1
2010,postseason,1,,Coaches Poll,169,Michigan State,Big Ten,4.0,654,0
2010,postseason,1,,Coaches Poll,135,Kentucky,SEC,5.0,650,0
2010,regular,1,,Coaches Poll,135,Kentucky,SEC,5.0,635,0
2010,postseason,1,,Coaches Poll,131,Kansas,Big 12,6.0,604,0
2010,regular,1,,Coaches Poll,338,Villanova,Big East,6.0,620,0
2010,regular,1,,Coaches Poll,236,Purdue,Big Ten,7.0,586,0
2010,postseason,1,,Coaches Poll,132,Kansas State,Big 12,7.0,573,0
2010,regular,1,,Coaches Poll,72,Duke,ACC,8.0,528,0
2010,postseason,1,,Coaches Poll,286,Syracuse,Big East,8.0,554,0
2010,regular,1,,Coaches Poll,347,West Virginia,Big East,9.0,501,0
2010,postseason,1,,Coaches Poll,292,Tennessee,SEC,9.0,494,0
2010,postseason,1,,Coaches Poll,20,Baylor,Big 12,10.0,487,0
2010,regular,1,,Coaches Poll,34,Butler,Horizon,10.0,408,0
2010,postseason,1,,Coaches Poll,216,Ohio State,Big Ten,11.0,483,0
2010,regular,1,,Coaches Poll,292,Tennessee,SEC,11.0,406,0
2010,postseason,1,,Coaches Poll,236,Purdue,Big Ten,12.0,448,0
2010,regular,1,,Coaches Poll,40,California,Pac-12,12.0,370,0
2010,postseason,1,,Coaches Poll,209,Northern Iowa,MVC,13.0,344,0
2010,regular,1,,Coaches Poll,343,Washington,Pac-12,13.0,364,0
2010,postseason,1,,Coaches Poll,359,Xavier,A-10,14.0,271,0
