Data,IPEDS ID,Year,NCAA Subdivision,FBS Conference,Total Expenses,Student-Athlete Meals (Non-Travel),Excess Transfers Back,Total Coaching Severance,Other Expenses,Medical,Competition Guarantees,Recruiting,Game Expenses and Travel,"Facilities, Debt Service, and Equipment",Coaches Compensation,Non-Coaching Athletics Staff Compensation,Athletic Student Aid,Total Revenues,Other Revenue,"Corporate Sponsorship, Advertising, Licensing",Donor Contributions,"Conference/NCAA Distributions, Media Rights, and Post-Season Football",Ticket Sales,Institutional/Government Support,Student Fees
Alabama A & M University,100654,2005,Football Championship Subdivision,,"$4,370,215.00 ",,$0.00 ,$0.00 ,"$128,579.00 ","$50,000.00 ","$10,000.00 ","$28,178.00 ","$570,295.00 ","$308,569.00 ","$1,060,948.00 ","$368,339.00 ","$1,845,307.00 ","$1,683,089.00 ","$32,200.00 ","$122,925.00 ","$12,000.00 ","$140,060.00 ","$340,938.00 ","$299,078.00 ",$0.00 
Alabama A & M University,100654,2006,Football Championship Subdivision,,"$7,811,439.00 ",,$0.00 ,$0.00 ,"$562,826.00 ","$349,608.00 ","$37,343.00 ","$20,484.00 ","$796,769.00 ","$1,914,943.00 ","$1,483,077.00 ","$581,562.00 ","$2,064,827.00 ","$9,733,550.00 ","$427,239.00 ",$0.00 ,"$27,400.00 ","$319,957.00 ","$258,534.00 ","$464,678.00 ","$7,523,202.00 "
Alabama A & M University,100654,2007,Football Championship Subdivision,,"$5,355,699.00 ",,$0.00 ,"$23,562.00 ","$179,990.00 ","$333,250.00 ","$39,000.00 ","$34,325.00 ","$508,589.00 ","$88,352.00 ","$1,795,298.00 ","$437,000.00 ","$1,916,333.00 ","$6,847,295.00 ","$107,976.00 ","$57,155.00 ","$10,000.00 ","$374,528.00 ","$418,187.00 ","$513,257.00 ","$5,221,982.00 "
Alabama A & M University,100654,2008,Football Championship Subdivision,,"$6,368,280.00 ",,$0.00 ,$0.00 ,"$290,440.00 ","$212,069.00 ","$28,200.00 ","$61,730.00 ","$1,700,330.00 ","$230,050.00 ","$1,683,784.00 ","$437,000.00 ","$1,724,677.00 ","$7,254,361.00 ","$104,848.00 ","$80,280.00 ","$22,700.00 ","$853,286.00 ","$416,893.00 ","$71,065.00 ","$5,489,968.00 "
Alabama A & M University,100654,2009,Football Championship Subdivision,,"$6,641,301.00 ",,$0.00 ,$0.00 ,"$514,363.00 ","$226,421.00 ","$43,500.00 ","$42,619.00 ","$891,479.00 ","$513,777.00 ","$1,683,784.00 ","$437,000.00 ","$2,288,358.00 ","$8,711,959.00 ","$107,226.00 ","$103,468.00 ","$70,027.00 ","$691,360.00 ","$366,542.00 ","$525,176.00 ","$6,313,560.00 "
Alabama A & M University,100654,2010,Football Championship Subdivision,,"$6,560,208.00 ",,$0.00 ,$0.00 ,"$367,069.00 ","$185,786.00 ","$23,048.00 ","$57,686.00 ","$780,217.00 ","$178,028.00 ","$1,478,326.00 ","$878,334.00 ","$2,611,714.00 ","$6,585,588.00 ","$295,436.00 ",$912.00 ,$0.00 ,"$806,786.00 ","$426,266.00 ","$620,954.00 ","$3,882,481.00 "
Alabama A & M University,100654,2011,Football Championship Subdivision,,"$6,980,583.00 ",,$0.00 ,$0.00 ,"$198,499.00 ","$177,180.00 ",$0.00 ,"$57,686.00 ","$874,612.00 ","$209,174.00 ","$1,421,107.00 ","$983,973.00 ","$3,058,352.00 ","$6,003,172.00 ","$171,078.00 ",$970.00 ,$0.00 ,"$441,805.00 ","$570,600.00 ","$305,394.00 ","$3,881,128.00 "
Alabama A & M University,100654,2012,Football Championship Subdivision,,"$6,604,394.00 ",,$0.00 ,$0.00 ,"$119,573.00 ","$152,461.00 ",$0.00 ,"$55,345.00 ","$1,193,244.00 ","$221,613.00 ","$1,297,928.00 ","$554,603.00 ","$3,009,627.00 ","$5,516,444.00 ","$243,596.00 ","$17,990.00 ",$0.00 ,"$649,080.00 ","$395,028.00 ","$468,636.00 ","$3,435,434.00 "
Alabama A & M University,100654,2013,Football Championship Subdivision,,"$7,349,658.00 ",,$0.00 ,$0.00 ,"$406,449.00 ","$195,788.00 ",$0.00 ,"$71,472.00 ","$1,303,829.00 ","$257,307.00 ","$1,420,292.00 ","$1,106,313.00 ","$2,588,208.00 ","$7,349,658.00 ","$195,443.00 ","$18,608.00 ",$0.00 ,"$938,658.00 ","$405,599.00 ","$395,190.00 ","$4,982,160.00 "
Alabama A & M University,100654,2014,Football Championship Subdivision,,"$7,240,911.00 ",,$0.00 ,$0.00 ,"$393,643.00 ","$176,769.00 ",$0.00 ,"$141,233.00 ","$899,724.00 ","$138,572.00 ","$1,741,426.00 ","$497,495.00 ","$3,252,049.00 ","$9,568,473.00 ","$316,786.00 ","$11,920.00 ","$562,730.00 ","$637,000.00 ","$322,469.00 ","$374,897.00 ","$6,928,671.00 "
Alabama A & M University,100654,2015,Football Championship Subdivision,,"$10,015,107.00 ",,$0.00 ,"$98,517.00 ","$441,749.00 ","$283,000.00 ","$3,000.00 ","$109,650.00 ","$1,494,099.00 ","$953,106.00 ","$1,765,005.00 ","$1,388,605.00 ","$3,478,376.00 ","$10,230,614.00 ","$272,960.00 ","$22,310.00 ","$497,443.00 ","$897,000.00 ","$255,888.00 ","$382,606.00 ","$7,604,580.00 "
Alabama A & M University,100654,2016,Football Championship Subdivision,,"$9,372,315.00 ",$0.00 ,$0.00 ,$0.00 ,"$384,970.00 ","$302,837.00 ","$51,500.00 ","$74,858.00 ","$1,460,189.00 ","$248,645.00 ","$1,960,281.00 ","$1,144,888.00 ","$3,744,147.00 ","$2,592,863.00 ","$366,028.00 ","$22,816.00 ","$33,500.00 ","$1,027,104.00 ","$509,673.00 ","$270,029.00 ","$38,826.00 "
Alabama A & M University,100654,2017,Football Championship Subdivision,,"$9,466,448.00 ","$15,922.00 ",$0.00 ,$0.00 ,"$333,043.00 ","$570,000.00 ","$1,000.00 ","$41,131.00 ","$1,298,908.00 ","$547,596.00 ","$2,027,633.00 ","$1,196,074.00 ","$3,435,141.00 ","$3,293,950.00 ","$248,536.00 ",$81.00 ,"$34,100.00 ","$1,589,250.00 ","$794,021.00 ","$285,239.00 ",$0.00 
Alabama A & M University,100654,2018,Football Championship Subdivision,,"$10,084,138.00 ","$15,922.00 ",$0.00 ,$0.00 ,"$409,925.00 ","$600,000.00 ",$0.00 ,"$41,131.00 ","$1,298,908.00 ","$945,510.00 ","$2,027,633.00 ","$1,196,074.00 ","$3,549,035.00 ","$10,084,138.00 ","$259,792.00 ","$53,600.00 ","$35,438.00 ","$1,348,000.00 ","$1,033,217.00 ","$289,735.00 ","$6,718,206.00 "
Alabama A & M University,100654,2019,Football Championship Subdivision,,"$12,911,716.00 ","$20,339.00 ",$0.00 ,$0.00 ,"$361,427.00 ","$232,697.00 ",$0.00 ,"$91,508.00 ","$1,588,743.00 ","$3,518,499.00 ","$2,197,868.00 ","$1,113,751.00 ","$3,786,884.00 ","$12,911,716.00 ","$354,366.00 ","$139,087.00 ","$444,741.00 ","$838,000.00 ","$196,603.00 ","$475,190.00 ","$10,141,656.00 "
