id,season,week,seasonType,startDate,completed,neutralSite,conferenceGame,venue,homeTeam,homeConference,homePoints,homeLineScores,awayTeam,awayConference,awayPoints,awayLineScores
332412579,2013,1,regular,2013-08-29T22:00:00.000Z,1,0,0,Williams-Brice Stadium,South Carolina,SEC,27,"[17, 3, 7, 0]",North Carolina,ACC,10,"[0, 7, 3, 0]"
332412309,2013,1,regular,2013-08-29T22:00:00.000Z,1,0,0,Dix Stadium,Kent State,Mid-American,17,"[7, 0, 0, 10]",Liberty,Big South,10,"[0, 3, 7, 0]"
332410154,2013,1,regular,2013-08-29T22:30:00.000Z,1,0,0,Allegacy Federal Credit Union Stadium,Wake Forest,ACC,31,"[3, 14, 7, 7]",Presbyterian,Big South,7,"[7, 0, 0, 0]"
332410135,2013,1,regular,2013-08-29T23:00:00.000Z,1,0,0,Huntington Bank Stadium,Minnesota,Big Ten,51,"[3, 13, 14, 21]",UNLV,Mountain West,23,"[6, 7, 3, 7]"
332410189,2013,1,regular,2013-08-29T23:00:00.000Z,1,0,0,Doyt L. Perry Stadium,Bowling Green,Mid-American,34,"[3, 3, 7, 21]",Tulsa,Conference USA,7,"[0, 0, 0, 7]"
332410084,2013,1,regular,2013-08-29T23:00:00.000Z,1,0,0,"Memorial Stadium (Bloomington, IN)",Indiana,Big Ten,73,"[21, 24, 21, 7]",Indiana State,MVFC,35,"[7, 14, 7, 7]"
332412116,2013,1,regular,2013-08-29T23:00:00.000Z,1,0,0,FBC Mortgage Stadium,UCF,American Athletic,38,"[14, 10, 14, 0]",Akron,Mid-American,7,"[0, 0, 0, 7]"
332412050,2013,1,regular,2013-08-29T23:00:00.000Z,1,0,0,Scheumann Stadium,Ball State,Mid-American,51,"[9, 7, 21, 14]",Illinois State,MVFC,28,"[14, 7, 0, 7]"
332412393,2013,1,regular,2013-08-29T23:30:00.000Z,1,0,0,"Johnny ""Red"" Floyd Stadium",Middle Tennessee,Conference USA,45,"[21, 10, 7, 7]",Western Carolina,Southern,24,"[0, 18, 0, 6]"
332410006,2013,1,regular,2013-08-29T23:30:00.000Z,1,1,0,Ladd Peebles Stadium,South Alabama,Sun Belt,21,"[0, 7, 7, 7]",Southern Utah,Big Sky,22,"[10, 0, 3, 9]"
332410041,2013,1,regular,2013-08-29T23:30:00.000Z,1,0,0,Pratt & Whitney Stadium,UConn,American Athletic,18,"[7, 3, 0, 8]",Towson,CAA,33,"[7, 6, 6, 14]"
332412655,2013,1,regular,2013-08-30T00:00:00.000Z,1,0,0,Caesars Superdome,Tulane,Conference USA,34,"[13, 7, 7, 7]",Jackson State,SWAC,7,"[0, 0, 0, 7]"
332410254,2013,1,regular,2013-08-30T00:00:00.000Z,1,0,0,Rice-Eccles Stadium,Utah,Pac-12,30,"[14, 0, 10, 6]",Utah State,Mountain West,26,"[3, 14, 6, 3]"
332410238,2013,1,regular,2013-08-30T01:15:00.000Z,1,0,1,FirstBank Stadium,Vanderbilt,SEC,35,"[0, 21, 7, 7]",Ole Miss,SEC,39,"[10, 0, 15, 14]"
332410023,2013,1,regular,2013-08-30T02:00:00.000Z,1,0,0,CEFCU Stadium,San José State,Mountain West,24,"[3, 14, 7, 0]",Sacramento State,Big Sky,0,"[0, 0, 0, 0]"
332410278,2013,1,regular,2013-08-30T02:30:00.000Z,1,0,0,Valley Children's Stadium,Fresno State,Mountain West,52,"[7, 14, 7, 17, 7]",Rutgers,American Athletic,51,"[10, 10, 11, 14, 6]"
332410062,2013,1,regular,2013-08-30T03:00:00.000Z,1,0,0,Aloha Stadium,Hawai'i,Mountain West,13,"[0, 5, 0, 8]",USC,Pac-12,30,"[3, 17, 0, 10]"
332420349,2013,1,regular,2013-08-30T23:00:00.000Z,1,0,0,Michie Stadium,Army,FBS Independents,28,"[14, 7, 7, 0]",Morgan State,MEAC,12,"[0, 6, 6, 0]"
332422247,2013,1,regular,2013-08-30T23:00:00.000Z,1,1,0,Georgia Dome,Georgia State,Sun Belt,21,"[7, 7, 0, 7]",Samford,Southern,31,"[7, 0, 7, 17]"
332422390,2013,1,regular,2013-08-31T00:00:00.000Z,1,0,0,Hard Rock Stadium,Miami,ACC,34,"[3, 17, 14, 0]",Florida Atlantic,Conference USA,6,"[0, 3, 3, 0]"
332420127,2013,1,regular,2013-08-31T00:00:00.000Z,1,0,0,Spartan Stadium,Michigan State,Big Ten,26,"[7, 6, 6, 7]",Western Michigan,Mid-American,13,"[0, 7, 0, 6]"
332422567,2013,1,regular,2013-08-31T00:00:00.000Z,1,0,0,Gerald J. Ford Stadium,SMU,American Athletic,23,"[3, 6, 7, 7]",Texas Tech,Big 12,41,"[3, 10, 7, 21]"
332422306,2013,1,regular,2013-08-31T00:30:00.000Z,1,0,0,Bill Snyder Family Stadium,Kansas State,Big 12,21,"[0, 7, 14, 0]",North Dakota State,MVFC,24,"[7, 0, 10, 7]"
332420248,2013,1,regular,2013-08-31T00:30:00.000Z,1,0,0,,Houston,American Athletic,62,"[10, 17, 14, 21]",Southern,SWAC,13,"[0, 6, 7, 0]"
332420012,2013,1,regular,2013-08-31T02:00:00.000Z,1,0,0,Arizona Stadium,Arizona,Pac-12,35,"[7, 7, 14, 7]",Northern Arizona,Big Sky,0,"[0, 0, 0, 0]"
332430103,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,"Alumni Stadium (Chestnut Hill, MA)",Boston College,ACC,24,"[7, 0, 14, 3]",Villanova,CAA,14,"[14, 0, 0, 0]"
332430059,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,Bobby Dodd Stadium,Georgia Tech,ACC,70,"[28, 14, 21, 7]",Elon,Southern,0,"[0, 0, 0, 0]"
332430356,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,"Memorial Stadium (Champaign, IL)",Illinois,Big Ten,42,"[3, 22, 14, 3]",Southern Illinois,MVFC,34,"[7, 0, 17, 10]"
332432132,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,Nippert Stadium,Cincinnati,American Athletic,42,"[0, 14, 14, 14]",Purdue,Big Ten,7,"[0, 7, 0, 0]"
332430275,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,Camp Randall Stadium,Wisconsin,Big Ten,45,"[10, 7, 21, 7]",Massachusetts,Mid-American,0,"[0, 0, 0, 0]"
332430277,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,Milan Puskar Stadium,West Virginia,Big 12,24,"[7, 0, 10, 7]",William & Mary,CAA,17,"[7, 10, 0, 0]"
332430194,2013,1,regular,2013-08-31T16:00:00.000Z,1,0,0,Ohio Stadium,Ohio State,Big Ten,40,"[23, 7, 7, 3]",Buffalo,Mid-American,20,"[0, 13, 7, 0]"
332430057,2013,1,regular,2013-08-31T16:21:00.000Z,1,0,0,Ben Hill Griffin Stadium,Florida,SEC,24,"[7, 10, 7, 0]",Toledo,Mid-American,6,"[0, 3, 3, 0]"
332430120,2013,1,regular,2013-08-31T16:30:00.000Z,1,0,0,SECU Stadium,Maryland,ACC,43,"[13, 27, 0, 3]",Florida International,Conference USA,10,"[3, 7, 0, 0]"
332430152,2013,1,regular,2013-08-31T16:30:00.000Z,1,0,0,Carter-Finley Stadium,NC State,ACC,40,"[14, 10, 3, 13]",Louisiana Tech,Conference USA,14,"[0, 7, 0, 7]"
332430245,2013,1,regular,2013-08-31T17:00:00.000Z,1,0,0,Kyle Field,Texas A&M,SEC,52,"[7, 21, 10, 14]",Rice,Conference USA,31,"[14, 7, 0, 10]"
332432005,2013,1,regular,2013-08-31T19:00:00.000Z,1,0,0,Falcon Stadium,Air Force,Mountain West,38,"[0, 21, 10, 7]",Colgate,Patriot,13,"[7, 0, 0, 6]"
332430130,2013,1,regular,2013-08-31T19:30:00.000Z,1,0,0,Michigan Stadium,Michigan,Big Ten,59,"[14, 21, 21, 3]",Central Michigan,Mid-American,9,"[3, 3, 0, 3]"
332430197,2013,1,regular,2013-08-31T19:30:00.000Z,1,1,0,,Oklahoma State,Big 12,21,"[0, 7, 7, 7]",Mississippi State,SEC,3,"[3, 0, 0, 0]"
332430258,2013,1,regular,2013-08-31T19:30:00.000Z,1,0,0,Scott Stadium,Virginia,ACC,19,"[0, 3, 9, 7]",BYU,FBS Independents,16,"[0, 7, 0, 9]"
332432294,2013,1,regular,2013-08-31T19:30:00.000Z,1,0,0,Kinnick Stadium,Iowa,Big Ten,27,"[7, 17, 0, 3]",Northern Illinois,Mid-American,30,"[10, 7, 3, 10]"
332430213,2013,1,regular,2013-08-31T19:30:00.000Z,1,1,0,,Penn State,Big Ten,23,"[0, 6, 7, 10]",Syracuse,ACC,17,"[0, 3, 7, 7]"
332430087,2013,1,regular,2013-08-31T19:30:00.000Z,1,0,0,Notre Dame Stadium,Notre Dame,FBS Independents,28,"[14, 7, 7, 0]",Temple,American Athletic,6,"[0, 6, 0, 0]"
332430008,2013,1,regular,2013-08-31T20:00:00.000Z,1,0,0,Razorback Stadium,Arkansas,SEC,34,"[7, 13, 14, 0]",Louisiana,Sun Belt,14,"[0, 7, 7, 0]"
332430150,2013,1,regular,2013-08-31T20:00:00.000Z,1,0,0,Wallace Wade Stadium,Duke,ACC,45,"[14, 14, 14, 3]",North Carolina Central,MEAC,0,"[0, 0, 0, 0]"
332432483,2013,1,regular,2013-08-31T20:00:00.000Z,1,0,0,Autzen Stadium,Oregon,Pac-12,66,"[24, 14, 7, 21]",Nicholls,Southland,3,"[0, 3, 0, 0]"
332430259,2013,1,regular,2013-08-31T21:30:00.000Z,1,1,0,Georgia Dome,Virginia Tech,ACC,10,"[7, 3, 0, 0]",Alabama,SEC,35,"[14, 14, 7, 0]"
332432199,2013,1,regular,2013-08-31T22:00:00.000Z,1,0,0,Rynearson Stadium,Eastern Michigan,Mid-American,34,"[0, 13, 7, 14]",Howard,MEAC,24,"[0, 10, 14, 0]"
332432633,2013,1,regular,2013-08-31T22:00:00.000Z,1,0,0,Neyland Stadium,Tennessee,SEC,45,"[21, 21, 3, 0]",Austin Peay,OVC,0,"[0, 0, 0, 0]"
332430204,2013,1,regular,2013-08-31T22:00:00.000Z,1,0,0,Reser Stadium,Oregon State,Pac-12,46,"[7, 10, 15, 14]",Eastern Washington,Big Sky,49,"[6, 23, 7, 13]"
332430276,2013,1,regular,2013-08-31T23:00:00.000Z,1,0,0,Joan C. Edwards Stadium,Marshall,Conference USA,52,"[0, 14, 21, 17]",Miami (OH),Mid-American,14,"[7, 7, 0, 0]"
332430002,2013,1,regular,2013-08-31T23:00:00.000Z,1,0,0,Jordan-Hare Stadium,Auburn,SEC,31,"[8, 17, 3, 3]",Washington State,Pac-12,24,"[7, 14, 3, 0]"
332430058,2013,1,regular,2013-08-31T23:00:00.000Z,1,0,0,Raymond James Stadium,South Florida,American Athletic,21,"[7, 0, 7, 7]",McNeese,Southland,53,"[2, 31, 10, 10]"
332430142,2013,1,regular,2013-08-31T23:00:00.000Z,1,0,0,Memorial Stadium,Missouri,SEC,58,"[13, 17, 21, 7]",Murray State,OVC,14,"[14, 0, 0, 0]"
332430151,2013,1,regular,2013-08-31T23:00:00.000Z,1,0,0,Dowdy-Ficklen Stadium,East Carolina,Conference USA,52,"[7, 14, 14, 17]",Old Dominion,,38,"[3, 14, 14, 7]"
