id,season,week,season_type,start_date,completed,neutral_site,conference_game,venue_id,venue,home_id,home_team,home_conference,home_points,away_id,away_team,away_conference,away_points
401426532,2022,1,,,1,,,,Houchens Industries-L.T. Smith Stadium,,,,,,,,
401405059,2022,1,,,1,,,,Aviva Stadium,,,,,,,,
401413256,2022,1,,,1,,,,Allegiant Stadium,,,,,,,,
401405058,2022,1,,,1,,,,"Memorial Stadium (Champaign, IL)",,,,,,,,
401404146,2022,1,,,1,,,,Maverik Stadium,,,,,,,,
401411090,2022,1,,,1,,,,Doak Campbell Stadium,,,,,,,,
401426530,2022,1,,,1,,,,FAU Stadium,,,,,,,,
401411091,2022,1,,,1,,,,Kenan Stadium,,,,,,,,
401426531,2022,1,,,1,,,,Sun Bowl,,,,,,,,
401409235,2022,1,,,1,,,,Aggie Memorial Stadium,,,,,,,,
401403853,2022,1,,,1,,,,Clarence T.C. Ching Athletics Complex,,,,,,,,
401416568,2022,1,,,1,,,,InfoCision Stadium,,,,,,,,
401416569,2022,1,,,1,,,,Boone Pickens Stadium,,,,,,,,
401441990,2022,1,,,1,,,,Glass Bowl,,,,,,,,
401426533,2022,1,,,1,,,,FIU Stadium,,,,,,,,
401415610,2022,1,,,1,,,,FBC Mortgage Stadium,,,,,,,,
401403864,2022,1,,,1,,,,Neyland Stadium,,,,,,,,
401411092,2022,1,,,1,,,,Acrisure Stadium,,,,,,,,
401411093,2022,1,,,1,,,,Allegacy Federal Credit Union Stadium,,,,,,,,
401416592,2022,1,,,1,,,,Huskie Stadium,,,,,,,,
401426537,2022,1,,,1,,,,Memorial Stadium,,,,,,,,
401405064,2022,1,,,1,,,,Ross-Ade Stadium,,,,,,,,
401426534,2022,1,,,1,,,,Protective Stadium,,,,,,,,
401405060,2022,1,,,1,,,,Huntington Bank Stadium,,,,,,,,
401403965,2022,1,,,1,,,,Mountain America Stadium,,,,,,,,
401413224,2022,1,,,1,,,,Valley Children's Stadium,,,,,,,,
401415213,2022,1,,,1,,,,CEFCU Stadium,,,,,,,,
401426535,2022,1,,,1,,,,Jerry Richardson Stadium,,,,,,,,
401426330,2022,1,,,1,,,,S.B. Ballard Stadium,,,,,,,,
401416590,2022,1,,,1,,,,Rynearson Stadium,,,,,,,,
401416591,2022,1,,,1,,,,Spartan Stadium,,,,,,,,
401411094,2022,1,,,1,,,,Wallace Wade Stadium,,,,,,,,
401404052,2022,1,,,1,,,,Memorial Stadium,,,,,,,,
401405061,2022,1,,,1,,,,"Memorial Stadium (Bloomington, IN)",,,,,,,,
401403966,2022,1,,,1,,,,Folsom Field,,,,,,,,
401405067,2022,1,,,1,,,,Michigan Stadium,,,,,,,,
401415611,2022,1,,,1,,,,Navy-Marine Corps Memorial Stadium,,,,,,,,
401405069,2022,1,,,1,,,,"Alumni Stadium (Chestnut Hill, MA)",,,,,,,,
401404147,2022,1,,,1,,,,Pratt & Whitney Stadium,,,,,,,,
401405062,2022,1,,,1,,,,Kinnick Stadium,,,,,,,,
401403865,2022,1,,,1,,,,Kyle Field,,,,,,,,
401411095,2022,1,,,1,,,,Kidd Brewer Stadium,,,,,,,,
