year,team,conference,elo,week
2012,Akron,Mid-American,945,1
2012,Alabama,SEC,2037,1
2012,App State,Southern,1327,1
2012,Arizona,Pac-12,1502,1
2012,Arkansas State,Sun Belt,1518,1
2012,Auburn,SEC,1575,1
2012,Ball State,Mid-American,1314,1
2012,Baylor,Big 12,1700,1
2012,Boise State,Mountain West,1867,1
2012,Boston College,ACC,1483,1
2012,Bowling Green,Mid-American,1323,1
2012,Buffalo,Mid-American,1253,1
2012,BYU,FBS Independents,1646,1
2012,California,Pac-12,1540,1
2012,Clemson,ACC,1607,1
2012,Colorado,Pac-12,1312,1
2012,Colorado State,Mountain West,1270,1
2012,Duke,ACC,1448,1
2012,East Carolina,Conference USA,1423,1
2012,Eastern Michigan,Mid-American,1216,1
2012,Florida,SEC,1660,1
2012,Florida International,Sun Belt,1397,1
2012,Georgia,SEC,1750,1
2012,Georgia Tech,ACC,1606,1
2012,Hawai'i,Mountain West,1355,1
2012,Houston,Conference USA,1701,1
2012,Illinois,Big Ten,1552,1
2012,Iowa,Big Ten,1594,1
2012,Iowa State,Big 12,1539,1
2012,Kentucky,SEC,1364,1
2012,Liberty,Big South,1450,1
2012,Louisville,Big East,1594,1
2012,LSU,SEC,1973,1
2012,Marshall,Conference USA,1328,1
2012,Massachusetts,Mid-American,1329,1
2012,Miami,ACC,1643,1
2012,Miami (OH),Mid-American,1332,1
2012,Michigan,Big Ten,1685,1
2012,Michigan State,Big Ten,1733,1
2012,Minnesota,Big Ten,1360,1
2012,Navy,FBS Independents,1413,1
2012,NC State,ACC,1563,1
2012,Nebraska,Big Ten,1709,1
2012,Nevada,Mountain West,1641,1
2012,Northern Illinois,Mid-American,1653,1
2012,North Texas,Sun Belt,1392,1
2012,Northwestern,Big Ten,1509,1
2012,Notre Dame,FBS Independents,1796,1
2012,Ohio,Mid-American,1505,1
2012,Ohio State,Big Ten,1774,1
2012,Oklahoma,Big 12,1825,1
2012,Oregon,Pac-12,1908,1
2012,Penn State,Big Ten,1538,1
2012,Rice,Conference USA,1233,1
2012,Rutgers,Big East,1532,1
2012,San Diego State,Mountain West,1492,1
2012,San José State,Western Athletic,1308,1
2012,SMU,Conference USA,1418,1
2012,South Alabama,Sun Belt,1457,1
2012,South Carolina,SEC,1739,1
2012,Southern Miss,Conference USA,1629,1
2012,Stanford,Pac-12,1862,1
2012,Syracuse,Big East,1443,1
2012,Tennessee,SEC,1562,1
2012,Texas,Big 12,1650,1
2012,Texas State,Western Athletic,1402,1
2012,Toledo,Mid-American,1558,1
2012,Troy,Sun Belt,1298,1
2012,Tulane,Conference USA,1142,1
2012,Tulsa,Conference USA,1599,1
2012,UAB,Conference USA,1179,1
2012,UCF,Conference USA,1611,1
2012,UCLA,Pac-12,1464,1
2012,UConn,Big East,1599,1
2012,UNLV,Mountain West,1173,1
2012,USC,Pac-12,1831,1
2012,UTEP,Conference USA,1391,1
2012,UTSA,Western Athletic,1500,1
2012,Vanderbilt,SEC,1577,1
2012,Virginia Tech,ACC,1678,1
2012,Wake Forest,ACC,1406,1
2012,Washington,Pac-12,1519,1
2012,Washington State,Pac-12,1371,1
2012,Western Michigan,Mid-American,1480,1
2012,West Virginia,Big 12,1749,1
2012,Wyoming,Mountain West,1385,1
2012,Air Force,Mountain West,1552,2
2012,Akron,Mid-American,949,2
2012,Alabama,SEC,2062,2
2012,App State,Southern,1327,2
2012,Arizona,Pac-12,1605,2
2012,Arizona State,Pac-12,1644,2
2012,Arkansas,SEC,1774,2
2012,Arkansas State,Sun Belt,1507,2
2012,Army,FBS Independents,1286,2
2012,Auburn,SEC,1538,2
2012,Ball State,Mid-American,1283,2
2012,Baylor,Big 12,1700,2
2012,Boise State,Mountain West,1867,2
2012,Boston College,ACC,1483,2
2012,Bowling Green,Mid-American,1328,2
2012,Buffalo,Mid-American,1253,2
2012,BYU,FBS Independents,1646,2
2012,California,Pac-12,1540,2
2012,Central Michigan,Mid-American,1252,2
2012,Cincinnati,Big East,1656,2
2012,Clemson,ACC,1638,2
2012,Colorado,Pac-12,1312,2
2012,Colorado State,Mountain West,1270,2
2012,Duke,ACC,1395,2
2012,East Carolina,Conference USA,1355,2
2012,Eastern Michigan,Mid-American,1216,2
2012,Florida,SEC,1668,2
2012,Florida Atlantic,Sun Belt,1082,2
2012,Florida International,Sun Belt,1393,2
2012,Fresno State,Mountain West,1388,2
2012,Georgia,SEC,1792,2
2012,Georgia State,CAA,1272,2
2012,Georgia Tech,ACC,1606,2
2012,Hawai'i,Mountain West,1355,2
2012,Houston,Conference USA,1677,2
2012,Idaho,Western Athletic,1197,2
2012,Illinois,Big Ten,1469,2
2012,Indiana,Big Ten,1384,2
2012,Iowa,Big Ten,1586,2
2012,Iowa State,Big 12,1547,2
2012,Kansas,Big 12,1209,2
2012,Kansas State,Big 12,1727,2
2012,Kent State,Mid-American,1272,2
2012,Kentucky,SEC,1455,2
2012,Liberty,Big South,1450,2
2012,Louisiana,Sun Belt,1426,2
2012,Louisiana Tech,Western Athletic,1591,2
2012,Louisville,Big East,1594,2
2012,LSU,SEC,2024,2
2012,Marshall,Conference USA,1328,2
2012,Maryland,ACC,1424,2
2012,Massachusetts,Mid-American,1201,2
2012,Memphis,Conference USA,1113,2
2012,Miami,ACC,1525,2
2012,Miami (OH),Mid-American,1332,2
2012,Michigan,Big Ten,1686,2
2012,Michigan State,Big Ten,1776,2
2012,Middle Tennessee,Sun Belt,1181,2
2012,Minnesota,Big Ten,1360,2
2012,Mississippi State,SEC,1642,2
2012,Missouri,SEC,1606,2
2012,Navy,FBS Independents,1413,2
2012,NC State,ACC,1570,2
2012,Nebraska,Big Ten,1689,2
2012,Nevada,Mountain West,1636,2
2012,New Mexico,Mountain West,1008,2
2012,New Mexico State,Western Athletic,1144,2
2012,North Carolina,ACC,1566,2
2012,Northern Illinois,Mid-American,1653,2
2012,North Texas,Sun Belt,1392,2
2012,Northwestern,Big Ten,1531,2
2012,Notre Dame,FBS Independents,1792,2
2012,Ohio,Mid-American,1538,2
2012,Ohio State,Big Ten,1791,2
2012,Oklahoma,Big 12,1825,2
2012,Oklahoma State,Big 12,1835,2
2012,Ole Miss,SEC,1372,2
2012,Oregon,Pac-12,1900,2
2012,Oregon State,Pac-12,1496,2
2012,Penn State,Big Ten,1534,2
2012,Pittsburgh,Big East,1491,2
2012,Purdue,Big Ten,1429,2
2012,Rice,Conference USA,1233,2
2012,Rutgers,Big East,1532,2
2012,San Diego State,Mountain West,1574,2
2012,San José State,Western Athletic,1308,2
2012,SMU,Conference USA,1418,2
2012,South Alabama,Sun Belt,1457,2
2012,South Carolina,SEC,1807,2
