season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2024,1,Lincoln (CA),124179,Independent DII,7.0,,,College of Idaho,108382,,45.0,,,0,-38.0
2024,1,Georgia Tech,59,ACC,24.0,1497.0,1513.0,Florida State,52,ACC,21.0,1692.0,1676.0,1,3.0
2024,1,Tarleton State,2627,UAC,26.0,,,McNeese,2377,Southland,23.0,,,0,3.0
2024,1,New Mexico,167,Mountain West,31.0,1234.0,1234.0,Montana State,147,Big Sky,35.0,,,0,-4.0
2024,1,Southeast Missouri State,2546,Big South-OVC,37.0,,,North Alabama,2453,UAC,15.0,,,0,22.0
2024,1,Norfolk State,2450,MEAC,23.0,,,Florida A&M,50,SWAC,24.0,,,0,-1.0
2024,1,Nevada,2440,Mountain West,24.0,1222.0,1243.0,SMU,2567,ACC,29.0,1690.0,1669.0,0,-5.0
2024,1,Hawai'i,62,Mountain West,35.0,1227.0,1227.0,Delaware State,2169,MEAC,14.0,,,0,21.0
2024,1,Sul Ross State,2834,Lone Star,21.0,,,West Texas A&M,2704,Lone Star,42.0,,,1,-21.0
2024,1,Northern Michigan,128,GLIAC,7.0,,,Minnesota Duluth,134,Northern Sun,35.0,,,0,-28.0
2024,1,Rutgers,164,Big Ten,44.0,1460.0,1460.0,Howard,47,MEAC,7.0,,,0,37.0
2024,1,Villanova,222,CAA,24.0,,,Youngstown State,2754,MVFC,17.0,,,0,7.0
2024,1,Morehead State,2413,Pioneer,17.0,,,Central State (OH),2119,SIAC,10.0,,,0,7.0
2024,1,Carson-Newman College,2105,South Atlantic,50.0,,,Reinhardt University,2890,,7.0,,,0,43.0
2024,1,Bowling Green,189,Mid-American,41.0,1431.0,1431.0,Fordham,2230,Patriot,17.0,,,0,24.0
2024,1,Gardner-Webb,2241,Big South-OVC,20.0,,,Wofford,2747,Southern,21.0,,,0,-1.0
2024,1,UCF,2116,Big 12,57.0,1578.0,1578.0,New Hampshire,160,CAA,3.0,,,0,54.0
2024,1,Central Michigan,2117,Mid-American,66.0,1333.0,1333.0,Central Connecticut,2115,NEC,10.0,,,0,56.0
2024,1,West Liberty,2699,Mountain East,21.0,,,Walsh,2682,Great Midwest Athletic,41.0,,,0,-20.0
2024,1,Fairmont State,2986,Mountain East,56.0,,,Seton Hill,611,Pennsylvania State Athletic,24.0,,,0,32.0
2024,1,Northwest Missouri St,138,Mid America,22.0,,,Minnesota State Mankato,2364,Northern Sun,36.0,,,0,-14.0
2024,1,UL Monroe,2433,Sun Belt,30.0,1156.0,1156.0,Jackson State,2296,SWAC,14.0,,,0,16.0
2024,1,University of Mary,559,Northern Sun,23.0,,,Jamestown College,2939,,6.0,,,0,17.0
2024,1,Minot State,568,Northern Sun,38.0,,,Valley City State,628,,7.0,,,0,31.0
2024,1,Wayne State (NE),2844,Northern Sun,49.0,,,Missouri S&T,2402,Great Lakes,17.0,,,0,32.0
2024,1,Delaware,48,CAA,48.0,,,Bryant,2803,CAA,17.0,,,1,31.0
2024,1,Edinboro University,2205,Pennsylvania State Athletic,12.0,,,East Stroudsburg University,2188,Pennsylvania State Athletic,24.0,,,1,-12.0
2024,1,Millersville,210,Pennsylvania State Athletic,7.0,,,Clarion,2134,Pennsylvania State Athletic,36.0,,,1,-29.0
2024,1,William & Mary,2729,CAA,41.0,,,VMI,2678,Southern,7.0,,,0,34.0
2024,1,Mars Hill,2369,South Atlantic,16.0,,,Delta State,2170,Gulf South,47.0,,,0,-31.0
2024,1,Buffalo,2084,Mid-American,30.0,1357.0,1357.0,Lafayette,322,Patriot,13.0,,,0,17.0
2024,1,Wake Forest,154,ACC,45.0,1431.0,1431.0,North Carolina A&T,2448,CAA,13.0,,,0,32.0
2024,1,NC State,152,ACC,38.0,1606.0,1606.0,Western Carolina,2717,Southern,21.0,,,0,17.0
2024,1,Mercer,2382,Southern,63.0,,,Presbyterian,2506,Pioneer,10.0,,,0,53.0
2024,1,Northeastern State,196,Independent DII,31.0,,,Missouri Western,137,Mid America,33.0,,,0,-2.0
2024,1,Bemidji State,132,Northern Sun,19.0,,,Michigan Tech,2392,GLIAC,13.0,,,0,6.0
2024,1,Wheeling,112335,Mountain East,25.0,,,Mercyhurst,2385,NEC,28.0,,,0,-3.0
2024,1,Drake,2181,Pioneer,0.0,,,Quincy,2825,Great Lakes,0.0,,,0,0.0
2024,1,Toledo,2649,Mid-American,49.0,1526.0,1526.0,Duquesne,2184,NEC,10.0,,,0,39.0
2024,1,Arkansas,8,SEC,70.0,1454.0,1454.0,Arkansas-Pine Bluff,2029,SWAC,0.0,,,0,70.0
2024,1,Colorado,38,Big 12,31.0,1324.0,1324.0,North Dakota State,2449,MVFC,26.0,,,0,5.0
2024,1,Missouri,142,SEC,51.0,1744.0,1744.0,Murray State,93,MVFC,0.0,,,0,51.0
2024,1,Kansas,2305,Big 12,48.0,1619.0,1619.0,Lindenwood,2815,Big South-OVC,3.0,,,0,45.0
2024,1,Stephen F. Austin,2617,Southland,77.0,,,North American University,123086,,0.0,,,0,77.0
2024,1,Minnesota,135,Big Ten,17.0,1492.0,1492.0,North Carolina,153,ACC,19.0,1546.0,1546.0,0,-2.0
2024,1,Tulsa,202,American Athletic,62.0,1248.0,1248.0,Northwestern State,2466,Southland,28.0,,,0,34.0
2024,1,Tulane,2655,American Athletic,52.0,1565.0,1565.0,SE Louisiana,2545,Southland,0.0,,,0,52.0
2024,1,Fort Hays State,2231,Mid America,21.0,,,Angelo State,2025,Lone Star,7.0,,,0,14.0
2024,1,Emporia State University,2214,Mid America,30.0,,,Washburn,2687,Mid America,14.0,,,1,16.0
2024,1,St. Thomas (MN),2900,Pioneer,13.0,,,Sioux Falls,2894,Northern Sun,34.0,,,0,-21.0
2024,1,South Dakota Mines,613,Rocky Mountain,6.0,,,CSU Pueblo,2570,Rocky Mountain,35.0,,,1,-29.0
2024,1,Texas A&M-Kingsville,2658,Lone Star,13.0,,,Colorado Mesa,11,Rocky Mountain,16.0,,,0,-3.0
2024,1,Midwestern State,2395,Lone Star,18.0,,,Missouri Southern State,2403,Mid America,11.0,,,0,7.0
2024,1,New Mexico Highlands,2424,Rocky Mountain,37.0,,,Eastern New Mexico,2201,Lone Star,63.0,,,0,-26.0
2024,1,Chadron St,2123,Rocky Mountain,6.0,,,Nebraska-Kearney,2438,Mid America,18.0,,,0,-12.0
