season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2017,7,Troy,2653,Sun Belt,8,1473.0,1427.0,South Alabama,6,Sun Belt,19,1240.0,1286.0,1,-11
2017,7,Louisiana,309,Sun Belt,24,1298.0,1302.0,Texas State,326,Sun Belt,7,923.0,919.0,1,17
2017,7,Syracuse,183,ACC,27,1410.0,1422.0,Clemson,228,ACC,24,2075.0,2063.0,1,3
2017,7,California,25,Pac-12,37,1487.0,1634.0,Washington State,265,Pac-12,3,1843.0,1696.0,1,34
2017,7,Pittsburgh,221,ACC,17,1528.0,1496.0,NC State,152,ACC,35,1638.0,1670.0,1,-18
2017,7,West Virginia,277,Big 12,46,1693.0,1704.0,Texas Tech,2641,Big 12,35,1582.0,1571.0,1,11
2017,7,Indiana,84,Big Ten,20,1557.0,1569.0,Michigan,130,Big Ten,27,1901.0,1889.0,1,-7
2017,7,Temple,218,American Athletic,24,1502.0,1467.0,UConn,41,American Athletic,28,1106.0,1141.0,1,-4
2017,7,Butler,2086,Pioneer,37,,,Jacksonville,294,Pioneer,22,,,1,15
2017,7,Presbyterian,2506,Big South,0,,,Charleston Southern,2127,Big South,7,,,1,-7
2017,7,Iowa State,66,Big 12,45,1604.0,1666.0,Kansas,2305,Big 12,0,1061.0,999.0,1,45
2017,7,Army,349,FBS Independents,28,1440.0,1437.0,Eastern Michigan,2199,Mid-American,27,1328.0,1331.0,0,1
2017,7,Duke,150,ACC,10,1509.0,1511.0,Florida State,52,ACC,17,1705.0,1703.0,1,-7
2017,7,Illinois,356,Big Ten,24,1278.0,1241.0,Rutgers,164,Big Ten,35,1137.0,1174.0,1,-11
2017,7,Colgate,2142,Patriot,38,,,Fordham,2230,Patriot,12,,,1,26
2017,7,Harvard,108,Ivy,38,,,Lafayette,322,Patriot,10,,,0,28
2017,7,Tennessee,2633,SEC,9,1529.0,1521.0,South Carolina,2579,SEC,15,1569.0,1577.0,1,-6
2017,7,Mississippi State,344,SEC,35,1631.0,1673.0,BYU,252,FBS Independents,10,1441.0,1399.0,0,25
2017,7,Louisville,97,ACC,42,1710.0,1684.0,Boston College,103,ACC,45,1386.0,1412.0,1,-3
2017,7,Lehigh,2329,Patriot,54,,,Georgetown,46,Patriot,35,,,1,19
2017,7,Brown,225,Ivy,0,,,Princeton,163,Ivy,53,,,1,-53
2017,7,Sacred Heart,2529,NEC,26,,,Dartmouth,159,Ivy,29,,,0,-3
2017,7,Stetson,56,Pioneer,28,,,Davidson,2166,Pioneer,17,,,1,11
2017,7,Yale,43,Ivy,32,,,Holy Cross,107,Patriot,0,,,0,32
2017,7,Bryant,2803,NEC,14,,,St. Francis (PA),2598,NEC,30,,,1,-16
2017,7,Dayton,2168,Pioneer,7,,,Campbell,2097,Pioneer,17,,,1,-10
2017,7,Morgan State,2415,MEAC,48,,,Savannah St,2542,MEAC,28,,,1,20
2017,7,Furman,231,Southern,42,,,VMI,2678,Southern,10,,,1,32
2017,7,Cornell,172,Ivy,18,,,Bucknell,2083,Patriot,26,,,0,-8
2017,7,Columbia,171,Ivy,34,,,Pennsylvania,219,Ivy,31,,,1,3
2017,7,North Carolina Central,2428,MEAC,24,,,Gardner-Webb,2241,Big South,17,,,0,7
2017,7,Southeast Missouri State,2546,OVC,31,,,Tennessee Tech,2635,OVC,3,,,1,28
2017,7,Delaware State,2169,MEAC,23,,,Howard,47,MEAC,52,,,1,-29
2017,7,Norfolk State,2450,MEAC,14,,,Hampton,2261,MEAC,16,,,1,-2
2017,7,Valparaiso,2674,Pioneer,49,,,Marist,2368,Pioneer,15,,,1,34
2017,7,Air Force,2005,Mountain West,34,1509.0,1506.0,UNLV,2439,Mountain West,30,1307.0,1310.0,1,4
2017,7,Marshall,276,Conference USA,35,1374.0,1444.0,Old Dominion,295,Conference USA,3,1235.0,1165.0,1,32
2017,7,Alcorn State,2016,SWAC,34,,,Prairie View A&M,2504,SWAC,21,,,1,13
2017,7,South Dakota State,2571,MVFC,18,,,Northern Iowa,2460,MVFC,38,,,1,-20
2017,7,South Dakota,233,MVFC,56,,,Indiana State,282,MVFC,6,,,1,50
2017,7,Kansas State,2306,Big 12,6,1722.0,1676.0,TCU,2628,Big 12,26,1761.0,1807.0,1,-20
2017,7,Texas Southern,2640,SWAC,16,,,Alabama State,2011,SWAC,23,,,1,-7
2017,7,Alabama A&M,2010,SWAC,49,,,Mississippi Valley State,2400,SWAC,14,,,1,35
2017,7,Florida A&M,50,MEAC,20,,,North Carolina A&T,2448,MEAC,31,,,1,-11
2017,7,Southern Illinois,79,MVFC,42,,,Illinois State,2287,MVFC,7,,,1,35
2017,7,Montana,149,Big Sky,41,,,North Dakota,155,Big Sky,17,,,1,24
2017,7,Bowling Green,189,Mid-American,30,1205.0,1179.0,Ohio,195,Mid-American,48,1377.0,1403.0,1,-18
2017,7,Delaware,48,CAA,17,,,William & Mary,2729,CAA,0,,,1,17
2017,7,James Madison,256,CAA,30,,,Villanova,222,CAA,8,,,1,22
2017,7,Maine,311,CAA,51,,,Rhode Island,227,CAA,27,,,1,24
2017,7,Western Carolina,2717,Southern,49,,,East Tennessee State,2193,Southern,10,,,1,39
2017,7,Mercer,2382,Southern,30,,,Chattanooga,236,Southern,10,,,1,20
2017,7,Arkansas-Pine Bluff,2029,SWAC,35,,,Central State (OH),2119,SIAC,40,,,0,-5
2017,7,Wisconsin,275,Big Ten,17,1927.0,1915.0,Purdue,2509,Big Ten,9,1512.0,1524.0,1,8
2017,7,Oklahoma State,197,Big 12,59,1867.0,1946.0,Baylor,239,Big 12,16,1513.0,1434.0,1,43
2017,7,LSU,99,SEC,27,1737.0,1747.0,Auburn,2,SEC,23,1961.0,1951.0,1,4
2017,7,Miami,2390,ACC,25,1790.0,1788.0,Georgia Tech,59,ACC,24,1694.0,1696.0,1,1
2017,7,Texas,251,Big 12,24,1669.0,1680.0,Oklahoma,201,Big 12,29,1937.0,1926.0,1,-5
2017,7,Central Michigan,2117,Mid-American,10,1233.0,1218.0,Toledo,2649,Mid-American,30,1568.0,1583.0,1,-20
2017,7,Buffalo,2084,Mid-American,13,1276.0,1285.0,Northern Illinois,2459,Mid-American,14,1494.0,1485.0,1,-1
2017,7,Kent State,2309,Mid-American,17,1083.0,1087.0,Miami (OH),193,Mid-American,14,1317.0,1313.0,1,3
2017,7,North Carolina,153,ACC,14,1553.0,1537.0,Virginia,258,ACC,20,1488.0,1504.0,1,-6
2017,7,Maryland,120,Big Ten,21,1335.0,1322.0,Northwestern,77,Big Ten,37,1586.0,1599.0,1,-16
2017,7,Ole Miss,145,SEC,57,1453.0,1501.0,Vanderbilt,238,SEC,35,1405.0,1357.0,1,22
2017,7,Memphis,235,American Athletic,30,1616.0,1618.0,Navy,2426,American Athletic,27,1658.0,1656.0,1,3
2017,7,Tulsa,202,American Athletic,45,1441.0,1546.0,Houston,248,American Athletic,17,1679.0,1574.0,1,28
2017,7,Oregon State,204,Pac-12,33,1226.0,1242.0,Colorado,38,Pac-12,36,1596.0,1580.0,1,-3
2017,7,Towson,119,CAA,3,,,Richmond,257,CAA,23,,,1,-20
2017,7,Jacksonville State,55,OVC,41,,,Eastern Kentucky,2198,OVC,25,,,1,16
