home_team,home_id
Abilene Christian,2000
Adams State,2001
Adrian,2003
Air Force,2005
Akron,2006
Alabama,333
Alabama A&M,2010
Alabama State,2011
Albany State GA,2013
Albion,2790
Albright,2015
Alcorn State,2016
Alfred State,3162
Alfred University,365
Allegheny,2018
Allen,2019
Alma,2800
American International,2022
Amherst,7
Anderson (IN),2023
Anderson (Sc),129469
Angelo State,2025
Anna Maria College,15
App State,2026
Apprentice School,3111
Arizona,12
Arizona State,9
Arkansas,8
Arkansas State,2032
Arkansas Tech,2033
Arkansas-Monticello,2028
Arkansas-Pine Bluff,2029
Army,349
Ashland,308
Assumption,2038
Auburn,2
Augsburg,124
Augustana (IL),2042
Augustana University (SD),2043
Aurora,2044
Austin,2045
Austin Peay,2046
Averett,2047
BYU,252
Baldwin Wallace,188
Ball State,2050
Bates,121
Baylor,239
Belhaven,2056
Beloit,266
Bemidji State,132
Benedict College,490
Benedictine University,2283
Bentley,2060
Berry College,2757
Bethany (WV),2062
Bethel (MN),2802
Bethune-Cookman,2065
Biddeford,111675
Black Hills State,2069
Bloomsburg,2071
Bluefield State,124180
Bluffton,2074
Boise State,68
Boston College,103
Bowdoin,340
Bowie State,2075
Bowling Green,189
Brevard College,2913
Bridgewater (VA),2079
Bridgewater State,18
Brockport,2781
Brown,225
Bryant,2803
Bucknell,2083
Buena Vista,63
Buffalo,2084
Buffalo State,2085
Butler,2086
CENTENARY,101442
CSU Pueblo,2570
Cal Poly,13
California,25
California Lutheran University,2094
Calvin University,129738
Campbell,2097
Capital,424
Carleton,2101
Carnegie Mellon,2102
Carroll University (WI),32
Carson-Newman College,2105
Carthage,2106
Case Western Reserve,2963
Castleton,293
Catawba,2107
Catholic,2108
Central Arkansas,2110
Central College,2964
Central Connecticut,2115
Central Michigan,2117
Central Missouri,2118
Central Oklahoma,2122
Central State (OH),2119
Central Washington,2120
Centre College Kentucky,2121
Chadron St,2123
Chapman,411
Charleston Southern,2127
Charlotte,2429
Chattanooga,236
Chicago,80
Chowan,2804
Christopher Newport,3112
Cincinnati,2132
Claremont-Mudd-Scripps College,17
Clarion,2134
Clark Atlanta,2805
Clemson,228
Coast Guard,2557
Coastal Carolina,324
Coe College,2141
Colby College,33
Colgate,2142
College Of New Jersey,2442
Colorado,38
Colorado Mesa,11
Colorado School Of Mines,2146
Colorado State,36
Columbia,171
Concord University,2148
Concordia Moorhead,2152
Concordia University Chicago,2151
Concordia University St Paul,3066
Concordia-Wisconsin,409
Cornell,172
Cornell College (IA),2155
Cortland,2782
Crown College,509
Curry College,40
Dakota State University,512
Dartmouth,159
Davenport,110254
Davidson,2166
Dayton,2168
Dean College,110438
Delaware,48
Delaware State,2169
Delaware Valley,2808
Delta State,2170
Denison University,2171
Depauw,83
Dickinson (PA),2175
Drake,2181
Dubuque,49
Duke,150
Duquesne,2184
ERSKINE,101784
East Carolina,151
East Central (OK),2191
East Stroudsburg University,2188
East Tennessee State,2193
East Texas A&M,2837
East Texas Baptist University,2194
Eastern Illinois,2197
Eastern Kentucky,2198
Eastern Michigan,2199
Eastern New Mexico,2201
Eastern Oregon,2202
Eastern University,127954
Eastern Washington,331
Edinboro University,2205
Edward Waters,2206
Elizabeth City State,2207
Elmhurst,72
Elon,2210
Emory & Henry College,2213
Emporia State University,2214
Endicott College,452
Eureka College,101
FDU-Florham,2221
Fairmont State,2986
Fayetteville State,2220
Ferris State,2222
Ferrum,366
Findlay,2224
Fitchburg State,114
Florida,57
Florida A&M,50
Florida Atlantic,2226
Florida International,2229
Florida State,52
Fordham,2230
Fort Hays State,2231
Fort Lewis,2237
Fort Valley State,2232
Framingham State,2967
Franklin,2233
Franklin & Marshall,2234
Franklin Pierce,112334
Fresno State,278
Frostburg State,341
Furman,231
Gallaudet,417
Gannon,367
Gardner-Webb,2241
Geneva,2242
Georgetown,46
Georgia,61
Georgia Southern,290
Georgia State,2247
Georgia Tech,59
Gettysburg,2248
Glenville State,2249
Grambling,2755
Grand Valley State University,125
Greeneville,2839
Greensboro College,2256
Greenville,2257
Grinnell,65
Grove City College,146
Guilford College,2258
Gustavus Adolphus,2968
Hamilton,348
Hamline University,162
Hampden-Sydney,297
Hampton,2261
Hanover College,2262
Hardin-Simmons,2810
Harding University,2264
Hartwick,173
Harvard,108
Hawai'i,62
Heidelberg,191
Henderson State,2271
Hendrix College,418
Hilbert College,125974
Hillsdale,2273
Hiram College,2274
Hobart College,174
Holy Cross,107
Hope College,2812
Houston,248
Houston Christian,2277
Howard,47
Howard Payne,2758
Huntingdon College (AL),2938
Husson,2280
Idaho,70
Idaho State,304
Illinois,356
Illinois College,2286
Illinois State,2287
Illinois Wesleyan,306
Incarnate Word,2916
Indiana,84
Indiana State,282
Indiana-Pennsylvania,2291
Indianapolis,2292
Iowa,2294
Iowa State,66
Ithaca College,175
Jackson State,2296
Jacksonville State,55
James Madison,256
Jamestown College,2939
John Carroll University,2302
Johns Hopkins University,118
Johnson C Smith,2304
Juniata College,246
Kalamazoo,126
Kansas,2305
Kansas State,2306
Kean,2871
Kennesaw State,338
Kent State,2309
Kentucky,96
Kentucky State,2310
Kentucky Wesleyan,2316
Kenyon,352
Keystone,122774
Kings College (PA),247
Knox College,255
Kutztown University,2315
LSU,99
LYONCOLL,101161
La Verne,2318
Lafayette,322
Lagrange College,548
Lake Erie,437
Lake Forest College,262
Lakeland,6353
Lamar,2320
Lane College,2323
Lawrence University,268
Lebanon Valley,388
Lehigh,2329
Lenoir-Rhyne,2331
Lewis & Clark College,2333
Liberty,2335
Lincoln (MO),2876
Lincoln (PA),2339
Lindenwood,2815
Linfield College,203
Livingstone,2940
Lock Haven University,209
Long Island University,2341
Loras College,263
Louisiana,309
Louisiana Tech,2348
Louisville,97
Luther,67
Lycoming,2354
MIT,109
Macalester,2359
Maine,311
Maine Maritime,274
Manchester,2362
Marian College,2366
Marietta,317
Marist,2368
Mars Hill,2369
Marshall,276
Martin Luther,446
Mary Hardin-Baylor,2371
Maryland,120
Maryville College (TN),2373
Mass Maritime,110
Massachusetts,113
McDaniel College,2700
McKendree,2816
McMurry,241
McNeese,2377
Memphis,235
Mercer,2382
Merchant Marine Academy,2383
Mercyhurst,2385
Merrimack,2771
Methodist,291
Miami,2390
Miami (OH),193
Michigan,130
Michigan State,127
Michigan Tech,2392
Middle Tennessee,2393
Middlebury,2394
Midwestern State,2395
Miles College,2396
Millersville,210
Millikin,74
Millsaps,2398
Minnesota,135
