season,seasontype,week,poll,rank,team,conference,firstplacevotes
2010,regular,1,AP Top 25,1,Alabama,SEC,54
2010,regular,1,AP Top 25,2,Ohio State,Big Ten,3
2010,regular,1,AP Top 25,3,Boise State,Western Athletic,1
2010,regular,1,AP Top 25,4,Florida,SEC,0
2010,regular,1,AP Top 25,5,Texas,Big 12,1
2010,regular,1,AP Top 25,6,TCU,Mountain West,0
2010,regular,1,AP Top 25,7,Oklahoma,Big 12,1
2010,regular,1,AP Top 25,8,Nebraska,Big 12,0
2010,regular,1,AP Top 25,9,Iowa,Big Ten,0
2010,regular,1,AP Top 25,10,Virginia Tech,ACC,0
2010,regular,1,AP Top 25,11,Oregon,Pac-10,0
2010,regular,1,AP Top 25,12,Wisconsin,Big Ten,0
2010,regular,1,AP Top 25,13,Miami,ACC,0
2010,regular,1,AP Top 25,14,USC,Pac-10,0
2010,regular,1,AP Top 25,15,Pittsburgh,Big East,0
2010,regular,1,AP Top 25,16,Georgia Tech,ACC,0
2010,regular,1,AP Top 25,17,Arkansas,SEC,0
2010,regular,1,AP Top 25,18,North Carolina,ACC,0
2010,regular,1,AP Top 25,19,Penn State,Big Ten,0
2010,regular,1,AP Top 25,20,Florida State,ACC,0
2010,regular,1,AP Top 25,21,LSU,SEC,0
2010,regular,1,AP Top 25,22,Auburn,SEC,0
2010,regular,1,AP Top 25,23,Georgia,SEC,0
2010,regular,1,AP Top 25,24,Oregon State,Pac-10,0
2010,regular,1,AP Top 25,25,West Virginia,Big East,0
2010,regular,1,Coaches Poll,1,Alabama,SEC,55
2010,regular,1,Coaches Poll,2,Ohio State,Big Ten,4
2010,regular,1,Coaches Poll,3,Florida,SEC,0
2010,regular,1,Coaches Poll,4,Texas,Big 12,0
2010,regular,1,Coaches Poll,5,Boise State,Western Athletic,0
2010,regular,1,Coaches Poll,6,Virginia Tech,ACC,0
2010,regular,1,Coaches Poll,7,TCU,Mountain West,0
2010,regular,1,Coaches Poll,8,Oklahoma,Big 12,0
2010,regular,1,Coaches Poll,9,Nebraska,Big 12,0
2010,regular,1,Coaches Poll,10,Iowa,Big Ten,0
2010,regular,1,Coaches Poll,11,Oregon,Pac-10,0
2010,regular,1,Coaches Poll,12,Wisconsin,Big Ten,0
2010,regular,1,Coaches Poll,13,Miami,ACC,0
2010,regular,1,Coaches Poll,14,Penn State,Big Ten,0
