season,seasontype,week,poll,rank,team,conference,points
2020,regular,1,AP Top 25,1,Clemson,ACC,1520
2020,regular,1,AP Top 25,2,Ohio State,Big Ten,1504
2020,regular,1,AP Top 25,3,Alabama,SEC,1422
2020,regular,1,AP Top 25,4,Georgia,SEC,1270
2020,regular,1,AP Top 25,5,Oklahoma,Big 12,1269
2020,regular,1,AP Top 25,6,LSU,SEC,1186
2020,regular,1,AP Top 25,7,Penn State,Big Ten,1147
2020,regular,1,AP Top 25,8,Florida,SEC,1125
2020,regular,1,AP Top 25,9,Oregon,Pac-12,1119
2020,regular,1,AP Top 25,10,Notre Dame,FBS Independents,995
2020,regular,1,AP Top 25,11,Auburn,SEC,852
2020,regular,1,AP Top 25,12,Wisconsin,Big Ten,840
2020,regular,1,AP Top 25,13,Texas A&M,SEC,764
2020,regular,1,AP Top 25,14,Texas,Big 12,703
2020,regular,1,AP Top 25,15,Oklahoma State,Big 12,672
2020,regular,1,AP Top 25,16,Michigan,Big Ten,611
2020,regular,1,AP Top 25,17,USC,Pac-12,534
2020,regular,1,AP Top 25,18,North Carolina,ACC,496
2020,regular,1,AP Top 25,19,Minnesota,Big Ten,451
2020,regular,1,AP Top 25,20,Cincinnati,American Athletic,234
2020,regular,1,AP Top 25,21,UCF,American Athletic,229
2020,regular,1,AP Top 25,22,Utah,Pac-12,211
2020,regular,1,AP Top 25,23,Iowa State,Big 12,199
2020,regular,1,AP Top 25,24,Iowa,Big Ten,134
2020,regular,1,AP Top 25,25,Tennessee,SEC,133
2020,regular,1,Coaches Poll,1,Clemson,ACC,1589
2020,regular,1,Coaches Poll,2,Ohio State,Big Ten,1555
2020,regular,1,Coaches Poll,3,Alabama,SEC,1495
2020,regular,1,Coaches Poll,4,Georgia,SEC,1345
2020,regular,1,Coaches Poll,5,LSU,SEC,1330
2020,regular,1,Coaches Poll,6,Oklahoma,Big 12,1315
2020,regular,1,Coaches Poll,7,Penn State,Big Ten,1199
2020,regular,1,Coaches Poll,8,Florida,SEC,1176
2020,regular,1,Coaches Poll,9,Oregon,Pac-12,1164
2020,regular,1,Coaches Poll,10,Notre Dame,FBS Independents,1012
2020,regular,1,Coaches Poll,11,Auburn,SEC,898
2020,regular,1,Coaches Poll,12,Wisconsin,Big Ten,887
2020,regular,1,Coaches Poll,13,Texas A&M,SEC,807
2020,regular,1,Coaches Poll,14,Texas,Big 12,703
2020,regular,1,Coaches Poll,15,Michigan,Big Ten,687
2020,regular,1,Coaches Poll,16,Oklahoma State,Big 12,524
2020,regular,1,Coaches Poll,17,USC,Pac-12,521
2020,regular,1,Coaches Poll,18,Minnesota,Big Ten,494
2020,regular,1,Coaches Poll,19,North Carolina,ACC,415
2020,regular,1,Coaches Poll,20,Utah,Pac-12,241
2020,regular,1,Coaches Poll,21,UCF,American Athletic,232
2020,regular,1,Coaches Poll,22,Cincinnati,American Athletic,229
2020,regular,1,Coaches Poll,23,Iowa,Big Ten,204
2020,regular,1,Coaches Poll,24,Virginia Tech,ACC,143
2020,regular,1,Coaches Poll,25,Iowa State,Big 12,135
2020,regular,3,AP Top 25,1,Clemson,ACC,1524
2020,regular,3,AP Top 25,2,Alabama,SEC,1456
2020,regular,3,AP Top 25,3,Oklahoma,Big 12,1361
2020,regular,3,AP Top 25,4,Georgia,SEC,1324
2020,regular,3,AP Top 25,5,Florida,SEC,1237
2020,regular,3,AP Top 25,6,LSU,SEC,1236
2020,regular,3,AP Top 25,7,Notre Dame,FBS Independents,1155
2020,regular,3,AP Top 25,8,Auburn,SEC,1055
2020,regular,3,AP Top 25,9,Texas,Big 12,1033
2020,regular,3,AP Top 25,10,Texas A&M,SEC,983
2020,regular,3,AP Top 25,11,Oklahoma State,Big 12,927
2020,regular,3,AP Top 25,12,North Carolina,ACC,892
2020,regular,3,AP Top 25,13,Cincinnati,American Athletic,647
2020,regular,3,AP Top 25,14,UCF,American Athletic,632
2020,regular,3,AP Top 25,15,Tennessee,SEC,528
2020,regular,3,AP Top 25,16,Memphis,American Athletic,495
2020,regular,3,AP Top 25,17,Miami,ACC,463
2020,regular,3,AP Top 25,18,Louisville,ACC,387
2020,regular,3,AP Top 25,19,Louisiana,Sun Belt,377
2020,regular,3,AP Top 25,20,Virginia Tech,ACC,368
2020,regular,3,AP Top 25,21,BYU,FBS Independents,357
2020,regular,3,AP Top 25,22,Army,FBS Independents,243
2020,regular,3,AP Top 25,23,Kentucky,SEC,238
2020,regular,3,AP Top 25,24,App State,Sun Belt,237
2020,regular,3,AP Top 25,25,Pittsburgh,ACC,157
2020,regular,3,Coaches Poll,1,Clemson,ACC,1020
2020,regular,3,Coaches Poll,2,Alabama,SEC,973
2020,regular,3,Coaches Poll,3,Oklahoma,Big 12,907
2020,regular,3,Coaches Poll,4,Georgia,SEC,904
2020,regular,3,Coaches Poll,5,LSU,SEC,852
2020,regular,3,Coaches Poll,6,Florida,SEC,837
2020,regular,3,Coaches Poll,7,Notre Dame,FBS Independents,760
2020,regular,3,Coaches Poll,8,Texas,Big 12,697
2020,regular,3,Coaches Poll,9,Auburn,SEC,694
2020,regular,3,Coaches Poll,10,Texas A&M,SEC,639
