season,week,seasonType,poll,rank,team,conference,firstPlaceVotes,points
2025,1,regular,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,30,773
2025,1,regular,AFCA Division II Coaches Poll,2,Harding University,Great American,0,734
2025,1,regular,AFCA Division II Coaches Poll,3,Grand Valley State University,GLIAC,0,669
2025,1,regular,AFCA Division II Coaches Poll,4,Slippery Rock,Pennsylvania State Athletic,1,576
2025,1,regular,AFCA Division II Coaches Poll,5,Central Oklahoma,Mid America,0,569
2025,1,regular,AFCA Division II Coaches Poll,6,CSU Pueblo,Rocky Mountain,0,549
2025,1,regular,AFCA Division II Coaches Poll,7,Kutztown University,Pennsylvania State Athletic,0,517
2025,1,regular,AFCA Division II Coaches Poll,8,West Florida,Gulf South,0,504
2025,1,regular,AFCA Division II Coaches Poll,9,Pittsburg St,Mid America,0,451
2025,1,regular,AFCA Division II Coaches Poll,10,Western Colorado,Rocky Mountain,0,450
2025,1,regular,AFCA Division II Coaches Poll,11,Minnesota State Mankato,Northern Sun,0,449
2025,1,regular,AFCA Division II Coaches Poll,12,Valdosta State,Gulf South,0,402
2025,1,regular,AFCA Division II Coaches Poll,13,Angelo State,Lone Star,0,352
2025,1,regular,AFCA Division II Coaches Poll,14,University Of Charleston (WV),Mountain East,0,337
2025,1,regular,AFCA Division II Coaches Poll,15,PennWest California,Pennsylvania State Athletic,0,275
2025,1,regular,AFCA Division II Coaches Poll,16,Bemidji State,Northern Sun,0,254
2025,1,regular,AFCA Division II Coaches Poll,17,Lenoir-Rhyne,South Atlantic,0,248
2025,1,regular,AFCA Division II Coaches Poll,18,Ouachita Baptist,Great American,0,246
2025,1,regular,AFCA Division II Coaches Poll,19,Virginia Union,CIAA,0,228
2025,1,regular,AFCA Division II Coaches Poll,20,Indianapolis,Great Lakes,0,191
2025,1,regular,AFCA Division II Coaches Poll,21,Central Washington,Lone Star,0,176
2025,1,regular,AFCA Division II Coaches Poll,22,Central Missouri,Mid America,0,149
2025,1,regular,AFCA Division II Coaches Poll,23,Augustana University (SD),Northern Sun,0,127
2025,1,regular,AFCA Division II Coaches Poll,24,Ashland,Great Midwest Athletic,0,114
2025,1,regular,AFCA Division II Coaches Poll,24,Miles College,SIAC,0,114
2025,1,regular,AFCA Division III Coaches Poll,1,North Central College,CCIW,51,1275
2025,1,regular,AFCA Division III Coaches Poll,2,University of Mount Union,Ohio,0,1218
2025,1,regular,AFCA Division III Coaches Poll,3,Johns Hopkins University,Centennial,0,1097
2025,1,regular,AFCA Division III Coaches Poll,4,Saint John's (MN),Minnesota,0,1058
2025,1,regular,AFCA Division III Coaches Poll,5,Susquehanna,Landmark Conference,0,1016
2025,1,regular,AFCA Division III Coaches Poll,6,Hardin-Simmons,American Southwest,0,975
2025,1,regular,AFCA Division III Coaches Poll,7,Salisbury,New Jersey,0,870
2025,1,regular,AFCA Division III Coaches Poll,8,Mary Hardin-Baylor,American Southwest,0,861
2025,1,regular,AFCA Division III Coaches Poll,9,Wartburg,American Rivers,0,811
