season,week,seasontype,poll,rank,team,conference,firstPlaceVotes,points
2026,1,regular,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,31,775
2026,1,regular,AFCA Division II Coaches Poll,2,Harding,Great American,0,738
2026,1,regular,AFCA Division II Coaches Poll,3,Kutztown,Pennsylvania State Athletic,0,684
2026,1,regular,AFCA Division II Coaches Poll,4,Pittsburg State,Mid America,0,647
2026,1,regular,AFCA Division II Coaches Poll,5,Minnesota State,Northern Sun,0,587
2026,1,regular,AFCA Division II Coaches Poll,6,CSU Pueblo,Rocky Mountain,0,581
2026,1,regular,AFCA Division II Coaches Poll,7,Central Washington,Lone Star,0,478
2026,1,regular,AFCA Division II Coaches Poll,8,Northwest Missouri State,Mid America,0,470
2026,1,regular,AFCA Division II Coaches Poll,9,Grand Valley State,GLIAC,0,451
2026,1,regular,AFCA Division II Coaches Poll,9,Indianapolis,Great Lakes,0,451
2026,1,regular,AFCA Division II Coaches Poll,11,Western Colorado,Rocky Mountain,0,379
2026,1,regular,AFCA Division II Coaches Poll,12,Minnesota Duluth,Northern Sun,0,372
2026,1,regular,AFCA Division II Coaches Poll,13,Ashland,Great Midwest Athletic,0,328
2026,1,regular,AFCA Division II Coaches Poll,14,Virginia Union,CIAA,0,318
2026,1,regular,AFCA Division II Coaches Poll,15,Newberry,South Atlantic,0,276
2026,1,regular,AFCA Division II Coaches Poll,16,Findlay,Great Midwest Athletic,0,250
2026,1,regular,AFCA Division II Coaches Poll,17,Frostburg State,Mountain East,0,228
2026,1,regular,AFCA Division II Coaches Poll,18,UT Permian Basin,Lone Star,0,197
2026,1,regular,AFCA Division II Coaches Poll,19,Wingate,South Atlantic,0,183
2026,1,regular,AFCA Division II Coaches Poll,20,Augustana (SD),Northern Sun,0,181
2026,1,regular,AFCA Division II Coaches Poll,21,Albany State,SIAC,0,172
2026,1,regular,AFCA Division II Coaches Poll,22,Western Oregon,Lone Star,0,165
2026,1,regular,AFCA Division II Coaches Poll,23,Johnson C. Smith,CIAA,0,159
2026,1,regular,AFCA Division II Coaches Poll,24,Ouachita Baptist,Great American,0,146
2026,1,regular,AFCA Division II Coaches Poll,25,IU Pennsylvania,Pennsylvania State Athletic,0,97
2026,1,regular,AFCA Division III Coaches Poll,1,North Central College,CCIW,50,1322
2026,1,regular,AFCA Division III Coaches Poll,2,Bethel (MN),Minnesota,0,1228
2026,1,regular,AFCA Division III Coaches Poll,3,Mount Union,Ohio,0,1202
2026,1,regular,AFCA Division III Coaches Poll,4,Johns Hopkins,Centennial,0,1162
2026,1,regular,AFCA Division III Coaches Poll,5,Wheaton (IL),CCIW,0,1030
2026,1,regular,AFCA Division III Coaches Poll,6,Wisconsin Platteville,Wisconsin,0,1025
2026,1,regular,AFCA Division III Coaches Poll,7,Wisconsin River Falls,Wisconsin,3,961
2026,1,regular,AFCA Division III Coaches Poll,8,John Carroll,Ohio,0,930
2026,1,regular,AFCA Division III Coaches Poll,9,Wartburg,American Rivers,0,904
2026,1,regular,AFCA Division III Coaches Poll,10,Wisconsin La Crosse,Wisconsin,0,836
2026,1,regular,AFCA Division III Coaches Poll,11,Saint John's (MN),Minnesota,0,835
2026,1,regular,AFCA Division III Coaches Poll,12,Wisconsin Whitewater,Wisconsin,0,666
2026,1,regular,AFCA Division III Coaches Poll,13,DePauw,North Coast,0,627
2026,1,regular,AFCA Division III Coaches Poll,14,Trinity (TX),Southern Athletic,0,617
2026,1,regular,AFCA Division III Coaches Poll,15,Berry,Southern Athletic,0,567
2026,1,regular,AFCA Division III Coaches Poll,16,Hardin Simmons,American Southwest,0,563
2026,1,regular,AFCA Division III Coaches Poll,17,Salisbury,New Jersey,0,482
2026,1,regular,AFCA Division III Coaches Poll,18,Christopher Newport,New Jersey,0,382
2026,1,regular,AFCA Division III Coaches Poll,19,Hope,Michigan,0,351
2026,1,regular,AFCA Division III Coaches Poll,20,Mary Hardin Baylor,American Southwest,0,305
2026,1,regular,AFCA Division III Coaches Poll,21,Susquehanna,Landmark Conference,0,272
2026,1,regular,AFCA Division III Coaches Poll,22,Coe,American Rivers,0,177
2026,1,regular,AFCA Division III Coaches Poll,23,Randolph Macon,Old Dominion,0,137
2026,1,regular,AFCA Division III Coaches Poll,24,Endicott,Commonwealth Coast,0,119
2026,1,regular,AFCA Division III Coaches Poll,25,SUNY Cortland,Empire 8,0,112
2026,1,regular,AP Top 25,1,Ohio State,Big Ten,40,1672
2026,1,regular,AP Top 25,2,Oregon,Big Ten,14,1597
2026,1,regular,AP Top 25,3,Georgia,SEC,0,1513
2026,1,regular,AP Top 25,4,Notre Dame,FBS Independents,6,1510
2026,1,regular,AP Top 25,5,Texas,SEC,0,1483
2026,1,regular,AP Top 25,6,Indiana,Big Ten,8,1440
2026,1,regular,AP Top 25,7,Miami,ACC,1,1379
2026,1,regular,AP Top 25,8,Texas A&M,SEC,0,1131
2026,1,regular,AP Top 25,9,Ole Miss,SEC,0,1102
2026,1,regular,AP Top 25,10,Oklahoma,SEC,0,1047
2026,1,regular,AP Top 25,11,LSU,SEC,0,988
2026,1,regular,AP Top 25,12,Texas Tech,Big 12,0,983
2026,1,regular,AP Top 25,13,Alabama,SEC,0,904
2026,1,regular,AP Top 25,14,USC,Big Ten,0,839
2026,1,regular,AP Top 25,14,BYU,Big 12,0,839
2026,1,regular,AP Top 25,16,Michigan,Big Ten,0,718
2026,1,regular,AP Top 25,17,Washington,Big Ten,0,501
2026,1,regular,AP Top 25,18,Penn State,Big Ten,0,482
2026,1,regular,AP Top 25,19,SMU,ACC,0,434
2026,1,regular,AP Top 25,20,Tennessee,SEC,0,394
2026,1,regular,AP Top 25,21,Utah,Big 12,0,304
2026,1,regular,AP Top 25,22,Iowa,Big Ten,0,260
2026,1,regular,AP Top 25,23,Houston,Big 12,0,252
2026,1,regular,AP Top 25,24,Louisville,ACC,0,194
2026,1,regular,AP Top 25,25,Missouri,SEC,0,117
2026,1,regular,Coaches Poll,1,Ohio State,Big Ten,38,1741
2026,1,regular,Coaches Poll,2,Oregon,Big Ten,6,1637
2026,1,regular,Coaches Poll,3,Georgia,SEC,7,1591
2026,1,regular,Coaches Poll,4,Texas,SEC,2,1544
2026,1,regular,Coaches Poll,5,Notre Dame,FBS Independents,5,1524
2026,1,regular,Coaches Poll,6,Indiana,Big Ten,14,1522
2026,1,regular,Coaches Poll,7,Miami,ACC,0,1409
2026,1,regular,Coaches Poll,8,Texas A&M,SEC,0,1174
2026,1,regular,Coaches Poll,9,Oklahoma,SEC,0,1104
2026,1,regular,Coaches Poll,10,Ole Miss,SEC,0,1096
2026,1,regular,Coaches Poll,11,Alabama,SEC,0,1050
2026,1,regular,Coaches Poll,12,Texas Tech,Big 12,0,1034
2026,1,regular,Coaches Poll,13,LSU,SEC,0,951
2026,1,regular,Coaches Poll,14,USC,Big Ten,0,838
2026,1,regular,Coaches Poll,15,BYU,Big 12,0,781
2026,1,regular,Coaches Poll,16,Michigan,Big Ten,0,719
2026,1,regular,Coaches Poll,17,Penn State,Big Ten,0,463
2026,1,regular,Coaches Poll,18,Tennessee,SEC,0,428
2026,1,regular,Coaches Poll,19,Washington,Big Ten,0,406
2026,1,regular,Coaches Poll,20,SMU,ACC,0,378
2026,1,regular,Coaches Poll,21,Utah,Big 12,0,313
2026,1,regular,Coaches Poll,22,Iowa,Big Ten,0,291
2026,1,regular,Coaches Poll,23,Clemson,ACC,0,235
2026,1,regular,Coaches Poll,24,Houston,Big 12,0,194
2026,1,regular,Coaches Poll,25,Missouri,SEC,0,158
2026,1,regular,FCS Coaches Poll,1,Montana State,Big Sky,25,649
2026,1,regular,FCS Coaches Poll,2,Montana,Big Sky,0,605
2026,1,regular,FCS Coaches Poll,3,South Dakota State,MVFC,1,591
2026,1,regular,FCS Coaches Poll,4,Illinois State,MVFC,0,553
2026,1,regular,FCS Coaches Poll,5,Tarleton State,UAC,0,527
2026,1,regular,FCS Coaches Poll,6,UC Davis,Big Sky,0,498
2026,1,regular,FCS Coaches Poll,7,Villanova,Patriot,0,448
2026,1,regular,FCS Coaches Poll,8,Rhode Island,Coastal Athletic,0,434
2026,1,regular,FCS Coaches Poll,9,Youngstown State,MVFC,0,428
2026,1,regular,FCS Coaches Poll,10,North Dakota,MVFC,0,396
2026,1,regular,FCS Coaches Poll,11,Lehigh,Patriot,0,359
2026,1,regular,FCS Coaches Poll,12,South Dakota,MVFC,0,347
2026,1,regular,FCS Coaches Poll,13,Stephen F. Austin,Southland,0,313
2026,1,regular,FCS Coaches Poll,14,Abilene Christian,UAC,0,295
2026,1,regular,FCS Coaches Poll,15,Tennessee Tech,Southern,0,294
2026,1,regular,FCS Coaches Poll,16,Southern Illinois,MVFC,0,231
2026,1,regular,FCS Coaches Poll,17,Mercer,Southern,0,189
2026,1,regular,FCS Coaches Poll,18,Austin Peay,UAC,0,186
2026,1,regular,FCS Coaches Poll,19,Yale,Ivy,0,164
2026,1,regular,FCS Coaches Poll,20,SE Louisiana,Southland,0,160
2026,1,regular,FCS Coaches Poll,21,Lamar,Southland,0,133
2026,1,regular,FCS Coaches Poll,22,UT Martin,OVC,0,123
2026,1,regular,FCS Coaches Poll,23,Monmouth,Coastal Athletic,0,105
2026,1,regular,FCS Coaches Poll,24,Northern Arizona,Big Sky,0,67
2026,1,regular,FCS Coaches Poll,25,South Carolina State,MEAC,0,63
