game_id,season,week,neutral_site,conference_game,attendance,home_team,home_team_id,home_conference,home_points,away_team,away_team_id,away_conference,away_points
63771,2001,9,False,True,,Louisville,97,Conference USA,24,Southern Miss,2572,Conference USA,14
63772,2001,9,False,,,Washington State,265,Pac-10,53,Montana State,147,,28
63773,2001,9,False,True,,Fresno State,278,Western Athletic,30,Boise State,68,Western Athletic,35
63806,2001,9,False,,,Ohio State,194,Big Ten,27,San Diego State,21,Mountain West,12
63805,2001,9,False,,,Notre Dame,87,FBS Independents,27,USC,30,Pac-10,16
63803,2001,9,False,True,,North Texas,249,Sun Belt,45,Arkansas State,2032,Sun Belt,0
63794,2001,9,False,True,,Mississippi State,344,SEC,0,LSU,99,SEC,42
63793,2001,9,False,True,,Idaho,70,Sun Belt,37,Louisiana,309,Sun Belt,54
63792,2001,9,False,True,,Kent State,2309,Mid-American,35,Buffalo,2084,Mid-American,13
63791,2001,9,False,True,,Iowa State,66,Big 12,28,Oklahoma State,197,Big 12,14
63790,2001,9,False,True,,Iowa,2294,Big Ten,42,Indiana,84,Big Ten,28
63789,2001,9,False,True,,Illinois,356,Big Ten,42,Wisconsin,275,Big Ten,35
63788,2001,9,False,True,,Tulsa,202,Western Athletic,15,Hawai'i,62,Western Athletic,36
63787,2001,9,False,True,,Georgia Tech,59,ACC,27,NC State,152,ACC,17
63786,2001,9,False,True,,Georgia,61,SEC,43,Kentucky,96,SEC,29
63785,2001,9,False,True,,Virginia,258,ACC,7,Florida State,52,ACC,43
63784,2001,9,False,True,,East Carolina,151,Conference USA,32,Memphis,235,Conference USA,11
63783,2001,9,False,True,,UNLV,2439,Mountain West,24,Colorado State,36,Mountain West,26
63782,2001,9,False,True,,Houston,248,Conference USA,28,Cincinnati,2132,Conference USA,29
63781,2001,9,False,,,UCF,2116,FBS Independents,38,UL Monroe,2433,Sun Belt,6
63780,2001,9,False,True,,BYU,252,Mountain West,63,Air Force,2005,Mountain West,33
63779,2001,9,False,True,,Akron,2006,Mid-American,11,Bowling Green,189,Mid-American,16
63778,2001,9,False,True,,Boston College,103,Big East,45,Pittsburgh,221,Big East,7
63777,2001,9,False,True,,Ball State,2050,Mid-American,24,Toledo,2649,Mid-American,20
63776,2001,9,False,,,Auburn,2,SEC,48,Louisiana Tech,2348,Western Athletic,41
63775,2001,9,False,True,,Arizona State,9,Pac-10,41,Oregon State,204,Pac-10,24
63774,2001,9,False,True,,UAB,5,Conference USA,34,Tulane,2655,Conference USA,27
63797,2001,9,False,True,,Ohio,195,Mid-American,24,Miami (OH),193,Mid-American,36
63799,2001,9,False,,,Ole Miss,145,SEC,45,Middle Tennessee,2393,Sun Belt,17
63800,2001,9,False,True,,Kansas,2305,Big 12,34,Missouri,142,Big 12,38
63821,2001,9,False,True,,UCLA,26,Pac-10,56,California,25,Pac-10,17
63816,2001,9,False,True,,Alabama,333,SEC,24,Tennessee,2633,SEC,35
63812,2001,9,False,True,,South Carolina,2579,SEC,46,Vanderbilt,238,SEC,14
63811,2001,9,False,True,,UTEP,2638,Western Athletic,28,San José State,23,Western Athletic,40
63809,2001,9,False,True,,Rice,242,Western Athletic,33,Nevada,2440,Western Athletic,30
63807,2001,9,False,True,,Oklahoma,201,Big 12,33,Baylor,239,Big 12,17
63804,2001,9,False,True,,Northern Illinois,2459,Mid-American,20,Western Michigan,2711,Mid-American,12
63802,2001,9,False,True,,Clemson,228,ACC,3,North Carolina,153,ACC,38
63801,2001,9,False,True,,Nebraska,158,Big 12,41,Texas Tech,2641,Big 12,31
63798,2001,9,False,True,,Minnesota,135,Big Ten,28,Michigan State,127,Big Ten,19
63796,2001,9,False,True,,Maryland,120,ACC,59,Duke,150,ACC,17
63795,2001,9,False,True,,Marshall,276,Mid-American,42,Central Michigan,2117,Mid-American,21
63824,2001,9,False,True,,Washington,264,Pac-10,31,Arizona,12,Pac-10,28
63823,2001,9,False,,,Utah State,328,FBS Independents,28,Idaho State,304,,27
63822,2001,9,False,True,,Utah,254,Mountain West,35,Wyoming,2751,Mountain West,0
63820,2001,9,False,,,Troy,2653,FBS Independents,44,Cal State Northridge,1000887,,31
63819,2001,9,False,True,,TCU,2628,Conference USA,38,Army,349,Conference USA,20
63818,2001,9,False,True,,Kansas State,2306,Big 12,24,Texas A&M,245,Big 12,31
63817,2001,9,False,True,,Texas,251,Big 12,41,Colorado,38,Big 12,7
63815,2001,9,False,True,,Syracuse,183,Big East,45,Temple,218,Big East,3
63813,2001,9,False,,,South Florida,58,FBS Independents,42,Southern Utah,253,,12
63814,2001,9,False,True,,Oregon,2483,Pac-10,42,Stanford,24,Pac-10,49
63810,2001,9,False,,,Rutgers,164,Big East,23,Navy,2426,FBS Independents,17
63808,2001,9,False,True,,Northwestern,77,Big Ten,35,Penn State,213,Big Ten,38
