game_id,season,week,neutral_site,conference_game,attendance,home_team,home_team_id,home_conference,home_points,away_team,away_team_id,away_conference,away_points
222340258,2002,1,False,True,57120,Virginia,258,ACC,29,Colorado State,36,Mountain West,35
222350275,2002,1,False,False,75136,Wisconsin,275,Big Ten,23,Fresno State,278,Western Athletic,21
222360194,2002,1,False,False,100037,Ohio State,194,Big Ten,45,Texas Tech,2641,Big 12,21
222360152,2002,1,False,True,47018,NC State,152,ACC,34,New Mexico,167,Mountain West,14
222360158,2002,1,False,False,77779,Nebraska,158,Big 12,48,Arizona State,9,Pac-10,10
222360066,2002,1,False,False,55132,Iowa State,66,Big 12,31,Florida State,52,ACC,38
222370259,2002,1,False,False,54016,Virginia Tech,259,Big East,63,Arkansas State,2032,Sun Belt,7
222970228,2002,10,False,True,74000,Clemson,228,ACC,6,NC State,152,ACC,38
222970036,2002,10,False,True,29457,Colorado State,36,Mountain West,37,BYU,252,Mountain West,10
222980278,2002,10,False,True,37615,Fresno State,278,Western Athletic,21,Hawai'i,62,Western Athletic,31
222990052,2002,10,False,False,84106,Florida State,52,ACC,24,Notre Dame,87,FBS Independents,34
222990154,2002,10,False,True,31476,Wake Forest,154,ACC,31,North Carolina,153,ACC,0
222990077,2002,10,False,True,30158,Northwestern,77,Big Ten,13,Purdue,2509,Big Ten,42
222990277,2002,10,False,True,56817,West Virginia,277,Big East,23,Miami,2390,Big East,40
222990221,2002,10,False,True,45060,Pittsburgh,221,Big East,19,Boston College,103,Big East,16
222990130,2002,10,False,True,111496,Michigan,130,Big Ten,9,Iowa,2294,Big Ten,34
222990002,2002,10,False,True,85366,Auburn,2,SEC,31,LSU,99,SEC,7
222992711,2002,10,False,True,15049,Western Michigan,2711,Mid-American,20,Northern Illinois,2459,Mid-American,24
222990259,2002,10,False,True,64937,Virginia Tech,259,Big East,20,Temple,218,Big East,10
222990150,2002,10,False,True,23521,Duke,150,ACC,12,Maryland,120,ACC,45
222990349,2002,10,False,True,35804,Army,349,Conference USA,26,UAB,5,Conference USA,29
222992117,2002,10,False,True,14564,Central Michigan,2117,Mid-American,18,Marshall,276,Mid-American,23
222992084,2002,10,False,True,5102,Buffalo,2084,Mid-American,12,Kent State,2309,Mid-American,16
222990183,2002,10,False,True,37158,Syracuse,183,Big East,45,Rutgers,164,Big East,14
222990038,2002,10,False,True,50478,Colorado,38,Big 12,37,Texas Tech,2641,Big 12,13
222990238,2002,10,False,False,21210,Vanderbilt,238,SEC,28,UConn,41,FBS Independents,24
222990356,2002,10,False,True,50295,Illinois,356,Big Ten,45,Indiana,84,Big Ten,14
222992132,2002,10,False,True,20747,Cincinnati,2132,Conference USA,48,Memphis,235,Conference USA,10
222990142,2002,10,False,True,60287,Missouri,142,Big 12,36,Kansas,2305,Big 12,12
222990008,2002,10,False,True,71723,Arkansas,8,SEC,48,Ole Miss,145,SEC,28
222990097,2002,10,False,True,32428,Louisville,97,Conference USA,44,East Carolina,151,Conference USA,20
222992751,2002,10,False,True,15022,Wyoming,2751,Mountain West,34,Air Force,2005,Mountain West,26
222992653,2002,10,False,False,12465,Troy,2653,FBS Independents,21,Florida Atlantic,2226,,6
222990242,2002,10,False,True,10845,Rice,242,Western Athletic,27,SMU,2567,Western Athletic,15
222990202,2002,10,False,True,12317,Tulsa,202,Western Athletic,20,UTEP,2638,Western Athletic,0
222990167,2002,10,False,True,27300,New Mexico,167,Mountain West,42,Utah,254,Mountain West,35
222992348,2002,10,False,True,15315,Louisiana Tech,2348,Western Athletic,50,Nevada,2440,Western Athletic,47
222990239,2002,10,False,True,20247,Baylor,239,Big 12,10,Kansas State,2306,Big 12,44
222990070,2002,10,False,True,12434,Idaho,70,Sun Belt,21,Middle Tennessee,2393,Sun Belt,18
222990096,2002,10,False,True,71017,Kentucky,96,SEC,24,Georgia,61,SEC,52
222992655,2002,10,False,False,28123,Tulane,2655,Conference USA,51,Navy,2426,FBS Independents,30
222990059,2002,10,False,True,42727,Georgia Tech,59,ACC,23,Virginia,258,ACC,15
222992483,2002,10,False,True,56754,Oregon,2483,Pac-10,33,USC,30,Pac-10,44
222990251,2002,10,False,True,83071,Texas,251,Big 12,21,Iowa State,66,Big 12,10
222990194,2002,10,False,True,105103,Ohio State,194,Big Ten,13,Penn State,213,Big Ten,7
222990204,2002,10,False,True,36603,Oregon State,204,Pac-10,24,California,25,Pac-10,13
222990189,2002,10,False,True,21039,Bowling Green,189,Mid-American,38,Ball State,2050,Mid-American,20
222992116,2002,10,False,True,18278,UCF,2116,Mid-American,28,Akron,2006,Mid-American,17
222990023,2002,10,False,True,10497,San José State,23,Western Athletic,8,Boise State,68,Western Athletic,45
222990309,2002,10,False,True,8413,Louisiana,309,Sun Belt,0,North Texas,249,Sun Belt,27
222990026,2002,10,False,True,54116,UCLA,26,Pac-10,28,Stanford,24,Pac-10,18
222992032,2002,10,False,True,11036,Arkansas State,2032,Sun Belt,21,New Mexico State,166,Sun Belt,26
222992433,2002,10,False,True,6190,UL Monroe,2433,Sun Belt,51,Utah State,328,FBS Independents,48
222992649,2002,10,False,True,24466,Toledo,2649,Mid-American,13,Miami (OH),193,Mid-American,27
222990021,2002,10,False,True,21541,San Diego State,21,Mountain West,31,UNLV,2439,Mountain West,21
222990245,2002,10,False,True,81054,Texas A&M,245,Big 12,31,Nebraska,158,Big 12,38
222990127,2002,10,False,True,74507,Michigan State,127,Big Ten,24,Wisconsin,275,Big Ten,42
222992633,2002,10,False,True,107722,Tennessee,2633,SEC,14,Alabama,333,SEC,34
222990012,2002,10,False,True,46462,Arizona,12,Pac-10,13,Washington State,265,Pac-10,21
222990009,2002,10,False,True,56101,Arizona State,9,Pac-10,27,Washington,264,Pac-10,16
223032628,2002,11,False,True,26612,TCU,2628,Conference USA,37,Southern Miss,2572,Conference USA,7
223042005,2002,11,False,True,39063,Air Force,2005,Mountain West,12,Colorado State,36,Mountain West,31
223060041,2002,11,False,False,14287,UConn,41,FBS Independents,61,Florida Atlantic,2226,,14
223060150,2002,11,False,True,16479,Duke,150,ACC,31,Clemson,228,ACC,34
223060164,2002,11,False,True,0,Rutgers,164,Big East,17,Miami,2390,Big East,42
223060218,2002,11,False,True,15042,Temple,218,Big East,20,West Virginia,277,Big East,46
223062294,2002,11,False,True,70397,Iowa,2294,Big Ten,20,Wisconsin,275,Big Ten,3
223060130,2002,11,False,True,111542,Michigan,130,Big Ten,49,Michigan State,127,Big Ten,3
223060077,2002,11,False,True,25077,Northwestern,77,Big Ten,41,Indiana,84,Big Ten,37
223060145,2002,11,False,True,60635,Ole Miss,145,SEC,24,Auburn,2,SEC,31
223060197,2002,11,False,True,47607,Oklahoma State,197,Big 12,28,Texas A&M,245,Big 12,23
223062199,2002,11,False,True,7370,Eastern Michigan,2199,Mid-American,21,Central Michigan,2117,Mid-American,47
223060193,2002,11,False,True,27253,Miami (OH),193,Mid-American,38,Ohio,195,Mid-American,20
223062050,2002,11,False,True,12892,Ball State,2050,Mid-American,17,Western Michigan,2711,Mid-American,7
223060153,2002,11,False,True,44000,North Carolina,153,ACC,7,Maryland,120,ACC,59
223060238,2002,11,False,True,36407,Vanderbilt,238,SEC,8,Alabama,333,SEC,30
223062641,2002,11,False,True,43243,Texas Tech,2641,Big 12,62,Baylor,239,Big 12,11
223060235,2002,11,False,True,20532,Memphis,235,Conference USA,21,Houston,248,Conference USA,26
223060008,2002,11,False,False,42814,Arkansas,8,SEC,23,Troy,2653,FBS Independents,0
223060066,2002,11,False,True,44339,Iowa State,66,Big 12,42,Missouri,142,Big 12,35
223062309,2002,11,False,True,7165,Kent State,2309,Mid-American,14,Bowling Green,189,Mid-American,45
223062305,2002,11,False,True,43000,Kansas,2305,Big 12,0,Kansas State,2306,Big 12,64
223060344,2002,11,False,True,45248,Mississippi State,344,SEC,24,Kentucky,96,SEC,45
223060087,2002,11,False,False,80935,Notre Dame,87,FBS Independents,7,Boston College,103,Big East,14
223062032,2002,11,False,False,9107,Arkansas State,2032,Sun Belt,38,Southern Utah,253,,16
223062567,2002,11,False,True,11832,SMU,2567,Western Athletic,6,Nevada,2440,Western Athletic,24
223060252,2002,11,False,True,59362,BYU,252,Mountain West,34,San Diego State,21,Mountain West,10
223060202,2002,11,False,True,12587,Tulsa,202,Western Athletic,18,Rice,242,Western Athletic,33
223060265,2002,11,False,True,37444,Washington State,265,Pac-10,44,Arizona State,9,Pac-10,22
223062579,2002,11,False,True,83918,South Carolina,2579,SEC,10,Tennessee,2633,SEC,18
223062006,2002,11,False,True,13762,Akron,2006,Mid-American,34,Marshall,276,Mid-American,20
223060201,2002,11,False,True,75403,Oklahoma,201,Big 12,27,Colorado,38,Big 12,11
223060152,2002,11,False,True,51500,NC State,152,ACC,17,Georgia Tech,59,ACC,24
223060194,2002,11,False,True,104897,Ohio State,194,Big Ten,34,Minnesota,135,Big Ten,3
223060213,2002,11,False,True,105589,Penn State,213,Big Ten,18,Illinois,356,Big Ten,7
223062483,2002,11,False,True,56436,Oregon,2483,Pac-10,41,Stanford,24,Pac-10,14
223060154,2002,11,False,True,24710,Wake Forest,154,ACC,21,Florida State,52,ACC,34
223060204,2002,11,False,True,36644,Oregon State,204,Pac-10,38,Arizona,12,Pac-10,3
223060249,2002,11,False,True,16212,North Texas,249,Sun Belt,41,UL Monroe,2433,Sun Belt,2
223060309,2002,11,False,True,12621,Louisiana,309,Sun Belt,31,Idaho,70,Sun Belt,28
223060166,2002,11,False,True,19562,New Mexico State,166,Sun Belt,24,Middle Tennessee,2393,Sun Belt,21
223060158,2002,11,False,True,78268,Nebraska,158,Big 12,24,Texas,251,Big 12,27
223060264,2002,11,False,True,72017,Washington,264,Pac-10,24,UCLA,26,Pac-10,34
223060058,2002,11,False,False,23144,South Florida,58,FBS Independents,56,Charleston Southern,2127,,6
223062116,2002,11,False,False,24043,UCF,2116,Mid-American,35,Syracuse,183,Big East,38
223062439,2002,11,False,True,23346,UNLV,2439,Mountain West,49,Wyoming,2751,Mountain West,48
223060259,2002,11,False,True,64971,Virginia Tech,259,Big East,21,Pittsburgh,221,Big East,28
223060061,2002,11,False,True,84433,Georgia,61,SEC,13,Florida,57,SEC,20
223062638,2002,11,False,True,21689,UTEP,2638,Western Athletic,3,Boise State,68,Western Athletic,58
223060062,2002,11,False,True,36784,Hawai'i,62,Western Athletic,40,San José State,23,Western Athletic,31
223110097,2002,12,False,True,36253,Louisville,97,Conference USA,14,Cincinnati,2132,Conference USA,24
223132509,2002,12,False,True,65250,Purdue,2509,Big Ten,6,Ohio State,194,Big Ten,10
223130153,2002,12,False,True,42000,North Carolina,153,ACC,12,Clemson,228,ACC,42
223130277,2002,12,False,True,48474,West Virginia,277,Big East,24,Boston College,103,Big East,14
223132426,2002,12,False,False,70260,Navy,2426,FBS Independents,23,Notre Dame,87,FBS Independents,30
223130120,2002,12,False,True,52915,Maryland,120,ACC,24,NC State,152,ACC,21
223130221,2002,12,False,True,39880,Pittsburgh,221,Big East,29,Temple,218,Big East,22
223130041,2002,12,False,False,15332,UConn,41,FBS Independents,63,Kent State,2309,Mid-American,21
223132294,2002,12,False,True,68728,Iowa,2294,Big Ten,62,Northwestern,77,Big Ten,10
223130275,2002,12,False,True,78709,Wisconsin,275,Big Ten,20,Illinois,356,Big Ten,37
223130251,2002,12,False,True,83016,Texas,251,Big 12,41,Baylor,239,Big 12,0
223130142,2002,12,False,True,48465,Missouri,142,Big 12,35,Colorado,38,Big 12,42
223132579,2002,12,False,True,79307,South Carolina,2579,SEC,0,Arkansas,8,SEC,23
223130096,2002,12,False,True,66262,Kentucky,96,SEC,30,LSU,99,SEC,33
223132711,2002,12,False,True,11381,Western Michigan,2711,Mid-American,33,Eastern Michigan,2199,Mid-American,31
223130084,2002,12,False,True,29253,Indiana,84,Big Ten,21,Michigan State,127,Big Ten,56
223132084,2002,12,False,True,6923,Buffalo,2084,Mid-American,21,UCF,2116,Mid-American,45
223130158,2002,12,False,True,77351,Nebraska,158,Big 12,45,Kansas,2305,Big 12,7
223130002,2002,12,False,False,84618,Auburn,2,SEC,52,UL Monroe,2433,Sun Belt,14
223130238,2002,12,False,True,28881,Vanderbilt,238,SEC,17,Florida,57,SEC,21
223132641,2002,12,False,True,44595,Texas Tech,2641,Big 12,49,Oklahoma State,197,Big 12,24
223130195,2002,12,False,True,17788,Ohio,195,Mid-American,27,Akron,2006,Mid-American,10
223130333,2002,12,False,True,83818,Alabama,333,SEC,28,Mississippi State,344,SEC,14
223132459,2002,12,False,True,25822,Northern Illinois,2459,Mid-American,26,Bowling Green,189,Mid-American,17
223130349,2002,12,False,True,39288,Army,349,Conference USA,30,Air Force,2005,Mountain West,49
223130005,2002,12,False,True,0,UAB,5,Conference USA,13,Southern Miss,2572,Conference USA,20
223130248,2002,12,False,True,13669,Houston,248,Conference USA,48,East Carolina,151,Conference USA,54
223132628,2002,12,False,True,27694,TCU,2628,Conference USA,17,Tulane,2655,Conference USA,10
223132440,2002,12,False,True,13721,Nevada,2440,Western Athletic,23,UTEP,2638,Western Athletic,17
223130328,2002,12,False,True,12291,Utah State,328,FBS Independents,32,New Mexico State,166,Sun Belt,30
223130068,2002,12,False,True,23962,Boise State,68,Western Athletic,49,Rice,242,Western Athletic,7
223130059,2002,12,False,True,43719,Georgia Tech,59,ACC,13,Florida State,52,ACC,21
223130264,2002,12,False,True,72557,Washington,264,Pac-10,41,Oregon State,204,Pac-10,29
223130213,2002,12,False,True,108698,Penn State,213,Big Ten,35,Virginia,258,ACC,14
223130183,2002,12,False,True,48239,Syracuse,183,Big East,50,Virginia Tech,259,Big East,42
223130265,2002,12,False,True,37600,Washington State,265,Pac-10,32,Oregon,2483,Pac-10,21
223132633,2002,12,False,False,107745,Tennessee,2633,SEC,3,Miami,2390,Big East,26
223130245,2002,12,False,True,84036,Texas A&M,245,Big 12,30,Oklahoma,201,Big 12,26
223132653,2002,12,False,False,13894,Troy,2653,FBS Independents,24,Florida A&M,50,,7
223130309,2002,12,False,True,14117,Louisiana,309,Sun Belt,13,Arkansas State,2032,Sun Belt,10
223130023,2002,12,False,True,6391,San José State,23,Western Athletic,42,Louisiana Tech,2348,Western Athletic,30
223130252,2002,12,False,True,61689,BYU,252,Mountain West,35,Wyoming,2751,Mountain West,31
223130167,2002,12,False,True,28770,New Mexico,167,Mountain West,15,San Diego State,21,Mountain West,8
223130009,2002,12,False,True,40769,Arizona State,9,Pac-10,38,California,25,Pac-10,55
223132649,2002,12,False,True,18944,Toledo,2649,Mid-American,44,Central Michigan,2117,Mid-American,17
223130061,2002,12,False,True,86520,Georgia,61,SEC,31,Ole Miss,145,SEC,17
223130278,2002,12,False,True,37841,Fresno State,278,Western Athletic,31,Tulsa,202,Western Athletic,12
223132306,2002,12,False,True,49504,Kansas State,2306,Big 12,58,Iowa State,66,Big 12,7
223130024,2002,12,False,True,44950,Stanford,24,Pac-10,17,USC,30,Pac-10,49
223130254,2002,12,False,True,28528,Utah,254,Mountain West,28,UNLV,2439,Mountain West,17
223130058,2002,12,False,True,32770,South Florida,58,FBS Independents,31,Memphis,235,Conference USA,28
223130249,2002,12,False,True,11698,North Texas,249,Sun Belt,10,Idaho,70,Sun Belt,0
223130135,2002,12,False,True,53773,Minnesota,135,Big Ten,24,Michigan,130,Big Ten,41
223130012,2002,12,False,True,43613,Arizona,12,Pac-10,7,UCLA,26,Pac-10,37
223160276,2002,13,False,True,26851,Marshall,276,Mid-American,36,Miami (OH),193,Mid-American,34
223182572,2002,13,False,True,28076,Southern Miss,2572,Conference USA,17,Louisville,97,Conference USA,20
223202751,2002,13,False,True,10611,Wyoming,2751,Mountain West,18,Utah,254,Mountain West,23
223202426,2002,13,False,False,25664,Navy,2426,FBS Independents,0,UConn,41,FBS Independents,38
223200258,2002,13,False,True,53371,Virginia,258,ACC,14,NC State,152,ACC,9
223200103,2002,13,False,True,36221,Boston College,103,Big East,41,Syracuse,183,Big East,20
223202653,2002,13,False,False,0,Troy,2653,FBS Independents,16,Utah State,328,FBS Independents,19
223200135,2002,13,False,True,65184,Minnesota,135,Big Ten,21,Iowa,2294,Big Ten,45
223200130,2002,13,False,True,110412,Michigan,130,Big Ten,21,Wisconsin,275,Big Ten,14
223200127,2002,13,False,True,72828,Michigan State,127,Big Ten,42,Purdue,2509,Big Ten,45
223202306,2002,13,False,True,52221,Kansas State,2306,Big 12,49,Nebraska,158,Big 12,13
223200344,2002,13,False,True,54807,Mississippi State,344,SEC,17,Tennessee,2633,SEC,35
223202006,2002,13,False,True,4178,Akron,2006,Mid-American,21,Buffalo,2084,Mid-American,10
223202117,2002,13,False,True,8235,Central Michigan,2117,Mid-American,21,Ball State,2050,Mid-American,38
223200059,2002,13,False,True,41335,Georgia Tech,59,ACC,17,Duke,150,ACC,2
223202132,2002,13,False,True,14023,Cincinnati,2132,Conference USA,47,Houston,248,Conference USA,14
223202199,2002,13,False,True,5569,Eastern Michigan,2199,Mid-American,21,Northern Illinois,2459,Mid-American,49
223200096,2002,13,False,True,51114,Kentucky,96,SEC,41,Vanderbilt,238,SEC,21
223200239,2002,13,False,True,28375,Baylor,239,Big 12,9,Oklahoma,201,Big 12,49
223202305,2002,13,False,True,27500,Kansas,2305,Big 12,20,Oklahoma State,197,Big 12,55
223200245,2002,13,False,True,78186,Texas A&M,245,Big 12,27,Missouri,142,Big 12,33
223200008,2002,13,False,False,54843,Arkansas,8,SEC,24,Louisiana,309,Sun Belt,17
223202439,2002,13,False,True,25417,UNLV,2439,Mountain West,32,Air Force,2005,Mountain West,49
223200005,2002,13,False,True,13678,UAB,5,Conference USA,36,East Carolina,151,Conference USA,29
223200202,2002,13,False,True,15653,Tulsa,202,Western Athletic,38,San José State,23,Western Athletic,49
223200242,2002,13,False,True,19714,Rice,242,Western Athletic,28,Hawai'i,62,Western Athletic,33
223200068,2002,13,False,True,28413,Boise State,68,Western Athletic,36,Louisiana Tech,2348,Western Athletic,10
223202641,2002,13,False,True,52047,Texas Tech,2641,Big 12,42,Texas,251,Big 12,38
223200002,2002,13,False,True,86063,Auburn,2,SEC,21,Georgia,61,SEC,24
223200356,2002,13,False,True,58810,Illinois,356,Big Ten,16,Ohio State,194,Big Ten,23
223202711,2002,13,False,True,9844,Western Michigan,2711,Mid-American,21,Toledo,2649,Mid-American,42
223202655,2002,13,False,True,19421,Tulane,2655,Conference USA,10,Army,349,Conference USA,14
223202393,2002,13,False,True,8326,Middle Tennessee,2393,Sun Belt,44,UL Monroe,2433,Sun Belt,28
223200164,2002,13,False,True,10225,Rutgers,164,Big East,17,Temple,218,Big East,20
223200025,2002,13,False,True,0,California,25,Pac-10,41,Arizona,12,Pac-10,52
223200052,2002,13,False,True,81910,Florida State,52,ACC,40,North Carolina,153,ACC,14
223200084,2002,13,False,True,0,Indiana,84,Big Ten,25,Penn State,213,Big Ten,58
223202483,2002,13,False,True,57112,Oregon,2483,Pac-10,14,Washington,264,Pac-10,42
223200249,2002,13,False,True,20064,North Texas,249,Sun Belt,38,New Mexico State,166,Sun Belt,27
223200024,2002,13,False,True,29850,Stanford,24,Pac-10,21,Oregon State,204,Pac-10,31
223200070,2002,13,False,True,7825,Idaho,70,Sun Belt,29,Arkansas State,2032,Sun Belt,38
223202638,2002,13,False,True,21765,UTEP,2638,Western Athletic,35,SMU,2567,Western Athletic,42
223200057,2002,13,False,True,85222,Florida,57,SEC,28,South Carolina,2579,SEC,7
223200252,2002,13,False,True,60764,BYU,252,Mountain West,16,New Mexico,167,Mountain West,20
223202116,2002,13,False,True,7354,UCF,2116,Mid-American,32,Kent State,2309,Mid-American,6
223200278,2002,13,False,True,40866,Fresno State,278,Western Athletic,38,Nevada,2440,Western Athletic,30
223200058,2002,13,False,False,28098,South Florida,58,FBS Independents,29,Bowling Green,189,Mid-American,7
223200021,2002,13,False,True,21714,San Diego State,21,Mountain West,21,Colorado State,36,Mountain West,49
223200038,2002,13,False,True,48728,Colorado,38,Big 12,41,Iowa State,66,Big 12,27
223200030,2002,13,False,True,73923,USC,30,Pac-10,34,Arizona State,9,Pac-10,13
223200228,2002,13,False,True,72000,Clemson,228,ACC,12,Maryland,120,ACC,30
223200099,2002,13,False,True,92012,LSU,99,SEC,0,Alabama,333,SEC,31
223240259,2002,14,False,True,62723,Virginia Tech,259,Big East,18,West Virginia,277,Big East,21
223252390,2002,14,False,True,64897,Miami,2390,Big East,28,Pittsburgh,221,Big East,21
223270218,2002,14,False,True,14278,Temple,218,Big East,14,Boston College,103,Big East,36
223272005,2002,14,False,True,31023,Air Force,2005,Mountain West,34,San Diego State,21,Mountain West,38
