week,season,game_id,date,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,winner,point_differential,status,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
11,2016,400874609,2016-11-18T01:25Z,New Orleans Saints,NO,20,Carolina Panthers,CAR,23,Carolina Panthers,3,Final,28,19,7,2,4,13,2,2,72,371,5.2,12,264,35,44,5.6,1,3,21,107,25,4.3,2-5,6,48,2,1,0,32:15,17,10,5,2,7,17,0,0,62,223,3.6,11,173,14,33,4.9,0,2,19,50,27,1.9,1-2,6,45,0,0,0,27:45,73288,Bank of America Stadium,Charlotte,NC
11,2016,400874646,2016-11-20T18:00Z,Buffalo Bills,BUF,16,Cincinnati Bengals,CIN,12,Buffalo Bills,4,Final,20,7,12,1,3,12,1,1,63,342,5.4,11,159,19,27,5.5,1,2,7,183,34,5.4,1-3,9,75,1,0,0,32:11,23,13,7,3,8,15,0,0,71,300,4.2,11,207,24,43,4.7,2,1,0,93,27,3.4,2-2,4,25,2,0,0,27:49,61356,Paycor Stadium,Cincinnati,OH
11,2016,400874634,2016-11-20T18:00Z,Pittsburgh Steelers,PIT,24,Cleveland Browns,CLE,9,Pittsburgh Steelers,15,Final,24,12,9,3,5,12,1,1,64,313,4.9,7,167,23,36,4.6,0,0,0,146,28,5.2,1-4,8,70,0,0,2,33:58,17,11,2,4,4,15,5,5,62,209,3.4,8,176,21,41,3.6,1,8,70,33,13,2.5,1-3,9,52,2,1,0,26:02,67431,Huntington Bank Field,Cleveland,OH
11,2016,400874638,2016-11-20T18:00Z,Baltimore Ravens,BAL,17,Dallas Cowboys,DAL,27,Dallas Cowboys,10,Final,17,10,6,1,3,9,0,0,52,368,7.1,10,267,23,35,7.4,0,1,2,101,16,6.3,2-2,12,136,0,0,0,24:21,27,19,6,2,7,12,0,0,67,417,6.2,9,299,27,36,8.1,0,1,2,118,30,3.9,3-5,5,45,0,0,0,35:39,93056,AT&T Stadium,Arlington,TX
11,2016,400874641,2016-11-20T18:00Z,Jacksonville Jaguars,JAX,19,Detroit Lions,DET,26,Detroit Lions,7,Final,16,13,1,2,4,14,0,0,62,285,4.6,14,202,22,35,5.8,2,0,0,83,27,3.1,2-3,4,25,3,1,0,32:55,14,12,1,1,5,14,0,0,57,277,4.9,11,263,24,33,7.3,0,3,15,14,21,0.7,1-2,5,32,2,2,3,27:05,61486,Ford Field,Detroit,MI
11,2016,400874644,2016-11-20T18:00Z,Tennessee Titans,TEN,17,Indianapolis Colts,IND,24,Indianapolis Colts,7,Final,20,14,3,3,5,14,1,3,70,351,5.0,10,254,25,38,5.9,0,5,36,97,27,3.6,1-2,11,109,0,0,0,31:01,18,13,4,1,5,12,1,1,58,327,5.6,11,251,15,28,8.4,1,2,11,76,28,2.7,3-3,8,70,1,0,0,28:59,65048,Lucas Oil Stadium,Indianapolis,IN
11,2016,400874649,2016-11-20T18:00Z,Tampa Bay Buccaneers,TB,19,Kansas City Chiefs,KC,17,Tampa Bay Buccaneers,2,Final,27,19,5,3,11,16,0,0,74,442,6.0,8,326,24,39,8.2,0,1,5,116,34,3.4,1-5,7,42,1,1,0,35:18,19,12,6,1,4,8,0,0,52,343,6.6,9,261,24,31,8.4,1,0,0,82,21,3.9,2-4,5,30,2,1,0,24:42,72277,GEHA Field at Arrowhead Stadium,Kansas City,MO
11,2016,400874695,2016-11-20T18:00Z,Arizona Cardinals,ARI,24,Minnesota Vikings,MIN,30,Minnesota Vikings,6,Final,24,12,8,4,4,13,0,1,70,290,4.1,12,155,20,38,3.7,2,4,43,135,28,4.8,2-4,8,96,2,0,0,31:02,16,7,4,5,6,13,0,1,54,217,4.0,12,145,20,28,4.8,0,2,24,72,24,3.0,2-4,10,73,1,1,3,28:58,66808,U.S. Bank Stadium,Minneapolis,MN
11,2016,400874691,2016-11-20T18:00Z,Chicago Bears,CHI,16,New York Giants,NYG,22,New York Giants,6,Final,17,10,6,1,4,12,0,0,59,315,5.3,11,222,17,30,6.5,1,4,30,93,25,3.7,2-2,5,40,1,0,0,30:29,19,11,7,1,5,14,2,2,65,329,5.1,12,227,21,36,6.3,0,0,0,102,29,3.5,3-3,4,35,0,0,0,29:31,78898,MetLife Stadium,East Rutherford,NJ
11,2016,400874697,2016-11-20T21:05Z,Miami Dolphins,MIA,14,Los Angeles Rams,LAR,10,Miami Dolphins,4,Final,17,10,5,2,1,11,0,0,57,240,4.2,13,142,24,34,3.7,1,4,30,98,19,5.2,2-2,8,82,1,0,0,28:41,12,6,3,3,2,13,1,1,60,227,3.8,14,125,17,31,3.9,0,1,9,102,28,3.6,0-0,8,70,1,1,0,31:19,83483,Los Angeles Memorial Coliseum,Los Angeles,CA
11,2016,400874700,2016-11-20T21:25Z,New England Patriots,NE,30,San Francisco 49ers,SF,17,New England Patriots,13,Final,28,14,9,5,8,16,1,1,71,444,6.3,12,273,24,40,6.7,0,1,7,171,30,5.7,3-5,5,40,0,0,0,29:17,20,11,8,1,5,14,0,0,62,299,4.8,11,177,16,30,5.1,0,5,29,122,27,4.5,2-3,10,68,0,0,0,30:43,70178,Levi's Stadium,Santa Clara,CA
11,2016,400874702,2016-11-20T21:25Z,Philadelphia Eagles,PHI,15,Seattle Seahawks,SEA,26,Seattle Seahawks,11,Final,20,13,6,1,6,16,1,3,73,308,4.2,13,195,23,45,4.1,2,2,23,113,26,4.3,2-2,8,48,2,0,0,31:06,18,12,5,1,5,15,0,0,63,439,7.0,14,287,19,32,8.7,0,1,0,152,30,5.1,1-3,7,48,0,0,0,28:54,69190,Lumen Field,Seattle,WA
11,2016,400874704,2016-11-21T01:30Z,Green Bay Packers,GB,24,Washington Redskins,WSH,42,Washington Redskins,18,Final,19,15,2,2,7,15,1,2,65,424,6.5,11,340,27,44,7.4,1,2,20,84,19,4.4,2-4,6,59,2,1,0,30:23,21,14,6,1,9,14,1,1,62,515,8.3,11,364,21,30,11.4,0,2,11,151,30,5.0,4-5,6,40,0,0,0,29:37,77137,Northwest Stadium,Landover,MD
11,2016,400874706,2016-11-22T01:30Z,Houston Texans,HOU,20,Oakland Raiders,OAK,27,Oakland Raiders,7,Final,22,14,6,2,8,16,1,2,74,354,4.8,10,230,26,39,5.6,1,2,13,124,33,3.8,2-5,7,101,2,1,0,36:27,16,9,3,4,4,11,1,2,51,325,6.4,11,295,21,31,9.5,1,0,0,30,20,1.5,1-4,4,21,1,0,0,23:33,76473,Estadio Azteca,Mexico City,
