week,season,game_id,date,status,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,point_differential,winner,away_firstDowns,away_firstDownsPassing,away_firstDownsRushing,away_firstDownsPenalty,away_thirdDownConversions,away_thirdDownAttempts,away_fourthDownConversions,away_fourthDownAttempts,away_totalOffensivePlays,away_totalYards,away_yardsPerPlay,away_totalDrives,away_netPassingYards,away_completions,away_passAttempts,away_yardsPerPass,away_interceptions,away_sacks,away_sackYardsLost,away_rushingYards,away_rushingAttempts,away_yardsPerRushAttempt,away_redZoneAttempts,away_penalties,away_penaltyYards,away_turnovers,away_fumblesLost,away_defensiveTouchdowns,away_possessionTime,home_firstDowns,home_firstDownsPassing,home_firstDownsRushing,home_firstDownsPenalty,home_thirdDownConversions,home_thirdDownAttempts,home_fourthDownConversions,home_fourthDownAttempts,home_totalOffensivePlays,home_totalYards,home_yardsPerPlay,home_totalDrives,home_netPassingYards,home_completions,home_passAttempts,home_yardsPerPass,home_interceptions,home_sacks,home_sackYardsLost,home_rushingYards,home_rushingAttempts,home_yardsPerRushAttempt,home_redZoneAttempts,home_penalties,home_penaltyYards,home_turnovers,home_fumblesLost,home_defensiveTouchdowns,home_possessionTime,attendance,venue,venue_city,venue_state
1,2026,401872656,2026-09-10T00:20Z,Final,New England Patriots,NE,10,Seattle Seahawks,SEA,13,3,Seattle Seahawks,19,9,7,3,5,16,2,2,67,277,4.1,9,168,23,33,4.7,3,3,10,109,31,3.5,1-2,7,50,3,0,0,34:17,13,9,4,0,2,11,1,1,48,285,5.9,10,188,17,24,7.2,0,2,12,97,22,4.4,0-2,10,98,0,0,0,25:43,68744,Lumen Field,Seattle,WA
1,2026,401872657,2026-09-11T00:35Z,Final,San Francisco 49ers,SF,27,Los Angeles Rams,LAR,7,20,San Francisco 49ers,23,12,10,1,7,12,0,0,64,379,5.9,9,205,25,34,6.0,1,0,0,174,30,5.8,2-3,2,21,1,0,0,33:50,15,6,7,2,2,9,1,3,57,290,5.1,10,168,17,28,6.0,1,0,0,122,29,4.2,1-3,4,43,2,1,0,26:10,100021,Melbourne Cricket Ground,Melbourne,
1,2026,401872925,2026-09-13T17:00Z,Final,Tampa Bay Buccaneers,TB,27,Cincinnati Bengals,CIN,33,6,Cincinnati Bengals,19,12,5,2,5,10,0,0,52,282,5.4,9,193,23,28,6.0,0,4,23,89,20,4.5,2-4,8,39,4,4,1,28:35,26,14,10,2,8,14,0,0,63,351,5.6,9,245,25,35,6.8,1,1,9,106,27,3.9,2-5,7,47,1,0,1,31:25,66625,Paycor Stadium,Cincinnati,OH
1,2026,401872923,2026-09-13T17:00Z,Final,New Orleans Saints,NO,30,Detroit Lions,DET,31,1,Detroit Lions,29,19,7,3,8,17,2,2,86,469,5.5,14,378,35,56,6.2,2,5,32,91,25,3.6,4-5,6,53,3,1,0,31:35,26,10,14,2,5,13,0,0,73,369,5.1,14,204,26,39,5.1,0,1,2,165,33,5.0,4-5,8,61,1,1,0,36:51,62897,Ford Field,Detroit,MI
1,2026,401872924,2026-09-13T17:00Z,Final,New York Jets,NYJ,23,Tennessee Titans,TEN,10,13,New York Jets,19,7,11,1,2,12,2,2,63,367,5.8,11,215,19,24,9.0,0,0,0,152,39,3.9,2-3,8,48,0,0,0,38:46,11,6,4,1,4,12,0,0,49,195,4.0,10,127,19,32,3.6,0,3,13,68,14,4.9,1-1,4,25,1,1,0,21:14,64336,Nissan Stadium,Nashville,TN
1,2026,401872659,2026-09-13T17:00Z,Final,Baltimore Ravens,BAL,41,Indianapolis Colts,IND,23,18,Baltimore Ravens,23,11,12,0,3,9,0,1,64,506,7.9,13,304,17,25,11.3,0,2,20,202,37,5.5,3-4,10,86,1,1,0,35:20,17,8,8,1,3,10,0,1,53,251,4.7,12,149,19,31,4.5,1,2,17,102,20,5.1,3-3,4,29,2,1,0,24:40,65045,Lucas Oil Stadium,Indianapolis,IN
1,2026,401872658,2026-09-13T17:00Z,Final,Atlanta Falcons,ATL,13,Pittsburgh Steelers,PIT,20,7,Pittsburgh Steelers,16,4,9,3,2,12,0,0,57,238,4.2,13,118,12,22,4.5,2,4,25,120,31,3.9,0-0,9,96,2,0,0,31:07,15,10,3,2,3,13,0,2,64,264,4.1,13,206,24,41,4.8,0,2,15,58,21,2.8,1-2,7,52,1,1,1,28:53,66089,Acrisure Stadium,Pittsburgh,PA
1,2026,401872661,2026-09-13T17:00Z,Final,Chicago Bears,CHI,59,Carolina Panthers,CAR,37,22,Chicago Bears,26,13,11,2,10,14,0,1,70,552,7.9,14,261,21,29,8.4,0,2,8,291,39,7.5,4-4,12,57,1,1,0,34:03,24,17,5,2,4,9,0,1,62,478,7.7,13,353,23,38,8.8,1,2,8,125,22,5.7,4-4,11,84,3,2,0,25:57,72597,Bank of America Stadium,Charlotte,NC
1,2026,401872922,2026-09-13T17:00Z,Final,Cleveland Browns,CLE,10,Jacksonville Jaguars,JAX,34,24,Jacksonville Jaguars,14,9,5,0,1,8,1,2,49,272,5.6,9,185,16,22,6.9,1,5,20,87,22,4.0,0-2,11,75,2,1,0,26:09,23,13,8,2,5,10,0,0,56,360,6.4,9,234,18,23,9.8,0,1,11,126,32,3.9,2-2,4,25,0,0,0,33:51,41156,EverBank Stadium,Jacksonville,FL
1,2026,401872660,2026-09-13T17:00Z,Final,Buffalo Bills,BUF,36,Houston Texans,HOU,31,5,Buffalo Bills,20,13,5,2,3,9,0,1,52,409,7.9,12,323,20,29,10.4,0,2,11,86,21,4.1,1-3,10,85,0,0,0,23:43,26,11,10,5,7,16,2,2,73,381,5.2,11,257,26,38,6.3,0,3,17,124,32,3.9,4-5,7,106,2,2,0,36:17,71008,Reliant Stadium,Houston,TX
