week,season,game_id,date,status,away_team,away_team_abbr,away_score,home_team,home_team_abbr,home_score,point_differential,winner,attendance,venue,venue_city,venue_state
13,2026,401873096,2026-12-04T01:15Z,Scheduled,Kansas City Chiefs,KC,0,Los Angeles Rams,LAR,0,0,TIE,,SoFi Stadium,Inglewood,CA
13,2026,401873098,2026-12-06T18:00Z,Scheduled,Detroit Lions,DET,0,Atlanta Falcons,ATL,0,0,TIE,,Mercedes-Benz Stadium,Atlanta,GA
13,2026,401873100,2026-12-06T18:00Z,Scheduled,Jacksonville Jaguars,JAX,0,Chicago Bears,CHI,0,0,TIE,,Soldier Field,Chicago,IL
13,2026,401873097,2026-12-06T18:00Z,Scheduled,Cincinnati Bengals,CIN,0,Cleveland Browns,CLE,0,0,TIE,,Huntington Bank Field,Cleveland,OH
13,2026,401873102,2026-12-06T18:00Z,Scheduled,Washington Commanders,WSH,0,Tennessee Titans,TEN,0,0,TIE,,Nissan Stadium,Nashville,TN
13,2026,401873099,2026-12-06T18:00Z,Scheduled,Green Bay Packers,GB,0,New Orleans Saints,NO,0,0,TIE,,Caesars Superdome,New Orleans,LA
13,2026,401873095,2026-12-06T18:00Z,Scheduled,San Francisco 49ers,SF,0,New York Giants,NYG,0,0,TIE,,MetLife Stadium,East Rutherford,NJ
13,2026,401873101,2026-12-06T18:00Z,Scheduled,Los Angeles Chargers,LAC,0,Tampa Bay Buccaneers,TB,0,0,TIE,,Raymond James Stadium,Tampa,FL
13,2026,401873103,2026-12-06T21:05Z,Scheduled,Miami Dolphins,MIA,0,Denver Broncos,DEN,0,0,TIE,,Empower Field at Mile High,Denver,CO
13,2026,401873104,2026-12-06T21:05Z,Scheduled,Philadelphia Eagles,PHI,0,Arizona Cardinals,ARI,0,0,TIE,,State Farm Stadium,Glendale,AZ
13,2026,401873106,2026-12-06T21:25Z,Scheduled,Carolina Panthers,CAR,0,Minnesota Vikings,MIN,0,0,TIE,,U.S. Bank Stadium,Minneapolis,MN
13,2026,401873105,2026-12-06T21:25Z,Scheduled,Buffalo Bills,BUF,0,New England Patriots,NE,0,0,TIE,,Gillette Stadium,Foxborough,MA
13,2026,401873107,2026-12-07T01:20Z,Scheduled,Houston Texans,HOU,0,Pittsburgh Steelers,PIT,0,0,TIE,,Acrisure Stadium,Pittsburgh,PA
13,2026,401873108,2026-12-08T01:15Z,Scheduled,Dallas Cowboys,DAL,0,Seattle Seahawks,SEA,0,0,TIE,,Lumen Field,Seattle,WA
