GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620447,20240917,Lynx,30,64,46.9,6,14,42.9,12,13,92.3,31,6,25,22,7,7,13,5,28,12,2,15,0,0,1,19,12
401620447,20240917,Sun,30,66,45.5,7,20,35.0,9,11,81.8,31,8,23,21,9,6,16,11,46,5,0,16,0,0,0,16,13
401620448,20240917,Liberty,34,75,45.3,8,31,25.8,11,15,73.3,45,12,33,24,9,5,11,6,50,22,1,12,1,1,0,7,25
401620448,20240917,Mystics,23,61,37.7,9,26,34.6,16,19,84.2,29,3,26,16,4,4,16,5,18,3,1,17,0,0,0,25,14
401620449,20240917,Sky,25,61,41.0,6,18,33.3,14,16,87.5,29,6,23,13,1,2,13,4,34,3,1,14,0,0,0,13,24
401620449,20240917,Dream,30,62,48.4,5,15,33.3,21,30,70.0,35,7,28,19,9,4,7,6,46,18,2,9,1,1,0,11,14
401620451,20240917,Aces,32,60,53.3,9,20,45.0,12,14,85.7,31,3,28,18,5,2,9,4,38,18,2,11,0,0,0,10,11
401620451,20240917,Storm,30,63,47.6,2,9,22.2,10,11,90.9,29,4,25,21,7,1,11,9,42,1,0,11,0,0,0,8,16
401620450,20240917,Mercury,30,64,46.9,7,28,25.0,18,22,81.8,25,7,18,22,11,9,10,8,34,15,2,12,2,2,0,8,19
401620450,20240917,Sparks,28,83,33.7,9,33,27.3,16,20,80.0,49,23,26,16,5,3,18,7,34,10,2,20,2,2,0,31,18
