GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401866150,20260425,Fever,39,76,51,11,26,42,20,23,87,27,7,20,27,11,8,12,20,46,23,0,12,0,0,1,13,26,2,80
401866150,20260425,Liberty,31,65,48,5,15,33,24,30,80,34,8,26,21,10,3,22,10,46,7,2,24,2,2,0,29,23,2,13
401867790,20260425,Nigeria,20,54,37,3,18,17,20,32,63,25,5,20,14,12,2,24,11,30,0,0,24,0,0,0,26,22,0,0
401867790,20260425,Sparks,29,59,49,11,31,35,20,21,95,29,4,25,25,10,4,17,13,32,32,3,20,0,0,0,23,23,0,99
401866152,20260425,Sky,30,59,51,6,16,38,38,48,79,25,6,19,18,6,2,14,6,30,2,0,14,1,1,0,18,27,3,1
401866152,20260425,Mercury,31,63,49,15,34,44,31,38,82,33,9,24,24,8,2,16,12,24,12,0,16,2,2,0,13,31,3,95
401866513,20260425,Lynx,27,63,43,5,18,28,18,26,69,39,8,31,17,10,10,21,6,36,17,1,22,1,1,0,15,33,2,53
401866513,20260425,Mystics,18,65,28,5,20,25,25,40,63,37,12,25,13,12,4,14,12,26,11,2,16,1,1,0,11,21,2,45
401866514,20260425,Storm,25,64,39,7,18,39,19,26,73,30,12,18,12,7,1,14,7,26,11,0,14,0,0,0,25,24,16,46
401866514,20260425,Valkyries,27,59,46,15,33,45,9,16,56,35,10,25,16,9,3,18,7,20,8,2,20,0,0,0,27,24,16,46
