GameID,Date,Season,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls,leadChanges,leadPercentage
401857208,2026-09-22,2026,Sun,28,72,39,5,23,22,8,12,67,43,13,30,21,3,6,18,0,38,4,0,18,0,0,0,28,19,3,9
401857208,2026-09-22,2026,Mystics,27,71,38,6,19,32,19,25,76,34,10,24,13,7,4,6,6,36,14,0,6,1,1,0,2,18,3,73
401857209,2026-09-22,2026,Lynx,27,72,38,11,33,33,12,14,86,32,9,23,23,5,2,17,8,30,2,0,17,0,0,0,21,23,3,1
401857209,2026-09-22,2026,Fever,32,63,51,9,26,35,23,28,82,39,6,33,27,11,3,13,18,40,29,0,13,0,0,0,9,21,3,93
401857210,2026-09-22,2026,Tempo,29,74,39,13,26,50,14,15,93,40,13,27,21,10,3,16,16,28,4,2,18,0,0,0,24,13,21,15
401857210,2026-09-22,2026,Sky,39,75,52,12,32,38,7,8,88,35,6,29,27,6,5,12,20,54,22,0,12,0,0,0,16,17,21,73
401857211,2026-09-22,2026,Sparks,32,67,48,7,21,33,8,11,73,30,6,24,16,8,3,13,10,38,3,0,13,0,0,0,18,17,2,4
401857211,2026-09-22,2026,Aces,34,70,49,11,28,39,10,14,71,29,5,24,21,8,4,10,22,44,18,0,10,1,1,0,8,12,2,94
401857212,2026-09-22,2026,Valkyries,26,66,39,8,31,26,22,30,73,38,7,31,22,5,6,12,8,30,17,2,14,1,1,0,15,28,7,72
401857212,2026-09-22,2026,Fire,29,74,39,10,36,28,22,23,96,34,9,25,21,5,6,10,2,34,8,0,10,0,0,0,13,26,7,11
