GameID,Date,TeamName,FGM,FGA,fieldGoalPct,3PM,3PA,threePointFieldGoalPct,FTM,FTA,freeThrowPct,totalRebounds,offensiveRebounds,defensiveRebounds,assists,steals,blocks,turnovers,fastBreakPoints,pointsInPaint,largestLead,teamTurnovers,totalTurnovers,technicalFouls,totalTechnicalFouls,flagrantFouls,turnoverPoints,fouls
401620178,20240514,Liberty,32,68,47.1,8,28,28.6,13,15,86.7,36,8,28,21,8,5,18,8,34,10,2,20,0,0,0,19,20
401620178,20240514,Mystics,31,78,39.7,10,32,31.3,8,11,72.7,34,10,24,22,9,7,12,8,30,8,2,14,0,0,0,19,20
401620219,20240514,Fever,24,50,48.0,8,20,40.0,15,19,78.9,28,4,24,16,6,5,25,14,30,4,0,25,1,1,0,29,21
401620219,20240514,Sun,32,66,48.5,9,21,42.9,19,25,76.0,30,8,22,20,11,1,15,10,32,23,0,15,0,0,0,14,22
401620220,20240514,Mercury,29,76,38.2,15,36,41.7,7,10,70.0,37,10,27,21,6,6,15,8,24,3,2,17,0,0,1,23,23
401620220,20240514,Aces,29,71,40.8,6,29,20.7,25,29,86.2,37,8,29,17,7,5,9,14,36,18,2,11,0,0,0,10,12
401620221,20240514,Lynx,34,75,45.3,7,24,29.2,8,9,88.9,39,7,32,23,15,8,17,18,40,16,0,17,0,0,0,19,15
401620221,20240514,Storm,29,78,37.2,1,9,11.1,11,14,78.6,43,14,29,14,10,5,17,10,46,8,0,17,2,2,0,22,12
401620222,20240515,Sky,29,74,39.2,5,17,29.4,16,27,59.3,37,16,21,14,9,3,12,12,42,10,2,14,0,0,0,24,19
401620222,20240515,Wings,37,82,45.1,5,15,33.3,8,10,80.0,42,15,27,18,7,12,15,13,60,12,0,15,0,0,0,14,20
401620223,20240515,Dream,34,67,50.7,8,17,47.1,16,19,84.2,34,7,27,20,8,9,13,19,50,12,0,13,0,0,0,20,20
401620223,20240515,Sparks,28,72,38.9,12,31,38.7,13,22,59.1,35,8,27,24,8,2,11,10,30,7,3,14,0,0,0,21,17
401620224,20240516,Liberty,36,78,46.2,8,27,29.6,22,23,95.7,40,13,27,22,8,8,10,16,48,37,0,10,0,0,0,10,17
401620224,20240516,Fever,22,60,36.7,5,19,26.3,17,22,77.3,26,7,19,13,5,4,13,2,28,0,3,16,0,0,0,21,20
401620225,20240517,Mystics,28,58,48.3,9,22,40.9,12,14,85.7,28,4,24,22,6,4,20,2,32,7,2,22,0,0,0,26,21
401620225,20240517,Sun,29,68,42.6,2,20,10.0,24,26,92.3,29,8,21,16,14,3,10,12,46,9,3,13,0,0,0,12,22
401620226,20240517,Storm,31,78,39.7,5,20,25.0,26,29,89.7,42,9,33,19,20,8,24,12,40,2,1,25,0,0,0,35,25
401620226,20240517,Lynx,35,79,44.3,13,30,43.3,19,25,76.0,42,10,32,27,18,10,27,19,36,16,1,28,0,0,0,22,23
401620227,20240518,Fever,33,80,41.3,9,26,34.6,5,6,83.3,34,10,24,22,9,3,15,2,38,3,1,16,0,0,0,16,16
401620227,20240518,Liberty,31,64,48.4,15,32,46.9,14,16,87.5,32,6,26,21,9,6,20,28,32,23,0,20,0,0,0,16,14
401620228,20240518,Sparks,34,66,51.5,5,14,35.7,9,15,60.0,31,3,28,16,11,5,17,20,52,7,1,18,0,0,0,25,18
401620228,20240518,Aces,31,73,42.5,13,31,41.9,14,16,87.5,34,10,24,23,10,4,12,8,34,13,0,12,1,1,0,14,14
401620229,20240518,Sky,32,80,40.0,4,21,19.0,15,20,75.0,42,19,23,25,15,13,17,16,46,9,2,19,1,1,0,6,24
401620229,20240518,Wings,23,66,34.8,7,18,38.9,21,23,91.3,40,13,27,15,7,8,25,10,24,14,1,26,1,1,0,34,23
401620230,20240518,Dream,27,66,40.9,10,23,43.5,21,27,77.8,33,7,26,21,8,5,13,12,32,7,1,14,0,0,0,14,21
401620230,20240518,Mercury,27,66,40.9,6,23,26.1,28,32,87.5,38,7,31,17,10,5,12,6,34,12,0,12,1,1,0,13,22
401620231,20240519,Storm,28,68,41.2,5,20,25.0,23,29,79.3,43,14,29,10,10,2,20,8,36,15,0,20,0,0,0,26,23
401620231,20240519,Mystics,25,62,40.3,9,26,34.6,16,23,69.6,29,6,23,20,9,4,16,7,30,5,0,16,2,2,0,13,23
401620232,20240520,Sun,30,74,40.5,4,19,21.1,24,30,80.0,33,15,18,15,5,4,8,11,42,9,0,8,0,0,0,13,13
401620232,20240520,Fever,33,69,47.8,6,20,30.0,12,13,92.3,36,13,23,20,4,7,17,10,48,4,0,17,1,1,0,22,24
401620233,20240520,Storm,24,70,34.3,6,24,25.0,9,14,64.3,34,12,22,16,8,3,14,13,24,0,3,17,0,0,0,12,23
401620233,20240520,Liberty,26,63,41.3,3,23,13.0,19,20,95.0,36,7,29,18,7,5,15,4,42,18,3,18,0,0,0,15,13
401620234,20240521,Wings,30,70,42.9,2,16,12.5,16,20,80.0,35,11,24,17,6,6,14,9,46,10,2,16,0,0,0,16,20
401620234,20240521,Dream,30,72,41.7,7,22,31.8,16,22,72.7,36,13,23,17,9,3,12,17,26,8,1,13,0,0,0,13,20
401620235,20240521,Mercury,37,78,47.4,16,33,48.5,8,13,61.5,39,6,33,23,7,7,7,9,32,15,0,7,0,0,0,2,15
401620235,20240521,Aces,33,78,42.3,11,31,35.5,11,15,73.3,39,7,32,22,5,4,9,14,34,7,0,9,0,0,0,7,18
401620236,20240521,Mystics,27,64,42.2,8,25,32.0,6,11,54.5,28,8,20,21,13,3,18,6,26,9,1,19,3,3,0,10,16
401620236,20240521,Sparks,26,55,47.3,8,21,38.1,10,15,66.7,33,5,28,21,8,5,24,8,28,9,4,28,0,0,0,26,19
401620237,20240522,Fever,31,72,43.1,6,22,27.3,15,18,83.3,40,13,27,18,5,8,11,9,50,4,2,13,0,0,0,11,17
401620237,20240522,Storm,34,82,41.5,6,20,30.0,11,13,84.6,41,17,24,20,6,9,8,7,46,11,1,9,0,0,0,6,16
401620238,20240523,Lynx,33,68,48.5,4,21,19.0,12,20,60.0,33,6,27,23,11,5,17,9,36,13,0,17,0,0,0,24,19
401620238,20240523,Sun,30,67,44.8,5,11,45.5,18,21,85.7,30,3,27,17,10,2,16,13,46,7,2,18,0,0,0,19,17
401620239,20240523,Sky,35,75,46.7,7,19,36.8,13,20,65.0,38,11,27,22,5,2,9,19,46,14,0,9,0,0,0,11,18
401620239,20240523,Liberty,30,69,43.5,8,22,36.4,13,20,65.0,35,8,27,22,8,5,14,11,36,3,0,14,0,0,0,19,17
401620240,20240523,Mystics,27,70,38.6,13,36,36.1,13,16,81.3,36,9,27,21,7,1,17,7,22,4,0,17,0,0,0,21,21
401620240,20240523,Mercury,26,60,43.3,10,33,30.3,21,24,87.5,34,4,30,20,9,4,16,4,30,14,1,17,1,1,0,16,19
401620241,20240524,Fever,29,69,42.0,7,25,28.0,13,17,76.5,32,5,27,22,9,2,10,14,38,7,1,11,0,0,0,16,17
401620241,20240524,Sparks,25,59,42.4,5,24,20.8,18,21,85.7,35,3,32,18,5,3,18,4,36,11,1,19,0,0,0,19,19
401620242,20240525,Liberty,26,68,38.2,7,29,24.1,8,10,80.0,30,9,21,18,8,3,16,15,36,2,2,18,0,0,0,25,11
401620242,20240525,Lynx,32,67,47.8,14,28,50.0,6,6,100.0,35,8,27,26,8,7,16,15,32,21,0,16,1,1,0,17,16
401620243,20240525,Sun,31,63,49.2,6,17,35.3,18,21,85.7,38,16,22,17,5,4,17,11,40,7,3,20,0,0,1,23,16
401620243,20240525,Sky,28,64,43.8,8,17,47.1,18,22,81.8,21,9,12,18,13,3,11,14,34,10,2,13,0,0,0,14,24
401620244,20240525,Fever,30,70,42.9,10,27,37.0,10,13,76.9,36,6,30,20,4,3,12,9,34,6,1,13,0,0,0,10,16
401620244,20240525,Aces,35,73,47.9,13,35,37.1,16,18,88.9,36,6,30,24,7,4,8,19,28,23,0,8,0,0,0,6,14
401620245,20240525,Mystics,24,70,34.3,7,20,35.0,14,15,93.3,27,12,15,13,7,0,14,5,30,3,1,15,0,0,0,21,15
