Date,HomeTeam,HomeScore,AwayTeam,AwayScore,Status
2024-05-14,Mystics,80,Liberty,85,Final
2024-05-14,Sun,92,Fever,71,Final
2024-05-14,Aces,89,Mercury,80,Final
2024-05-14,Storm,70,Lynx,83,Final
2024-05-15,Wings,87,Sky,79,Final
2024-05-15,Sparks,81,Dream,92,Final
2024-05-16,Fever,66,Liberty,102,Final
2024-05-17,Sun,84,Mystics,77,Final
2024-05-17,Lynx,102,Storm,93,Final
2024-05-18,Liberty,91,Fever,80,Final
2024-05-18,Aces,89,Sparks,82,Final
2024-05-18,Wings,74,Sky,83,Final
2024-05-18,Mercury,88,Dream,85,Final
2024-05-19,Mystics,75,Storm,84,Final
2024-05-20,Fever,84,Sun,88,Final
2024-05-20,Liberty,74,Storm,63,Final
2024-05-21,Dream,83,Wings,78,Final
2024-05-21,Aces,88,Mercury,98,Final
2024-05-21,Sparks,70,Mystics,68,Final
2024-05-22,Storm,85,Fever,83,Final
2024-05-23,Sun,83,Lynx,82,Final
2024-05-23,Liberty,81,Sky,90,Final
2024-05-23,Mercury,83,Mystics,80,Final
2024-05-24,Sparks,73,Fever,78,Final
2024-05-25,Lynx,84,Liberty,67,Final
2024-05-25,Sky,82,Sun,86,Final
2024-05-25,Aces,99,Fever,80,Final
2024-05-25,Storm,101,Mystics,69,Final
2024-05-25,Mercury,92,Wings,107,Final
2024-05-26,Dream,79,Lynx,92,Final
2024-05-26,Sparks,83,Wings,84,Final
2024-05-28,Sun,70,Mercury,47,Final
2024-05-28,Fever,82,Sparks,88,Final
2024-05-28,Sky,68,Storm,77,Final
2024-05-29,Liberty,81,Mercury,78,Final
2024-05-29,Mystics,67,Dream,73,Final
2024-05-29,Lynx,66,Aces,80,Final
2024-05-30,Fever,88,Storm,103,Final
2024-05-30,Sky,83,Sparks,73,Final
2024-05-31,Dream,78,Aces,74,Final
2024-05-31,Sun,74,Wings,72,Final
2024-05-31,Liberty,90,Mystics,79,Final
2024-05-31,Lynx,95,Mercury,71,Final
2024-06-01,Fever,71,Sky,70,Final
2024-06-02,Dream,50,Sun,69,Final
2024-06-02,Mercury,87,Sparks,68,Final
2024-06-02,Liberty,104,Fever,68,Final
2024-06-02,Lynx,87,Wings,76,Final
2024-06-04,Sun,76,Mystics,59,Final
2024-06-04,Sky,75,Liberty,88,Final
2024-06-04,Storm,80,Mercury,62,Final
2024-06-05,Wings,81,Aces,95,Final
2024-06-05,Sparks,62,Lynx,86,Final
2024-06-06,Mystics,71,Sky,79,Final
2024-06-06,Dream,61,Liberty,78,Final
2024-06-07,Mystics,83,Fever,85,Final
2024-06-07,Aces,65,Storm,78,Final
2024-06-07,Sparks,81,Wings,72,Final
2024-06-07,Mercury,81,Lynx,80,Final
2024-06-08,Sun,75,Liberty,82,Final
2024-06-08,Sky,80,Dream,89,Final
2024-06-09,Liberty,93,Mystics,88,Final
2024-06-09,Wings,90,Mercury,97,Final
2024-06-09,Lynx,83,Storm,64,Final
2024-06-09,Sparks,96,Aces,92,Final
2024-06-10,Sun,89,Fever,72,Final
2024-06-11,Dream,68,Mystics,87,Final
2024-06-11,Aces,86,Lynx,100,Final
2024-06-11,Storm,95,Sparks,79,Final
