Date,Season,HomeTeam,AwayTeam
2026-05-01,2026,Lynx,Tempo
2026-05-02,2026,Fever,NIGERIA
2026-05-03,2026,Dream,Mystics
2026-05-03,2026,Sun,Liberty
2026-05-03,2026,Wings,Aces
2026-05-03,2026,Fire,Sparks
2026-05-08,2026,Liberty,Sun
2026-05-08,2026,Tempo,Mystics
2026-05-08,2026,Storm,Valkyries
2026-05-09,2026,Fever,Wings
2026-05-09,2026,Aces,Mercury
2026-05-09,2026,Lynx,Dream
2026-05-09,2026,Fire,Sky
2026-05-10,2026,Sun,Storm
2026-05-10,2026,Mystics,Liberty
2026-05-10,2026,Sparks,Aces
2026-05-10,2026,Valkyries,Mercury
2026-05-12,2026,Wings,Dream
2026-05-12,2026,Mercury,Lynx
2026-05-12,2026,Fire,Liberty
2026-05-13,2026,Tempo,Storm
2026-05-13,2026,Sun,Aces
2026-05-13,2026,Valkyries,Sky
2026-05-13,2026,Sparks,Fever
2026-05-14,2026,Wings,Lynx
2026-05-14,2026,Fire,Liberty
2026-05-15,2026,Sun,Aces
2026-05-15,2026,Fever,Mystics
2026-05-15,2026,Sparks,Tempo
2026-05-15,2026,Mercury,Sky
2026-05-17,2026,Dream,Aces
2026-05-17,2026,Fever,Storm
2026-05-17,2026,Lynx,Sky
2026-05-17,2026,Sparks,Tempo
2026-05-18,2026,Wings,Mystics
2026-05-18,2026,Fire,Sun
2026-05-19,2026,Mercury,Tempo
2026-05-20,2026,Fever,Fire
2026-05-20,2026,Sky,Wings
2026-05-20,2026,Storm,Sun
2026-05-21,2026,Liberty,Valkyries
2026-05-21,2026,Lynx,Tempo
2026-05-21,2026,Mercury,Sparks
2026-05-22,2026,Dream,Wings
2026-05-22,2026,Fever,Valkyries
2026-05-22,2026,Storm,Sun
2026-05-23,2026,Sky,Lynx
2026-05-23,2026,Tempo,Fire
2026-05-23,2026,Aces,Sparks
2026-05-24,2026,Dream,Mercury
2026-05-24,2026,Liberty,Wings
2026-05-24,2026,Storm,Mystics
2026-05-25,2026,Liberty,Fire
2026-05-25,2026,Valkyries,Sun
2026-05-27,2026,Liberty,Mercury
2026-05-27,2026,Sky,Tempo
2026-05-27,2026,Lynx,Dream
2026-05-27,2026,Fire,Sun
2026-05-27,2026,Storm,Mystics
2026-05-28,2026,Wings,Aces
2026-05-28,2026,Valkyries,Fever
2026-05-29,2026,Liberty,Mercury
2026-05-29,2026,Mystics,Sparks
2026-05-29,2026,Sky,Lynx
2026-05-29,2026,Fire,Dream
2026-05-30,2026,Tempo,Storm
2026-05-30,2026,Sun,Sparks
2026-05-30,2026,Fire,Fever
2026-05-31,2026,Valkyries,Aces
2026-06-01,2026,Wings,Storm
2026-06-01,2026,Mercury,Lynx
2026-06-02,2026,Dream,Sun
2026-06-02,2026,Mystics,Sky
2026-06-02,2026,Valkyries,Fire
2026-06-02,2026,Sparks,Aces
2026-06-03,2026,Liberty,Tempo
2026-06-03,2026,Storm,Mercury
2026-06-04,2026,Fever,Dream
2026-06-04,2026,Lynx,Valkyries
2026-06-05,2026,Sky,Sun
2026-06-05,2026,Sparks,Wings
2026-06-05,2026,Fire,Mercury
2026-06-06,2026,Lynx,Storm
2026-06-06,2026,Aces,Valkyries
2026-06-06,2026,Dream,Mystics
2026-06-06,2026,Liberty,Fever
2026-06-07,2026,Tempo,Sky
2026-06-07,2026,Sparks,Fire
2026-06-08,2026,Sun,Liberty
2026-06-08,2026,Mystics,Fever
2026-06-08,2026,Aces,Storm
2026-06-09,2026,Sky,Dream
2026-06-09,2026,Lynx,Wings
2026-06-09,2026,Valkyries,Mercury
2026-06-10,2026,Tempo,Sun
2026-06-10,2026,Storm,Sparks
2026-06-11,2026,Fever,Sky
