GameID,Date,Season,Team,PlayerID,Player,Position,Jersey,minutes,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,points
401857128,2026-08-09,2026,Aces,3099736,Stephanie Talbot,F,7,21,1-3,1-2,1-2,0,2,2,0,1,0,2,0,-30,4
401857128,2026-08-09,2026,Aces,3142086,Brianna Turner,F,21,30,2-4,0-0,0-0,1,2,3,1,0,1,1,3,-30,4
401857128,2026-08-09,2026,Aces,4398776,NaLyssa Smith,F,3,20,3-8,0-1,1-2,2,4,6,4,0,0,1,3,-21,7
401857128,2026-08-09,2026,Aces,2987869,Jewell Loyd,G,24,20,0-4,0-2,2-2,0,0,0,1,0,0,1,0,-15,2
401857128,2026-08-09,2026,Aces,4281190,Dana Evans,G,11,14,1-4,0-2,0-0,0,1,1,2,0,1,3,0,-20,2
401857128,2026-08-09,2026,Aces,4433633,Kierstan Bell,F,1,21,2-6,1-4,0-0,1,3,4,0,1,0,0,4,-12,5
401857128,2026-08-09,2026,Aces,4609797,Ta'Niya Latson,G,5,24,6-9,1-2,7-8,1,3,4,2,1,0,2,2,-24,20
401857128,2026-08-09,2026,Aces,4682855,Justine Pissott,G,13,25,4-14,3-8,0-0,0,3,3,1,2,0,2,4,-28,11
401857128,2026-08-09,2026,Aces,5220104,Mai Yamamoto,G,18,26,6-11,4-8,0-0,0,1,1,6,1,0,2,2,-20,16
401857128,2026-08-09,2026,Liberty,2998928,Breanna Stewart,F,30,23,4-10,0-0,6-8,2,2,4,4,1,1,1,0,+21,14
401857128,2026-08-09,2026,Liberty,2999101,Jonquel Jones,C,35,19,5-8,3-6,2-2,0,8,8,2,2,0,3,3,+19,15
401857128,2026-08-09,2026,Liberty,3102133,Rebecca Allen,G,9,22,5-7,2-4,1-1,2,6,8,2,2,1,0,1,+26,13
401857128,2026-08-09,2026,Liberty,4066533,Sabrina Ionescu,G,20,21,2-10,1-6,0-0,1,2,3,2,0,0,2,2,+16,5
401857128,2026-08-09,2026,Liberty,5345320,Pauline Astier,G,18,16,2-2,0-0,2-2,1,1,2,1,0,0,0,0,+13,6
401857128,2026-08-09,2026,Liberty,4790258,Raquel Carrera,F,14,17,2-4,0-1,0-0,2,2,4,2,0,0,1,3,+19,4
401857128,2026-08-09,2026,Liberty,4337216,Han Xu,C,21,17,5-7,1-2,3-3,1,4,5,0,1,1,0,2,+14,14
401857128,2026-08-09,2026,Liberty,2327695,Rebekah Gardner,G,7,21,5-11,0-1,1-1,4,3,7,0,1,1,1,2,+25,11
401857128,2026-08-09,2026,Liberty,4038379,Marine Johannes,G,23,22,9-14,7-12,2-2,0,1,1,3,1,0,3,0,+26,27
401857128,2026-08-09,2026,Liberty,4790260,Marine Fauthoux,G,4,22,1-2,0-0,0-2,0,3,3,9,0,0,2,0,+21,2
401857129,2026-08-09,2026,Mercury,869,DeWanna Bonner,F,24,19,4-6,2-4,0-0,0,0,0,1,1,0,0,0,-26,10
401857129,2026-08-09,2026,Mercury,2529140,Alyssa Thomas,F,25,31,5-15,0-1,0-0,2,8,10,6,0,0,3,2,-11,10
401857129,2026-08-09,2026,Mercury,4068042,Natasha Mack,F,4,23,4-7,0-1,0-0,3,4,7,0,1,0,2,3,-15,8
401857129,2026-08-09,2026,Mercury,2998938,Kahleah Copper,G,2,30,4-13,2-4,5-5,0,0,0,3,0,0,2,2,-26,15
401857129,2026-08-09,2026,Mercury,3065570,Kelsey Plum,G,0,14,2-7,1-5,0-1,0,3,3,2,0,0,3,1,-19,5
401857129,2026-08-09,2026,Mercury,3919496,Valeriane Ayayi,F,11,9,0-0,0-0,1-2,0,1,1,1,1,0,2,1,-6,1
401857129,2026-08-09,2026,Mercury,4704594,Marta Suarez,F,77,6,0-1,0-1,0-0,0,0,0,2,0,0,1,0,+2,0
401857129,2026-08-09,2026,Mercury,5345524,Noemie Brochant,F,1,21,5-7,3-4,0-0,1,1,2,1,0,0,0,2,+6,13
401857129,2026-08-09,2026,Mercury,4873359,Kyara Linskens,C,31,17,1-3,1-1,0-0,0,8,8,2,1,3,0,1,-5,3
401857129,2026-08-09,2026,Mercury,887,Sami Whitcomb,G,33,14,1-3,1-3,0-0,0,1,1,3,1,0,2,1,+7,3
401857129,2026-08-09,2026,Mercury,4399342,Lexi Held,G,10,16,3-7,1-5,0-0,0,1,1,1,0,0,1,2,-7,7
401857129,2026-08-09,2026,Mystics,4282173,Michaela Onyenwere,F,12,25,5-8,3-6,0-0,0,2,2,1,0,1,2,2,+28,13
401857129,2026-08-09,2026,Mystics,4898384,Kiki Iriafen,F,44,24,5-12,0-0,2-4,3,6,9,2,1,0,1,2,+17,12
401857129,2026-08-09,2026,Mystics,4398911,Shakira Austin,C,0,26,8-16,1-3,2-2,2,9,11,3,0,1,0,1,+27,19
401857129,2026-08-09,2026,Mystics,4433524,Sonia Citron,G,22,27,7-9,5-6,0-0,1,3,4,6,2,1,1,1,+31,19
401857129,2026-08-09,2026,Mystics,4704180,Georgia Amoore,G,8,21,0-4,0-4,0-0,0,1,1,6,0,0,0,5,+28,0
401857129,2026-08-09,2026,Mystics,4433411,Angela Dugalic,F,32,9,0-1,0-1,0-0,1,2,3,1,2,0,1,1,-8,0
401857129,2026-08-09,2026,Mystics,5105737,Lauren Betts,C,51,18,3-5,0-0,0-0,2,4,6,1,1,0,1,0,+7,6
401857129,2026-08-09,2026,Mystics,4433815,Lucy Olsen,G,33,4,2-2,2-2,0-0,0,0,0,0,0,1,0,1,-3,6
401857129,2026-08-09,2026,Mystics,4583144,Cotie McMahon,G,23,20,4-8,0-3,5-7,0,0,0,1,2,0,1,3,-7,13
401857129,2026-08-09,2026,Mystics,5122345,Cassandre Prosper,G,18,12,0-2,0-2,3-4,1,1,2,1,2,0,1,0,-12,3
401857129,2026-08-09,2026,Mystics,5349415,Alicia Florez,G,2,15,2-5,0-2,0-2,0,2,2,2,1,0,0,1,-8,4
401857130,2026-08-09,2026,Wings,3906949,Jessica Shepard,F,32,5,0-0,0-0,0-0,0,0,0,1,0,0,0,1,-5,0
401857130,2026-08-09,2026,Wings,3913881,Alanna Smith,F,8,27,5-13,1-4,0-0,3,5,8,0,1,0,1,2,-12,11
401857130,2026-08-09,2026,Wings,2529047,Odyssey Sims,G,1,31,7-13,1-4,2-2,0,3,3,4,0,0,3,0,-14,17
401857130,2026-08-09,2026,Wings,3904577,Arike Ogunbowale,G,24,28,2-4,1-2,0-0,0,0,0,4,1,0,4,1,-26,5
401857130,2026-08-09,2026,Wings,4433730,Paige Bueckers,G,5,31,10-15,1-3,2-2,1,3,4,8,3,0,6,2,-14,23
401857130,2026-08-09,2026,Wings,4399415,Maddy Siegrist,F,20,6,2-3,1-1,0-0,0,0,0,0,0,0,0,1,+6,5
401857130,2026-08-09,2026,Wings,4790266,Awak Kuier,F,34,19,2-6,0-4,0-0,1,6,7,1,0,0,1,0,-1,4
401857130,2026-08-09,2026,Wings,4336633,Li Yueru,C,28,27,1-3,0-1,2-2,2,4,6,0,0,0,0,0,-8,4
401857130,2026-08-09,2026,Wings,4068159,Sug Sutton,G,0,9,1-1,0-0,0-0,0,0,0,4,0,0,1,0,+1,2
401857130,2026-08-09,2026,Wings,4433807,Aziaha James,G,10,15,7-10,1-1,4-5,1,5,6,2,0,0,2,1,+8,19
401857130,2026-08-09,2026,Wings,4595910,Haley Jones,G,30,2,0-0,0-0,0-0,0,0,0,0,0,0,0,0,0,0
401857130,2026-08-09,2026,Lynx,2529130,Natasha Howard,F,1,24,6-9,0-0,0-0,2,2,4,3,2,2,1,5,+12,12
401857130,2026-08-09,2026,Lynx,3917450,Napheesa Collier,F,24,35,7-10,3-5,0-0,1,7,8,3,4,1,3,0,+9,17
401857130,2026-08-09,2026,Lynx,2529205,Kayla McBride,G,21,32,16-21,10-14,1-1,1,0,1,1,1,0,2,0,+16,43
401857130,2026-08-09,2026,Lynx,2987891,Courtney Williams,G,10,31,1-8,0-4,1-2,0,3,3,7,1,0,0,4,+15,3
401857130,2026-08-09,2026,Lynx,4433791,Olivia Miles,G,5,34,7-12,5-8,1-2,0,1,1,13,1,0,4,2,+15,20
401857130,2026-08-09,2026,Lynx,3054590,Nia Coffey,F,12,14,2-5,0-3,0-0,1,3,4,1,1,0,0,0,-1,4
401857130,2026-08-09,2026,Lynx,4398938,Dorka Juhasz,F,14,9,0-2,0-2,0-0,0,0,0,0,0,0,0,0,-2,0
401857130,2026-08-09,2026,Lynx,4873358,Antonia Delaere,F,8,8,0-3,0-3,0-0,0,0,0,0,1,0,0,0,+8,0
401857130,2026-08-09,2026,Lynx,4280850,Maya Caldwell,G,3,10,1-2,0-0,0-2,1,1,2,1,1,0,1,1,-4,2
401857130,2026-08-09,2026,Lynx,5345478,Eliska Joklova,G,11,4,0-0,0-0,2-2,0,1,1,0,0,0,0,0,-3,2
401857131,2026-08-09,2026,Valkyries,2529622,Kayla Thornton,F,5,28,4-10,1-7,2-2,1,6,7,1,1,0,3,1,+11,11
401857131,2026-08-09,2026,Valkyries,3142328,Gabby Williams,F,1,19,5-11,0-3,1-2,0,1,1,1,1,0,1,0,+1,11
401857131,2026-08-09,2026,Valkyries,4257500,Cecilia Zandalasini,F,24,23,5-8,5-5,0-0,2,5,7,2,1,0,0,2,+12,15
401857131,2026-08-09,2026,Valkyries,2590093,Kiah Stokes,C,41,20,2-8,1-4,0-0,5,2,7,3,0,0,1,5,+10,5
401857131,2026-08-09,2026,Valkyries,4398935,Veronica Burton,G,22,29,2-6,0-2,3-3,0,0,0,7,3,0,1,0,+9,7
401857131,2026-08-09,2026,Valkyries,4432834,Laeticia Amihere,F,3,12,1-2,0-1,0-0,1,2,3,1,0,2,0,2,-2,2
401857131,2026-08-09,2026,Valkyries,4790264,Janelle Salaun,F,13,21,3-8,2-6,0-0,0,3,3,0,1,0,2,1,-7,8
