GameID,Date,Season,Team,PlayerID,Player,Position,Jersey,minutes,points,offensiveRebounds,defensiveRebounds,rebounds,assists,steals,blocks,turnovers,fouls,plusMinus,FGM,FGA,3PM,3PA,FTM,FTA,fieldGoalsMade-fieldGoalsAttempted,threePointFieldGoalsMade-threePointFieldGoalsAttempted,freeThrowsMade-freeThrowsAttempted
401736112,2025-05-16,2025,Dream,3058895,Brionna Jones,F,1,34,16,6,4,10,5,0,1,2,4,4,6.0,13.0,0.0,2.0,4.0,8.0,,,
401736112,2025-05-16,2025,Dream,2490553,Brittney Griner,C,1,28,18,2,6,8,1,0,1,2,2,-3,7.0,16.0,0.0,2.0,4.0,5.0,,,
401736112,2025-05-16,2025,Dream,3058901,Allisha Gray,G,1,36,25,2,6,8,7,1,0,2,4,-5,7.0,14.0,6.0,10.0,5.0,8.0,,,
401736112,2025-05-16,2025,Dream,4398674,Rhyne Howard,G,1,37,11,1,1,2,6,1,0,4,3,-2,4.0,15.0,3.0,12.0,0.0,0.0,,,
401736112,2025-05-16,2025,Dream,4433431,Te-Hina Paopao,G,1,25,7,2,1,3,4,1,0,2,4,6,3.0,5.0,1.0,3.0,0.0,0.0,,,
401736112,2025-05-16,2025,Dream,3054590,Nia Coffey,F,0,14,10,2,2,4,0,0,0,1,0,-9,2.0,6.0,2.0,3.0,4.0,4.0,,,
401736112,2025-05-16,2025,Dream,4398915,Naz Hillmon,F,0,2,0,0,0,0,0,0,0,0,0,-2,0.0,1.0,0.0,1.0,0.0,0.0,,,
401736112,2025-05-16,2025,Dream,3058893,Shatori Walker-Kimbrough,G,0,16,3,0,0,0,1,0,0,0,3,0,1.0,3.0,0.0,2.0,1.0,2.0,,,
401736112,2025-05-16,2025,Dream,4280850,Maya Caldwell,G,0,7,0,0,2,2,0,1,0,1,2,-9,0.0,1.0,0.0,1.0,0.0,0.0,,,
401736112,2025-05-16,2025,Mystics,4898384,Kiki Iriafen,F,1,28,14,1,3,4,2,0,0,0,6,5,4.0,10.0,0.0,0.0,6.0,8.0,,,
401736112,2025-05-16,2025,Mystics,2529183,Stefanie Dolson,C,1,27,6,0,3,3,3,1,2,0,3,7,2.0,4.0,2.0,3.0,0.0,0.0,,,
401736112,2025-05-16,2025,Mystics,2988756,Brittney Sykes,G,1,37,22,1,2,3,5,1,1,1,5,5,6.0,20.0,1.0,6.0,9.0,12.0,,,
401736112,2025-05-16,2025,Mystics,4068159,Sug Sutton,G,1,30,13,1,0,1,2,3,0,2,0,-9,5.0,9.0,1.0,3.0,2.0,3.0,,,
401736112,2025-05-16,2025,Mystics,4433524,Sonia Citron,G,1,24,19,0,2,2,2,0,0,1,4,3,6.0,7.0,2.0,2.0,5.0,6.0,,,
401736112,2025-05-16,2025,Mystics,4398729,Emily Engstler,F,0,13,5,1,4,5,1,0,1,1,1,-3,2.0,3.0,1.0,1.0,0.0,0.0,,,
401736112,2025-05-16,2025,Mystics,5017721,Sika Kone,F,0,12,2,0,3,3,1,0,0,2,2,-1,1.0,1.0,0.0,0.0,0.0,0.0,,,
401736112,2025-05-16,2025,Mystics,4433815,Lucy Olsen,G,0,8,2,0,0,0,1,0,0,0,2,8,1.0,1.0,0.0,0.0,0.0,0.0,,,
401736112,2025-05-16,2025,Mystics,5017726,Jade Melbourne,G,0,22,11,1,4,5,1,2,0,0,2,5,4.0,6.0,2.0,3.0,1.0,2.0,,,
