RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO
1,Napheesa CollierMIN,F,20,33.7,23.9,8.7,16.8,51.9,1.3,3.9,33.3,5.2,5.5,95.4,7.7,3.5,1.7,1.6,2.4
2,A'ja WilsonLV,C,17,30.4,21.5,7.2,15.2,47.1,0.4,1.4,25.0,6.8,8.0,84.6,9.1,3.3,1.6,2.4,2.3
3,Kelsey PlumLA,G,21,35.6,20.1,6.0,15.0,39.7,2.5,7.0,35.8,5.7,6.2,91.5,3.1,5.8,1.5,0.1,3.3
4,Breanna StewartNY,F,20,32.8,19.5,6.7,14.3,46.5,0.7,3.1,21.0,5.6,6.8,81.6,6.7,3.8,1.4,1.3,2.2
5,Kelsey MitchellIND,G,22,31.1,19.3,7.0,15.1,46.5,2.1,5.9,36.4,3.0,4.1,74.4,1.8,2.8,0.9,0.2,1.4
6,Satou SaballyPHX,F,18,28.3,19.1,6.0,15.4,39.0,1.9,6.1,30.9,5.2,6.3,82.5,7.7,2.6,1.4,0.5,2.4
7,Sabrina IonescuNY,G,19,31.3,18.8,5.9,15.6,38.0,2.5,8.0,30.9,4.5,4.8,93.4,4.5,5.3,1.6,0.4,2.6
8,Allisha GrayATL,G,21,36.0,18.6,5.8,13.0,44.3,2.3,6.0,38.9,4.7,5.9,80.5,5.5,3.9,0.9,0.5,1.8
9,Paige BueckersDAL,G,17,34.7,18.3,6.7,14.7,45.6,1.1,3.3,33.9,3.8,4.4,85.3,4.1,5.4,1.7,0.8,2.3
10,Skylar DigginsSEA,G,22,32.6,17.9,6.0,13.6,44.0,1.5,3.9,40.0,4.3,5.5,78.5,2.3,5.8,1.1,0.7,2.5
11,Jackie YoungLV,G,21,30.1,17.5,5.9,13.5,43.7,1.6,5.2,30.3,4.1,4.5,90.5,4.2,3.9,1.0,0.4,2.5
12,Dearica HambyLA,F,22,32.2,17.2,6.6,12.4,53.7,0.5,1.5,30.3,3.5,5.6,61.3,7.5,3.7,1.9,0.5,2.8
13,Brittney SykesWSH,G,19,31.9,17.1,5.1,13.2,38.2,0.9,2.7,33.3,6.1,7.7,78.2,3.6,4.4,1.0,0.3,3.1
14,Nneka OgwumikeSEA,F,22,31.3,16.9,6.9,13.5,51.2,1.2,3.3,36.1,1.9,2.3,84.0,7.7,2.3,1.3,0.7,2.1
15,Rhyne HowardATL,G,19,35.3,16.5,5.2,15.0,34.7,2.9,9.7,30.3,3.2,3.9,80.0,5.0,4.5,1.6,0.9,1.9
16,Arike OgunbowaleDAL,G,19,33.7,16.0,5.2,14.9,35.0,1.7,5.9,29.5,3.8,4.1,93.6,2.6,3.9,1.5,0.3,2.3
17,Aliyah BostonIND,F,22,29.9,16.0,6.5,11.2,57.7,0.2,0.7,25.0,2.9,3.6,79.7,7.8,3.6,0.7,1.1,1.5
18,Tina CharlesCONN,C,22,28.8,15.6,5.6,14.0,40.1,0.2,1.0,19.0,4.2,4.8,86.8,5.6,1.6,0.8,0.4,2.4
19,Alyssa ThomasPHX,F,16,31.0,15.4,6.3,11.7,53.5,0.0,0.1,0.0,2.9,4.3,69.1,7.4,9.6,1.5,0.5,3.3
20,Azura StevensLA,F,22,29.0,14.7,5.3,10.5,50.4,1.8,4.4,40.6,2.3,3.0,75.8,8.7,1.9,1.5,1.3,1.7
21,Kayla ThorntonGS,F,21,30.4,14.5,4.7,12.7,37.1,1.9,6.7,28.6,3.1,3.8,82.5,7.1,1.5,1.4,0.2,1.7
22,Courtney WilliamsMIN,G,23,28.4,14.1,5.8,13.5,42.8,1.5,4.0,37.0,1.1,1.3,83.3,5.2,6.0,1.6,0.3,2.4
23,Kayla McBrideMIN,G,19,31.6,14.1,4.5,10.8,41.3,2.6,6.9,37.9,2.5,2.7,94.1,2.3,3.1,1.2,0.1,1.6
24,Sonia CitronWSH,G,22,33.5,14.1,4.7,10.5,45.0,1.6,4.4,36.5,3.0,3.4,89.3,5.0,2.0,1.0,0.3,2.0
25,Angel ReeseCHI,F,21,31.7,14.0,5.0,11.1,44.6,0.2,0.9,21.1,3.9,5.0,77.9,12.6,3.8,1.5,0.6,3.8
26,Ariel AtkinsCHI,G,21,29.7,13.9,4.9,11.4,42.5,1.3,3.8,35.4,2.9,3.3,85.7,3.1,3.5,1.9,0.9,2.5
27,Gabby WilliamsSEA,F,22,33.9,13.6,5.3,11.7,45.1,1.6,4.6,34.3,1.5,1.8,82.5,4.7,4.5,2.5,0.5,2.1
28,Brionna JonesATL,F,21,29.6,13.3,5.2,10.0,51.7,0.3,1.3,21.4,2.7,3.6,73.7,7.8,2.4,1.0,0.5,1.5
29,Rickea JacksonLA,F,17,30.1,13.1,5.1,11.8,43.0,1.0,3.8,26.2,1.9,2.5,76.7,2.9,1.9,0.7,0.5,2.4
30,Chelsea GrayLV,G,21,30.6,12.4,4.1,9.6,43.3,1.7,4.4,37.6,2.4,2.7,89.5,4.2,4.3,1.3,0.6,3.4
31,Shakira AustinWSH,F,19,21.6,12.4,4.9,10.3,47.4,0.0,0.3,0.0,2.6,3.9,65.3,6.6,1.8,1.1,1.1,2.4
32,Kamilla CardosoCHI,C,17,23.8,12.4,5.1,9.3,54.4,0.1,0.1,100.0,2.2,3.1,69.8,6.9,1.8,0.3,0.9,2.1
33,Kiki IriafenWSH,F,22,26.7,11.9,4.5,9.8,46.0,0.0,0.1,0.0,2.9,3.8,77.1,8.5,1.4,0.7,0.1,2.0
