RK,Name,POS,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,REB,AST,STL,BLK,TO,DD2,TD3,Season
1,A'ja WilsonLV,C,14,31.6,25.6,9.2,17.6,52.4,1.2,2.4,51.5,6.0,7.2,83.2,9.0,3.1,1.1,2.2,2.6,7,0,2026
2,Kelsey PlumLA,G,11,34.4,25.0,8.5,15.8,54.0,2.7,6.7,40.5,5.2,6.5,80.3,2.1,6.4,1.3,0.0,3.3,1,0,2026
3,Brittney SykesTOR,G,14,32.6,20.7,6.5,15.7,41.4,1.1,4.1,25.9,6.6,7.4,90.3,3.9,3.5,1.4,0.5,2.4,0,0,2026
4,Caitlin ClarkIND,G,12,31.4,20.3,6.4,15.8,40.7,2.7,7.8,34.0,4.8,5.3,92.1,4.6,7.8,0.8,0.8,4.5,2,0,2026
5,Kelsey MitchellIND,G,13,32.4,20.3,7.2,15.9,45.4,1.9,5.9,32.5,3.9,4.9,79.7,1.5,2.7,0.9,0.1,1.9,0,0,2026
6,Breanna StewartNY,F,14,32.6,19.9,6.2,14.1,44.2,0.6,3.0,19.0,6.9,7.8,89.0,9.0,2.6,1.4,1.4,2.4,5,0,2026
7,Allisha GrayATL,G,13,33.3,19.6,6.5,14.1,45.9,2.0,5.6,35.6,4.7,6.1,77.2,3.7,2.2,1.2,0.4,1.5,0,0,2026
8,Paige BueckersDAL,G,13,31.8,19.0,7.2,14.1,51.4,2.0,4.7,42.6,2.5,3.2,78.6,3.7,5.8,0.5,0.3,1.9,1,0,2026
9,Rhyne HowardATL,G,12,34.9,18.9,6.1,14.4,42.2,3.5,9.3,37.8,3.3,3.8,84.8,3.7,3.3,3.0,0.8,1.5,0,0,2026
10,Kahleah CopperPHX,G,14,32.9,18.8,5.9,16.7,35.5,1.6,6.6,25.0,5.3,6.6,80.4,3.4,1.9,0.7,0.1,2.9,1,0,2026
11,Olivia MilesMIN,G,14,30.4,18.1,6.5,11.9,54.5,1.1,3.1,37.2,4.0,4.4,91.8,5.0,5.9,1.5,0.6,3.2,0,0,2026
