gameId,date,season,stage,teamId,team,teamAbbrev,isHome,opponentId,opponent,team_score,opp_score,result,team_shootout_score,opp_shootout_score,status,venue,city,attendance,team_foulsCommitted,team_yellowCards,team_redCards,team_offsides,team_wonCorners,team_saves,team_possessionPct,team_totalShots,team_shotsOnTarget,team_shotPct,team_penaltyKickGoals,team_penaltyKickShots,team_accuratePasses,team_totalPasses,team_passPct,team_accurateCrosses,team_totalCrosses,team_crossPct,team_totalLongBalls,team_accurateLongBalls,team_longballPct,team_blockedShots,team_effectiveTackles,team_totalTackles,team_tacklePct,team_interceptions,team_effectiveClearance,team_totalClearance,opp_foulsCommitted,opp_yellowCards,opp_redCards,opp_offsides,opp_wonCorners,opp_saves,opp_possessionPct,opp_totalShots,opp_shotsOnTarget,opp_shotPct,opp_penaltyKickGoals,opp_penaltyKickShots,opp_accuratePasses,opp_totalPasses,opp_passPct,opp_accurateCrosses,opp_totalCrosses,opp_crossPct,opp_totalLongBalls,opp_accurateLongBalls,opp_longballPct,opp_blockedShots,opp_effectiveTackles,opp_totalTackles,opp_tacklePct,opp_interceptions,opp_effectiveClearance,opp_totalClearance
760415,2026-06-11,2026,group-stage,467,South Africa,RSA,False,203,Mexico,0,2,L,,,FT,Estadio Banorte,Mexico City,80824,11,2,2,1,1,2,39.5,3,2,0.7,0,0,272,334,0.8,1,8,0.1,46,17,0.4,0,7,14,0.5,7,17,17,12,1,1,1,3,2,60.5,16,4,0.3,0,0,467,520,0.9,4,12,0.3,48,31,0.6,5,6,12,0.5,8,15,15
760415,2026-06-11,2026,group-stage,203,Mexico,MEX,True,467,South Africa,2,0,W,,,FT,Estadio Banorte,Mexico City,80824,12,1,1,1,3,2,60.5,16,4,0.3,0,0,467,520,0.9,4,12,0.3,48,31,0.6,5,6,12,0.5,8,15,15,11,2,2,1,1,2,39.5,3,2,0.7,0,0,272,334,0.8,1,8,0.1,46,17,0.4,0,7,14,0.5,7,17,17
760414,2026-06-12,2026,group-stage,450,Czechia,CZE,False,451,South Korea,1,2,L,,,FT,Estadio Akron,Guadalajara,44985,16,0,0,2,5,4,38.5,7,4,0.6,0,0,230,327,0.7,3,15,0.2,69,23,0.3,1,7,9,0.8,6,21,21,9,1,0,2,4,3,61.5,15,6,0.4,0,0,469,541,0.9,3,12,0.3,61,30,0.5,4,4,7,0.6,9,32,32
760414,2026-06-12,2026,group-stage,451,South Korea,KOR,True,450,Czechia,2,1,W,,,FT,Estadio Akron,Guadalajara,44985,9,1,0,2,4,3,61.5,15,6,0.4,0,0,469,541,0.9,3,12,0.3,61,30,0.5,4,4,7,0.6,9,32,32,16,0,0,2,5,4,38.5,7,4,0.6,0,0,230,327,0.7,3,15,0.2,69,23,0.3,1,7,9,0.8,6,21,21
760416,2026-06-12,2026,group-stage,452,Bosnia-Herzegovina,BIH,False,206,Canada,1,1,D,,,FT,BMO Field,Toronto,43002,20,3,0,0,4,1,38.9,8,3,0.4,0,0,172,271,0.6,6,10,0.6,62,17,0.3,1,12,20,0.6,11,70,70,10,2,0,1,9,2,61.1,13,4,0.3,0,0,310,421,0.7,5,24,0.2,41,18,0.4,4,15,23,0.7,4,21,21
760416,2026-06-12,2026,group-stage,206,Canada,CAN,True,452,Bosnia-Herzegovina,1,1,D,,,FT,BMO Field,Toronto,43002,10,2,0,1,9,2,61.1,13,4,0.3,0,0,310,421,0.7,5,24,0.2,41,18,0.4,4,15,23,0.7,4,21,21,20,3,0,0,4,1,38.9,8,3,0.4,0,0,172,271,0.6,6,10,0.6,62,17,0.3,1,12,20,0.6,11,70,70
760417,2026-06-13,2026,group-stage,210,Paraguay,PAR,False,660,United States,1,4,L,,,FT,SoFi Stadium,"Inglewood, California",70492,17,5,0,1,1,3,34.7,9,1,0.1,0,0,232,319,0.7,1,5,0.0,59,20,0.3,5,16,21,0.8,10,33,33,13,1,0,2,3,1,65.3,16,6,0.4,0,0,509,598,0.9,3,19,0.2,48,26,0.5,4,7,9,0.8,9,15,15
760417,2026-06-13,2026,group-stage,660,United States,USA,True,210,Paraguay,4,1,W,,,FT,SoFi Stadium,"Inglewood, California",70492,13,1,0,2,3,1,65.3,16,6,0.4,0,0,509,598,0.9,3,19,0.2,48,26,0.5,4,7,9,0.8,9,15,15,17,5,0,1,1,3,34.7,9,1,0.1,0,0,232,319,0.7,1,5,0.0,59,20,0.3,5,16,21,0.8,10,33,33
760419,2026-06-13,2026,group-stage,2869,Morocco,MAR,False,205,Brazil,1,1,D,,,FT,MetLife Stadium,"East Rutherford, New Jersey",80663,14,0,0,1,2,4,48.6,14,3,0.2,0,0,419,486,0.9,2,15,0.1,52,17,0.3,6,18,26,0.7,5,17,17,16,2,0,0,6,2,51.4,12,5,0.4,0,0,449,514,0.9,4,16,0.3,36,18,0.5,3,13,23,0.6,5,23,23
760419,2026-06-13,2026,group-stage,205,Brazil,BRA,True,2869,Morocco,1,1,D,,,FT,MetLife Stadium,"East Rutherford, New Jersey",80663,16,2,0,0,6,2,51.4,12,5,0.4,0,0,449,514,0.9,4,16,0.3,36,18,0.5,3,13,23,0.6,5,23,23,14,0,0,1,2,4,48.6,14,3,0.2,0,0,419,486,0.9,2,15,0.1,52,17,0.3,6,18,26,0.7,5,17,17
760420,2026-06-13,2026,group-stage,475,Switzerland,SUI,False,4398,Qatar,1,1,D,,,FT,Levi's Stadium,"Santa Clara, California",67966,11,1,0,1,10,3,68,26,7,0.3,0,1,527,576,0.9,6,35,0.2,35,27,0.8,9,6,8,0.8,7,13,13,12,2,0,0,3,5,32,6,3,0.5,0,0,200,278,0.7,1,9,0.1,64,19,0.3,0,9,14,0.6,11,31,31
760420,2026-06-13,2026,group-stage,4398,Qatar,QAT,True,475,Switzerland,1,1,D,,,FT,Levi's Stadium,"Santa Clara, California",67966,12,2,0,0,3,5,32,6,3,0.5,0,0,200,278,0.7,1,9,0.1,64,19,0.3,0,9,14,0.6,11,31,31,11,1,0,1,10,3,68,26,7,0.3,0,1,527,576,0.9,6,35,0.2,35,27,0.8,9,6,8,0.8,7,13,13
760418,2026-06-14,2026,group-stage,580,Scotland,SCO,False,2654,Haiti,1,0,W,,,FT,Gillette Stadium,"Foxborough, Massachusetts",64146,21,3,0,1,3,2,46.3,9,2,0.2,0,0,307,374,0.8,5,14,0.4,58,30,0.5,2,5,12,0.4,6,17,17,23,1,0,3,4,1,53.7,15,2,0.1,0,0,367,431,0.9,5,23,0.2,59,26,0.4,4,7,12,0.6,6,20,20
760418,2026-06-14,2026,group-stage,2654,Haiti,HAI,True,580,Scotland,0,1,L,,,FT,Gillette Stadium,"Foxborough, Massachusetts",64146,23,1,0,3,4,1,53.7,15,2,0.1,0,0,367,431,0.9,5,23,0.2,59,26,0.4,4,7,12,0.6,6,20,20,21,3,0,1,3,2,46.3,9,2,0.2,0,0,307,374,0.8,5,14,0.4,58,30,0.5,2,5,12,0.4,6,17,17
760421,2026-06-14,2026,group-stage,465,Türkiye,TUR,False,628,Australia,0,2,L,,,FT,BC Place,Vancouver,52497,4,1,0,3,8,2,71.6,30,8,0.3,0,0,635,704,0.9,2,26,0.1,28,19,0.7,12,8,12,0.7,4,29,29,12,0,0,1,5,8,28.4,9,4,0.4,0,0,201,271,0.7,4,14,0.3,58,16,0.3,1,5,15,0.3,7,55,55
760421,2026-06-14,2026,group-stage,628,Australia,AUS,True,465,Türkiye,2,0,W,,,FT,BC Place,Vancouver,52497,12,0,0,1,5,8,28.4,9,4,0.4,0,0,201,271,0.7,4,14,0.3,58,16,0.3,1,5,15,0.3,7,55,55,4,1,0,3,8,2,71.6,30,8,0.3,0,0,635,704,0.9,2,26,0.1,28,19,0.7,12,8,12,0.7,4,29,29
760422,2026-06-14,2026,group-stage,11678,Curaçao,CUW,False,481,Germany,1,7,L,,,FT,NRG Stadium,"Houston, Texas",68021,11,0,0,1,1,4,35.4,8,2,0.3,0,0,282,343,0.8,2,7,0.3,44,17,0.4,0,8,16,0.5,16,25,25,18,0,0,0,8,1,64.6,26,12,0.5,0,1,554,637,0.9,5,12,0.4,25,12,0.5,8,13,19,0.7,12,8,8
