team,conf,yusag_coeff,sor,wab,qual_bonus,yusag_rank,sor_rank,resume_rank,wab_rank,blend,avg,odds,autobid,atlarge,seed_overall,seed_line,first4
Houston,Big 12,24.420195,4.3741999,8.4650002,236.8,1,2,2,2,1.75,1.75,99.989998,TRUE,FALSE,1,1,FALSE
Purdue,Big 10,23.263723,5.05444,9.5188885,241.20799,3,1,1,1,1.5,1.5,99.989998,TRUE,FALSE,2,1,FALSE
UConn,Big East,22.597929,3.66452,7.6290002,233.58,4,3,3,3,3.25,3.25,99.989998,TRUE,FALSE,3,1,FALSE
Tennessee,SEC,21.771729,1.3808399,5.4990001,176.94,6,4,4,4,4.5,4.5,99.989998,TRUE,FALSE,4,1,FALSE
North Carolina,ACC,19.592327,0.40011999,4.592,170.53999,10,7,5,7,6.8000002,7.25,99.88163,TRUE,FALSE,5,2,FALSE
Marquette,Big East,18.205263,0.34904,4.4973335,170.36,15,8,6,9,8.9250002,9.5,99.859222,FALSE,TRUE,6,2,FALSE
Arizona,Pac 12,24.214678,0.5248,4.5532222,139.48801,2,6,12,8,8.1000004,7,99.799004,TRUE,FALSE,7,2,FALSE
Iowa St.,Big 12,19.782421,0.91992003,4.7293334,161.72,8,5,7,5,6.6999998,6.25,99.84153,FALSE,TRUE,8,2,FALSE
Baylor,Big 12,18.88711,0.14404,4.622889,142.24001,11,9,11,6,10.075,9.25,99.770531,FALSE,TRUE,9,3,FALSE
Duke,ACC,19.616018,-0.1486,3.5564444,144.46001,9,11,9,11,9.5500002,10,99.721519,FALSE,TRUE,10,3,FALSE
Creighton,Big East,18.760998,-1.01884,3.174,152.16,12,14,8,12,10.4,11.5,99.7034,FALSE,TRUE,11,3,FALSE
Kansas,Big 12,17.321941,-0.022840001,4.2235556,143.12,16,10,10,10,11.5,11.5,99.729462,FALSE,TRUE,12,3,FALSE
Auburn,SEC,21.831961,-0.97071999,2.635,98.117996,5,13,16,16,12.8,12.5,99.384247,FALSE,TRUE,13,4,FALSE
Illinois,Big 10,18.281082,-1.2036,2.7138889,113.38,14,15,14,14,14.15,14.25,99.436592,FALSE,TRUE,14,4,FALSE
Alabama,SEC,20.388779,-1.44472,2.6495554,67.316002,7,18,29,15,20.1,17.25,99.229126,FALSE,TRUE,15,4,FALSE
BYU,Big 12,18.357225,-1.58672,2.2898889,119.238,13,20,13,17,14.55,15.75,99.182449,FALSE,TRUE,16,4,FALSE
San Diego St.,MWC,15.113007,-1.65584,2.1165555,89.167999,21,22,17,18,18.875,19.5,99.139252,TRUE,FALSE,17,5,FALSE
