id,season,week,seasonType,startDate,completed,neutralSite,conferenceGame,venue,homeTeam,homeConference,homePoints,homeLineScores,awayTeam,awayConference,awayPoints,awayLineScores
401282714,2021,1,regular,2021-08-28T17:20:00.000Z,1,0,1,"Memorial Stadium (Champaign, IL)",Illinois,Big Ten,30,"[2, 14, 14, 0]",Nebraska,Big Ten,22,"[0, 9, 7, 6]"
401286187,2021,1,regular,2021-08-28T18:00:00.000Z,1,0,0,Valley Children's Stadium,Fresno State,Mountain West,45,"[7, 24, 7, 7]",UConn,FBS Independents,0,"[0, 0, 0, 0]"
401309833,2021,1,regular,2021-08-28T19:30:00.000Z,1,0,0,Rose Bowl,UCLA,Pac-12,44,"[24, 7, 13, 0]",Hawai'i,Mountain West,10,"[3, 0, 7, 0]"
401282049,2021,1,regular,2021-08-29T01:30:00.000Z,1,0,0,Aggie Memorial Stadium,New Mexico State,FBS Independents,3,"[0, 3, 0, 0]",UTEP,Conference USA,30,"[17, 3, 10, 0]"
401310693,2021,1,regular,2021-08-29T02:00:00.000Z,1,0,0,CEFCU Stadium,San José State,Mountain West,45,"[21, 17, 7, 0]",Southern Utah,Big Sky,14,"[0, 14, 0, 0]"
401282050,2021,1,regular,2021-09-01T23:30:00.000Z,1,1,0,Cramton Bowl,Jacksonville State,AWC,0,"[0, 0, 0, 0]",UAB,Conference USA,31,"[0, 10, 14, 7]"
401309540,2021,1,regular,2021-09-02T23:00:00.000Z,1,0,0,Scheumann Stadium,Ball State,Mid-American,31,"[7, 0, 14, 10]",Western Illinois,MVFC,21,"[0, 7, 7, 7]"
401300995,2021,1,regular,2021-09-02T23:00:00.000Z,1,0,0,FBC Mortgage Stadium,UCF,American Athletic,36,"[0, 14, 14, 8]",Boise State,Mountain West,31,"[14, 10, 0, 7]"
401309542,2021,1,regular,2021-09-02T23:00:00.000Z,1,0,0,UB Stadium,Buffalo,Mid-American,69,"[14, 24, 21, 10]",Wagner,NEC,7,"[0, 0, 0, 7]"
401328545,2021,1,regular,2021-09-02T23:00:00.000Z,1,0,0,Brooks Stadium (SC),Coastal Carolina,Sun Belt,52,"[7, 24, 14, 7]",The Citadel,Southern,14,"[0, 0, 7, 7]"
401300994,2021,1,regular,2021-09-02T23:30:00.000Z,1,0,0,Chapman Stadium,Tulsa,American Athletic,17,"[3, 7, 7, 0]",UC Davis,Big Sky,19,"[7, 3, 3, 6]"
401300993,2021,1,regular,2021-09-02T23:30:00.000Z,1,0,0,Kidd Brewer Stadium,App State,Sun Belt,33,"[14, 6, 7, 6]",East Carolina,American Athletic,19,"[6, 0, 3, 10]"
401282607,2021,1,regular,2021-09-02T23:30:00.000Z,1,0,0,Carter-Finley Stadium,NC State,ACC,45,"[10, 14, 14, 7]",South Florida,American Athletic,0,"[0, 0, 0, 0]"
401309834,2021,1,regular,2021-09-02T23:30:00.000Z,1,0,0,Rice-Eccles Stadium,Utah,Pac-12,40,"[13, 6, 7, 14]",Weber State,Big Sky,17,"[7, 0, 3, 7]"
401281952,2021,1,regular,2021-09-03T00:00:00.000Z,1,0,0,Neyland Stadium,Tennessee,SEC,38,"[14, 0, 14, 10]",Bowling Green,Mid-American,6,"[0, 6, 0, 0]"
401310696,2021,1,regular,2021-09-03T00:00:00.000Z,1,0,0,University Stadium (NM),New Mexico,Mountain West,27,"[14, 7, 3, 3]",Houston Christian,Southland,17,"[0, 10, 0, 7]"
401282789,2021,1,regular,2021-09-03T00:00:00.000Z,1,0,1,Huntington Bank Stadium,Minnesota,Big Ten,31,"[0, 14, 7, 10]",Ohio State,Big Ten,45,"[7, 3, 21, 14]"
401282180,2021,1,regular,2021-09-03T00:00:00.000Z,1,0,0,Houchens Industries-L.T. Smith Stadium,Western Kentucky,Conference USA,59,"[7, 21, 17, 14]",UT Martin,OVC,21,"[7, 7, 0, 7]"
401282051,2021,1,regular,2021-09-03T00:05:00.000Z,1,0,0,FIU Stadium,Florida International,Conference USA,48,"[21, 7, 10, 10]",Long Island University,NEC,10,"[0, 10, 0, 0]"
401310694,2021,1,regular,2021-09-03T02:00:00.000Z,1,0,0,Allegiant Stadium,UNLV,Mountain West,33,"[0, 6, 0, 14, 7, 6]",Eastern Washington,Big Sky,35,"[0, 3, 17, 0, 7, 8]"
401309835,2021,1,regular,2021-09-03T02:30:00.000Z,1,0,0,Mountain America Stadium,Arizona State,Pac-12,41,"[13, 15, 6, 7]",Southern Utah,Big Sky,14,"[7, 0, 7, 0]"
401309937,2021,1,regular,2021-09-03T22:00:00.000Z,1,0,1,Lane Stadium,Virginia Tech,ACC,17,"[7, 7, 0, 3]",North Carolina,ACC,10,"[0, 0, 7, 3]"
401282608,2021,1,regular,2021-09-03T23:00:00.000Z,1,0,0,Allegacy Federal Credit Union Stadium,Wake Forest,ACC,42,"[14, 14, 7, 7]",Old Dominion,Conference USA,10,"[3, 0, 0, 7]"
401282052,2021,1,regular,2021-09-03T23:00:00.000Z,1,0,0,Jerry Richardson Stadium,Charlotte,Conference USA,31,"[7, 3, 7, 14]",Duke,ACC,28,"[0, 14, 0, 14]"
401309541,2021,1,regular,2021-09-03T23:00:00.000Z,1,0,0,Rynearson Stadium,Eastern Michigan,Mid-American,35,"[14, 14, 7, 0]",St. Francis (PA),NEC,15,"[0, 7, 0, 8]"
401287888,2021,1,regular,2021-09-04T00:00:00.000Z,1,0,0,Memorial Stadium,Kansas,Big 12,17,"[0, 7, 3, 7]",South Dakota,MVFC,14,"[0, 0, 7, 7]"
401309836,2021,1,regular,2021-09-04T01:00:00.000Z,1,0,0,Folsom Field,Colorado,Pac-12,35,"[0, 14, 7, 14]",Northern Colorado,Big Sky,7,"[0, 0, 7, 0]"
401310695,2021,1,regular,2021-09-04T01:00:00.000Z,1,0,0,Canvas Stadium,Colorado State,Mountain West,23,"[0, 10, 0, 13]",South Dakota State,MVFC,42,"[7, 14, 14, 7]"
401282782,2021,1,regular,2021-09-04T01:00:00.000Z,1,0,1,Ryan Field,Northwestern,Big Ten,21,"[0, 7, 0, 14]",Michigan State,Big Ten,38,"[14, 7, 7, 10]"
401287894,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,"Memorial Stadium (Norman, OK)",Oklahoma,Big 12,40,"[14, 23, 3, 0]",Tulane,American Athletic,35,"[14, 0, 8, 13]"
401327913,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,"Memorial Stadium (Lincoln, NE)",Nebraska,Big Ten,52,"[7, 17, 14, 14]",Fordham,Patriot,7,"[0, 7, 0, 0]"
401282772,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,Michigan Stadium,Michigan,Big Ten,47,"[10, 17, 6, 14]",Western Michigan,Mid-American,14,"[7, 0, 0, 7]"
401282609,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,"Alumni Stadium (Chestnut Hill, MA)",Boston College,ACC,51,"[7, 20, 3, 21]",Colgate,Patriot,0,"[0, 0, 0, 0]"
401281947,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,Kroger Field,Kentucky,SEC,45,"[14, 14, 3, 14]",UL Monroe,Sun Belt,10,"[7, 0, 0, 3]"
401282815,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,1,Camp Randall Stadium,Wisconsin,Big Ten,10,"[0, 0, 7, 3]",Penn State,Big Ten,16,"[0, 0, 7, 9]"
401282822,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,SHI Stadium,Rutgers,Big Ten,61,"[12, 14, 14, 21]",Temple,American Athletic,14,"[0, 7, 7, 0]"
401309601,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,Center Parc Stadium,Georgia State,Sun Belt,10,"[0, 7, 3, 0]",Army,FBS Independents,43,"[14, 13, 6, 10]"
401287889,2021,1,regular,2021-09-04T16:00:00.000Z,1,1,0,AT&T Stadium,Kansas State,Big 12,24,"[7, 7, 0, 10]",Stanford,Pac-12,7,"[0, 0, 0, 7]"
401286188,2021,1,regular,2021-09-04T16:00:00.000Z,1,0,0,Pratt & Whitney Stadium,UConn,FBS Independents,28,"[14, 7, 7, 0]",Holy Cross,Patriot,38,"[7, 17, 7, 7]"
401309838,2021,1,regular,2021-09-04T18:00:00.000Z,1,0,0,Autzen Stadium,Oregon,Pac-12,31,"[14, 7, 0, 10]",Fresno State,Mountain West,24,"[0, 13, 8, 3]"
401310861,2021,1,regular,2021-09-04T18:00:00.000Z,1,0,0,Falcon Stadium,Air Force,Mountain West,35,"[14, 14, 0, 7]",Lafayette,Patriot,14,"[0, 7, 7, 0]"
401281943,2021,1,regular,2021-09-04T18:00:00.000Z,1,0,0,Razorback Stadium,Arkansas,SEC,38,"[7, 0, 10, 21]",Rice,Conference USA,17,"[0, 10, 7, 0]"
401300996,2021,1,regular,2021-09-04T19:30:00.000Z,1,0,0,Nippert Stadium,Cincinnati,American Athletic,49,"[21, 14, 0, 14]",Miami (OH),Mid-American,14,"[0, 0, 0, 14]"
401282174,2021,1,regular,2021-09-04T19:30:00.000Z,1,0,0,Navy-Marine Corps Memorial Stadium,Navy,American Athletic,7,"[0, 0, 0, 7]",Marshall,Conference USA,49,"[14, 7, 7, 21]"
401281942,2021,1,regular,2021-09-04T19:30:00.000Z,1,1,0,Mercedes-Benz Stadium,Miami,ACC,13,"[0, 3, 10, 0]",Alabama,SEC,44,"[10, 17, 14, 3]"
401282723,2021,1,regular,2021-09-04T19:30:00.000Z,1,0,1,Kinnick Stadium,Iowa,Big Ten,34,"[14, 17, 0, 3]",Indiana,Big Ten,6,"[3, 0, 3, 0]"
401282764,2021,1,regular,2021-09-04T19:30:00.000Z,1,0,0,SECU Stadium,Maryland,Big Ten,30,"[17, 3, 0, 10]",West Virginia,Big 12,24,"[14, 7, 0, 3]"
401310697,2021,1,regular,2021-09-04T20:00:00.000Z,1,0,0,War Memorial Stadium,Wyoming,Mountain West,19,"[0, 3, 0, 16]",Montana State,Big Sky,16,"[7, 0, 0, 9]"
