season,week,home_team,home_id,home_conference,home_points,home_pregame_elo,home_postgame_elo,away_team,away_id,away_conference,away_points,away_pregame_elo,away_postgame_elo,conference_game,margin
2015,11,Central Michigan,2117,Mid-American,23,1512.0,1514.0,Toledo,2649,Mid-American,28,1664.0,1662.0,1,-5
2015,11,Ohio,195,Mid-American,27,1211.0,1265.0,Kent State,2309,Mid-American,0,1075.0,1021.0,1,27
2015,11,Western Michigan,2711,Mid-American,27,1629.0,1607.0,Bowling Green,189,Mid-American,41,1735.0,1757.0,1,-14
2015,11,Buffalo,2084,Mid-American,30,1335.0,1333.0,Northern Illinois,2459,Mid-American,41,1588.0,1590.0,1,-11
2015,11,Georgia Tech,59,ACC,21,1703.0,1697.0,Virginia Tech,259,ACC,23,1647.0,1653.0,1,-2
2015,11,South Alabama,6,Sun Belt,32,1144.0,1165.0,Louisiana,309,Sun Belt,25,1330.0,1309.0,1,7
2015,11,Colorado,38,Pac-12,24,1368.0,1391.0,USC,30,Pac-12,27,1877.0,1854.0,1,-3
2015,11,TCU,2628,Big 12,23,1954.0,1922.0,Kansas,2305,Big 12,17,966.0,998.0,1,6
2015,11,Michigan State,127,Big Ten,24,1850.0,1846.0,Maryland,120,Big Ten,7,1379.0,1383.0,1,17
2015,11,South Carolina,2579,SEC,14,1555.0,1561.0,Florida,57,SEC,24,1888.0,1882.0,1,-10
2015,11,Illinois,356,Big Ten,3,1452.0,1451.0,Ohio State,194,Big Ten,28,2070.0,2071.0,1,-25
2015,11,West Virginia,277,Big 12,38,1668.0,1692.0,Texas,251,Big 12,20,1494.0,1470.0,1,18
2015,11,Georgetown,46,Patriot,31,,,Fordham,2230,Patriot,38,,,1,-7
2015,11,Duke,150,ACC,13,1602.0,1553.0,Pittsburgh,221,ACC,31,1554.0,1603.0,1,-18
2015,11,Tennessee,2633,SEC,24,1746.0,1738.0,North Texas,249,Conference USA,0,1054.0,1062.0,0,24
2015,11,Auburn,2,SEC,13,1695.0,1689.0,Georgia,61,SEC,20,1792.0,1798.0,1,-7
2015,11,Davidson,2166,Pioneer,10,,,San Diego,301,Pioneer,35,,,1,-25
2015,11,Wagner,2681,NEC,28,,,Central Connecticut,2115,NEC,7,,,1,21
2015,11,St. Francis (PA),2598,NEC,21,,,Robert Morris,2523,NEC,0,,,1,21
2015,11,Bryant,2803,NEC,19,,,Sacred Heart,2529,NEC,28,,,1,-9
2015,11,Harvard,108,Ivy,25,,,Pennsylvania,219,Ivy,35,,,1,-10
2015,11,Northwestern,77,Big Ten,21,1492.0,1488.0,Purdue,2509,Big Ten,14,1234.0,1238.0,1,7
2015,11,Miami (OH),193,Mid-American,28,1020.0,1019.0,Akron,2006,Mid-American,37,1232.0,1233.0,1,-9
2015,11,Old Dominion,295,Conference USA,31,1097.0,1111.0,UTEP,2638,Conference USA,21,1053.0,1039.0,1,10
2015,11,Florida Atlantic,2226,Conference USA,17,1278.0,1277.0,Middle Tennessee,2393,Conference USA,24,1442.0,1443.0,1,-7
2015,11,Army,349,FBS Independents,31,1231.0,1220.0,Tulane,2655,American Athletic,34,1127.0,1138.0,0,-3
2015,11,Monmouth,2405,Big South,21,,,Presbyterian,2506,Big South,16,,,1,5
2015,11,Rhode Island,227,CAA,7,,,Stony Brook,2619,CAA,19,,,1,-12
2015,11,Florida State,52,ACC,34,1850.0,1872.0,NC State,152,ACC,17,1686.0,1664.0,1,17
2015,11,Brown,225,Ivy,18,,,Dartmouth,159,Ivy,34,,,1,-16
2015,11,Maine,311,CAA,22,,,Elon,2210,CAA,27,,,1,-5
2015,11,Cornell,172,Ivy,3,,,Columbia,171,Ivy,0,,,1,3
2015,11,Louisville,97,ACC,38,1666.0,1662.0,Virginia,258,ACC,31,1407.0,1411.0,1,7
2015,11,North Carolina A&T,2448,MEAC,27,,,Delaware State,2169,MEAC,6,,,1,21
2015,11,Savannah St,2542,MEAC,3,,,Hampton,2261,MEAC,42,,,1,-39
2015,11,Bucknell,2083,Patriot,7,,,Holy Cross,107,Patriot,23,,,1,-16
2015,11,Colgate,2142,Patriot,49,,,Lehigh,2329,Patriot,42,,,1,7
2015,11,Princeton,163,Ivy,28,,,Yale,43,Ivy,35,,,1,-7
2015,11,Dayton,2168,Pioneer,28,,,Marist,2368,Pioneer,21,,,1,7
2015,11,Campbell,2097,Pioneer,14,,,Jacksonville,294,Pioneer,20,,,1,-6
2015,11,Howard,47,MEAC,6,,,North Carolina Central,2428,MEAC,41,,,1,-35
2015,11,Morgan State,2415,MEAC,21,,,Florida A&M,50,MEAC,7,,,1,14
2015,11,Norfolk State,2450,MEAC,10,,,South Carolina State,2569,MEAC,17,,,1,-7
2015,11,Butler,2086,Pioneer,20,,,Drake,2181,Pioneer,13,,,1,7
2015,11,Indiana State,282,MVFC,30,,,Western Illinois,2710,MVFC,37,,,1,-7
2015,11,William & Mary,2729,CAA,31,,,Towson,119,CAA,17,,,1,14
2015,11,Gardner-Webb,2241,Big South,28,,,East Tennessee State,2193,FCS Independents,3,,,0,25
2015,11,Furman,231,Southern,20,,,Mercer,2382,Southern,27,,,1,-7
2015,11,Wofford,2747,Southern,27,,,Samford,2535,Southern,37,,,1,-10
2015,11,South Dakota,233,MVFC,23,,,South Dakota State,2571,MVFC,30,,,1,-7
2015,11,Youngstown State,2754,MVFC,24,,,North Dakota State,2449,MVFC,27,,,1,-3
2015,11,Air Force,2005,Mountain West,35,1586.0,1598.0,Utah State,328,Mountain West,28,1630.0,1618.0,1,7
2015,11,Charlotte,2429,Conference USA,27,1091.0,1091.0,UTSA,2636,Conference USA,30,1160.0,1160.0,1,-3
2015,11,Chattanooga,236,Southern,31,,,The Citadel,2643,Southern,23,,,1,8
2015,11,North Dakota,155,Big Sky,45,,,Northern Colorado,2458,Big Sky,14,,,1,31
2015,11,Texas Southern,2640,SWAC,13,,,Alcorn State,2016,SWAC,65,,,1,-52
2015,11,Murray State,93,OVC,34,,,Eastern Kentucky,2198,OVC,41,,,1,-7
2015,11,Jacksonville State,55,OVC,56,,,Southeast Missouri State,2546,OVC,28,,,1,28
2015,11,Coastal Carolina,324,Big South,45,,,Kennesaw State,338,Big South,13,,,1,32
2015,11,Charleston Southern,2127,Big South,31,,,Liberty,2335,Big South,24,,,1,7
2015,11,Valparaiso,2674,Pioneer,29,,,Morehead State,2413,Pioneer,36,,,1,-7
2015,11,Tennessee Tech,2635,OVC,42,,,Austin Peay,2046,OVC,24,,,1,18
2015,11,Incarnate Word,2916,Southland,21,,,Lamar,2320,Southland,28,,,1,-7
2015,11,Alabama State,2011,SWAC,13,,,Prairie View A&M,2504,SWAC,38,,,1,-25
2015,11,Missouri State,2623,MVFC,0,,,Northern Iowa,2460,MVFC,41,,,1,-41
2015,11,Southern Illinois,79,MVFC,21,,,Illinois State,2287,MVFC,42,,,1,-21
2015,11,Abilene Christian,2000,Southland,21,,,SE Louisiana,2545,Southland,17,,,1,4
2015,11,Stetson,56,Pioneer,60,,,Ave Maria University,3178,,21,,,0,39
2015,11,UT Martin,2630,OVC,21,,,Eastern Illinois,2197,OVC,23,,,1,-2
2015,11,Arizona State,9,Pac-12,27,1621.0,1648.0,Washington,264,Pac-12,17,1751.0,1724.0,1,10
2015,11,Eastern Michigan,2199,Mid-American,17,931.0,926.0,Massachusetts,113,Mid-American,28,1139.0,1144.0,1,-11
2015,11,UL Monroe,2433,Sun Belt,21,1021.0,964.0,Arkansas State,2032,Sun Belt,59,1445.0,1502.0,1,-38
2015,11,Navy,2426,American Athletic,55,1699.0,1748.0,SMU,2567,American Athletic,14,1144.0,1095.0,1,41
2015,11,Indiana,84,Big Ten,41,1414.0,1432.0,Michigan,130,Big Ten,48,1851.0,1833.0,1,-7
2015,11,Sam Houston,2534,Southland,59,,,Northwestern State,2466,Southland,21,,,1,38
2015,11,Iowa State,66,Big 12,31,1395.0,1417.0,Oklahoma State,197,Big 12,35,1874.0,1852.0,1,-4
2015,11,Villanova,222,CAA,21,,,Richmond,257,CAA,20,,,1,1
2015,11,Delaware,48,CAA,21,,,James Madison,256,CAA,24,,,1,-3
2015,11,Syracuse,183,ACC,27,1340.0,1371.0,Clemson,228,ACC,37,2019.0,1988.0,1,-10
2015,11,Rice,242,Conference USA,10,1258.0,1109.0,Southern Miss,2572,Conference USA,65,1437.0,1586.0,1,-55
2015,11,Troy,2653,Sun Belt,10,1343.0,1266.0,Georgia Southern,290,Sun Belt,45,1526.0,1603.0,1,-35
2015,11,Texas Tech,2641,Big 12,59,1538.0,1573.0,Kansas State,2306,Big 12,44,1576.0,1541.0,1,15
2015,11,Rutgers,164,Big Ten,14,1305.0,1301.0,Nebraska,158,Big Ten,31,1687.0,1691.0,1,-17
2015,11,Marshall,276,Conference USA,52,1661.0,1783.0,Florida International,2229,Conference USA,0,1394.0,1272.0,1,52
2015,11,Notre Dame,87,FBS Independents,28,1803.0,1804.0,Wake Forest,154,ACC,7,1289.0,1288.0,0,21
2015,11,Mississippi State,344,SEC,6,1855.0,1811.0,Alabama,333,SEC,31,2054.0,2098.0,1,-25
2015,11,North Carolina,153,ACC,59,1786.0,1857.0,Miami,2390,ACC,21,1494.0,1423.0,1,38
2015,11,Montana,149,Big Sky,57,,,Eastern Washington,331,Big Sky,16,,,1,41
2015,11,Arkansas-Pine Bluff,2029,SWAC,31,,,Grambling,2755,SWAC,49,,,1,-18
2015,11,Texas State,326,Sun Belt,19,1119.0,1063.0,Georgia State,2247,Sun Belt,41,1129.0,1185.0,1,-22
