season,season_type,week,poll,rank,school,conference,first_place_votes
2014,regular,1,AP Top 25,1,Florida State,ACC,57
2014,regular,1,AP Top 25,2,Alabama,SEC,1
2014,regular,1,AP Top 25,3,Oregon,Pac-12,1
2014,regular,1,AP Top 25,4,Oklahoma,Big 12,1
2014,regular,1,AP Top 25,5,Ohio State,Big Ten,0
2014,regular,1,AP Top 25,6,Auburn,SEC,0
2014,regular,1,AP Top 25,7,UCLA,Pac-12,0
2014,regular,1,AP Top 25,8,Michigan State,Big Ten,0
2014,regular,1,AP Top 25,9,South Carolina,SEC,0
2014,regular,1,AP Top 25,10,Baylor,Big 12,0
2014,regular,1,AP Top 25,11,Stanford,Pac-12,0
2014,regular,1,AP Top 25,12,Georgia,SEC,0
2014,regular,1,AP Top 25,13,LSU,SEC,0
2014,regular,1,AP Top 25,14,Wisconsin,Big Ten,0
2014,regular,1,AP Top 25,15,USC,Pac-12,0
2014,regular,1,AP Top 25,16,Clemson,ACC,0
2014,regular,1,AP Top 25,17,Notre Dame,FBS Independents,0
2014,regular,1,AP Top 25,18,Ole Miss,SEC,0
2014,regular,1,AP Top 25,19,Arizona State,Pac-12,0
2014,regular,1,AP Top 25,20,Kansas State,Big 12,0
2014,regular,1,AP Top 25,21,Texas A&M,SEC,0
2014,regular,1,AP Top 25,22,Nebraska,Big Ten,0
2014,regular,1,AP Top 25,23,North Carolina,ACC,0
2014,regular,1,AP Top 25,24,Missouri,SEC,0
2014,regular,1,AP Top 25,25,Washington,Pac-12,0
2014,regular,1,Coaches Poll,1,Florida State,ACC,56
2014,regular,1,Coaches Poll,2,Alabama,SEC,0
2014,regular,1,Coaches Poll,3,Oklahoma,Big 12,3
2014,regular,1,Coaches Poll,4,Oregon,Pac-12,1
2014,regular,1,Coaches Poll,5,Auburn,SEC,0
2014,regular,1,Coaches Poll,6,Ohio State,Big Ten,1
2014,regular,1,Coaches Poll,7,UCLA,Pac-12,0
2014,regular,1,Coaches Poll,8,Michigan State,Big Ten,0
2014,regular,1,Coaches Poll,9,South Carolina,SEC,1
2014,regular,1,Coaches Poll,10,Baylor,Big 12,0
2014,regular,1,Coaches Poll,11,Stanford,Pac-12,0
2014,regular,1,Coaches Poll,12,Georgia,SEC,0
2014,regular,1,Coaches Poll,13,LSU,SEC,0
2014,regular,1,Coaches Poll,14,Wisconsin,Big Ten,0
2014,regular,1,Coaches Poll,15,USC,Pac-12,0
2014,regular,1,Coaches Poll,16,Clemson,ACC,0
2014,regular,1,Coaches Poll,17,Notre Dame,FBS Independents,0
2014,regular,1,Coaches Poll,18,Arizona State,Pac-12,0
2014,regular,1,Coaches Poll,19,Ole Miss,SEC,0
2014,regular,1,Coaches Poll,20,Texas A&M,SEC,0
2014,regular,1,Coaches Poll,21,Kansas State,Big 12,0
2014,regular,1,Coaches Poll,22,Nebraska,Big Ten,0
2014,regular,1,Coaches Poll,23,North Carolina,ACC,0
2014,regular,1,Coaches Poll,24,Texas,Big 12,0
2014,regular,1,Coaches Poll,25,Washington,Pac-12,0
2014,regular,1,FCS Coaches Poll,1,North Dakota State,MVFC,24
2014,regular,1,FCS Coaches Poll,2,Eastern Washington,Big Sky,2
2014,regular,1,FCS Coaches Poll,3,SE Louisiana,Southland,0
2014,regular,1,FCS Coaches Poll,4,Coastal Carolina,Big South,0
2014,regular,1,FCS Coaches Poll,5,Montana,Big Sky,0
2014,regular,1,FCS Coaches Poll,6,McNeese,Southland,0
2014,regular,1,FCS Coaches Poll,7,Villanova,CAA,0
2014,regular,1,FCS Coaches Poll,8,New Hampshire,CAA,0
2014,regular,1,FCS Coaches Poll,9,Jacksonville State,OVC,0
2014,regular,1,FCS Coaches Poll,10,Fordham,Patriot,0
2014,regular,1,FCS Coaches Poll,11,South Dakota State,MVFC,0
2014,regular,1,FCS Coaches Poll,12,Northern Iowa,MVFC,0
2014,regular,1,FCS Coaches Poll,13,Sam Houston,Southland,0
2014,regular,1,FCS Coaches Poll,14,Eastern Illinois,OVC,0
2014,regular,1,FCS Coaches Poll,15,Chattanooga,Southern,0
2014,regular,1,FCS Coaches Poll,16,Tennessee State,OVC,0
2014,regular,1,FCS Coaches Poll,17,Furman,Southern,0
2014,regular,1,FCS Coaches Poll,18,Bethune-Cookman,MEAC,0
2014,regular,1,FCS Coaches Poll,19,Towson,CAA,0
2014,regular,1,FCS Coaches Poll,20,Richmond,CAA,0
2014,regular,1,FCS Coaches Poll,21,Youngstown State,MVFC,0
2014,regular,1,FCS Coaches Poll,22,Maine,CAA,0
2014,regular,1,FCS Coaches Poll,23,Montana State,Big Sky,0
2014,regular,1,FCS Coaches Poll,24,William & Mary,CAA,0
2014,regular,1,FCS Coaches Poll,25,Southern Illinois,MVFC,0
2014,regular,2,AP Top 25,1,Florida State,ACC,49
2014,regular,2,AP Top 25,2,Alabama,SEC,1
2014,regular,2,AP Top 25,3,Oregon,Pac-12,5
2014,regular,2,AP Top 25,4,Oklahoma,Big 12,2
2014,regular,2,AP Top 25,5,Auburn,SEC,0
2014,regular,2,AP Top 25,6,Georgia,SEC,2
2014,regular,2,AP Top 25,7,Michigan State,Big Ten,0
2014,regular,2,AP Top 25,8,Ohio State,Big Ten,0
2014,regular,2,AP Top 25,9,Texas A&M,SEC,2
2014,regular,2,AP Top 25,10,Baylor,Big 12,0
2014,regular,2,AP Top 25,11,UCLA,Pac-12,0
2014,regular,2,AP Top 25,12,LSU,SEC,1
2014,regular,2,AP Top 25,13,Stanford,Pac-12,0
2014,regular,2,AP Top 25,14,USC,Pac-12,0
2014,regular,2,AP Top 25,15,Ole Miss,SEC,0
2014,regular,2,AP Top 25,16,Notre Dame,FBS Independents,0
2014,regular,2,AP Top 25,17,Arizona State,Pac-12,0
2014,regular,2,AP Top 25,18,Wisconsin,Big Ten,0
2014,regular,2,AP Top 25,19,Nebraska,Big Ten,0
2014,regular,2,AP Top 25,20,Kansas State,Big 12,0
2014,regular,2,AP Top 25,21,South Carolina,SEC,0
2014,regular,2,AP Top 25,21,North Carolina,ACC,0
2014,regular,2,AP Top 25,23,Clemson,ACC,0
2014,regular,2,AP Top 25,24,Missouri,SEC,0
2014,regular,2,AP Top 25,25,Louisville,ACC,0
2014,regular,2,Coaches Poll,1,Florida State,ACC,57
2014,regular,2,Coaches Poll,2,Alabama,SEC,0
2014,regular,2,Coaches Poll,3,Oklahoma,Big 12,2
2014,regular,2,Coaches Poll,4,Oregon,Pac-12,2
2014,regular,2,Coaches Poll,5,Auburn,SEC,0
2014,regular,2,Coaches Poll,6,Michigan State,Big Ten,0
