season,seasonType,week,poll,rank,team,conference,points
2023,regular,1,AFCA Division II Coaches Poll,1,Ferris State,GLIAC,725
2023,regular,1,AFCA Division II Coaches Poll,2,Colorado School Of Mines,Rocky Mountain,642
2023,regular,1,AFCA Division II Coaches Poll,3,Grand Valley State University,GLIAC,641
2023,regular,1,AFCA Division II Coaches Poll,4,Pittsburg St,Mid America,633
2023,regular,1,AFCA Division II Coaches Poll,5,Angelo State,Lone Star,590
2023,regular,1,AFCA Division II Coaches Poll,6,Northwest Missouri St,Mid America,560
2023,regular,1,AFCA Division II Coaches Poll,7,West Florida,Gulf South,482
2023,regular,1,AFCA Division II Coaches Poll,8,Ouachita Baptist,Great American,455
2023,regular,1,AFCA Division II Coaches Poll,9,Minnesota State Mankato,Northern Sun,450
2023,regular,1,AFCA Division II Coaches Poll,10,Delta State,Gulf South,438
2023,regular,1,AFCA Division II Coaches Poll,11,Bemidji State,Northern Sun,420
2023,regular,1,AFCA Division II Coaches Poll,12,Ashland,Great Midwest Athletic,387
2023,regular,1,AFCA Division II Coaches Poll,13,Shepherd,Pennsylvania State Athletic,359
2023,regular,1,AFCA Division II Coaches Poll,14,Harding University,Great American,305
2023,regular,1,AFCA Division II Coaches Poll,15,Slippery Rock,Pennsylvania State Athletic,304
2023,regular,1,AFCA Division II Coaches Poll,16,Indiana-Pennsylvania,Pennsylvania State Athletic,300
2023,regular,1,AFCA Division II Coaches Poll,17,Benedict College,SIAC,232
2023,regular,1,AFCA Division II Coaches Poll,18,Virginia Union,CIAA,200
2023,regular,1,AFCA Division II Coaches Poll,19,Emporia State University,Mid America,187
2023,regular,1,AFCA Division II Coaches Poll,20,Indianapolis,Great Lakes,149
2023,regular,1,AFCA Division II Coaches Poll,21,Wingate,South Atlantic,147
2023,regular,1,AFCA Division II Coaches Poll,22,West Georgia,Gulf South,146
2023,regular,1,AFCA Division II Coaches Poll,23,Assumption,Northeast 10,132
2023,regular,1,AFCA Division II Coaches Poll,24,Newberry,South Atlantic,131
2023,regular,1,AFCA Division II Coaches Poll,25,Lenoir-Rhyne,South Atlantic,129
2023,regular,1,AP Top 25,1,Georgia,SEC,1572
2023,regular,1,AP Top 25,2,Michigan,Big Ten,1490
2023,regular,1,AP Top 25,3,Ohio State,Big Ten,1400
2023,regular,1,AP Top 25,4,Alabama,SEC,1398
2023,regular,1,AP Top 25,5,LSU,SEC,1276
2023,regular,1,AP Top 25,6,USC,Pac-12,1245
2023,regular,1,AP Top 25,7,Penn State,Big Ten,1177
2023,regular,1,AP Top 25,8,Florida State,ACC,1147
2023,regular,1,AP Top 25,9,Clemson,ACC,1032
2023,regular,1,AP Top 25,10,Washington,Pac-12,977
2023,regular,1,AP Top 25,11,Texas,Big 12,882
2023,regular,1,AP Top 25,12,Tennessee,SEC,868
2023,regular,1,AP Top 25,13,Notre Dame,FBS Independents,863
2023,regular,1,AP Top 25,14,Utah,Pac-12,811
2023,regular,1,AP Top 25,15,Oregon,Pac-12,732
2023,regular,1,AP Top 25,16,Kansas State,Big 12,501
2023,regular,1,AP Top 25,17,TCU,Big 12,416
2023,regular,1,AP Top 25,18,Oregon State,Pac-12,406
2023,regular,1,AP Top 25,19,Wisconsin,Big Ten,386
2023,regular,1,AP Top 25,20,Oklahoma,Big 12,296
2023,regular,1,AP Top 25,21,North Carolina,ACC,292
2023,regular,1,AP Top 25,22,Ole Miss,SEC,281
2023,regular,1,AP Top 25,23,Texas A&M,SEC,227
2023,regular,1,AP Top 25,24,Tulane,American Athletic,224
2023,regular,1,AP Top 25,25,Iowa,Big Ten,131
2023,regular,1,Coaches Poll,1,Georgia,SEC,1643
2023,regular,1,Coaches Poll,2,Michigan,Big Ten,1510
2023,regular,1,Coaches Poll,3,Alabama,SEC,1489
2023,regular,1,Coaches Poll,4,Ohio State,Big Ten,1485
2023,regular,1,Coaches Poll,5,LSU,SEC,1294
2023,regular,1,Coaches Poll,6,USC,Pac-12,1228
2023,regular,1,Coaches Poll,7,Penn State,Big Ten,1181
2023,regular,1,Coaches Poll,8,Florida State,ACC,1145
2023,regular,1,Coaches Poll,9,Clemson,ACC,1078
2023,regular,1,Coaches Poll,10,Tennessee,SEC,991
2023,regular,1,Coaches Poll,11,Washington,Pac-12,941
2023,regular,1,Coaches Poll,12,Texas,Big 12,848
2023,regular,1,Coaches Poll,13,Notre Dame,FBS Independents,841
2023,regular,1,Coaches Poll,14,Utah,Pac-12,839
2023,regular,1,Coaches Poll,15,Oregon,Pac-12,820
2023,regular,1,Coaches Poll,16,TCU,Big 12,655
2023,regular,1,Coaches Poll,17,Kansas State,Big 12,440
2023,regular,1,Coaches Poll,18,Oregon State,Pac-12,365
2023,regular,1,Coaches Poll,19,Oklahoma,Big 12,320
2023,regular,1,Coaches Poll,20,North Carolina,ACC,315
2023,regular,1,Coaches Poll,21,Wisconsin,Big Ten,309
2023,regular,1,Coaches Poll,22,Ole Miss,SEC,303
2023,regular,1,Coaches Poll,23,Tulane,American Athletic,225
2023,regular,1,Coaches Poll,24,Texas Tech,Big 12,200
2023,regular,1,Coaches Poll,25,Texas A&M,SEC,196
2023,regular,1,FCS Coaches Poll,1,South Dakota State,MVFC,624
2023,regular,1,FCS Coaches Poll,2,North Dakota State,MVFC,596
2023,regular,1,FCS Coaches Poll,3,Montana State,Big Sky,567
2023,regular,1,FCS Coaches Poll,4,William & Mary,CAA,510
2023,regular,1,FCS Coaches Poll,5,Holy Cross,Patriot,459
2023,regular,1,FCS Coaches Poll,6,Furman,Southern,438
2023,regular,1,FCS Coaches Poll,7,Incarnate Word,Southland,424
2023,regular,1,FCS Coaches Poll,8,Sacramento State,Big Sky,421
2023,regular,1,FCS Coaches Poll,9,Samford,Southern,414
2023,regular,1,FCS Coaches Poll,10,Weber State,Big Sky,325
2023,regular,1,FCS Coaches Poll,11,Southeast Missouri State,Big South-OVC,322
2023,regular,1,FCS Coaches Poll,12,New Hampshire,CAA,304
2023,regular,1,FCS Coaches Poll,13,Idaho,Big Sky,288
2023,regular,1,FCS Coaches Poll,14,Montana,Big Sky,285
2023,regular,1,FCS Coaches Poll,15,SE Louisiana,Southland,259
2023,regular,1,FCS Coaches Poll,16,Richmond,CAA,235
2023,regular,1,FCS Coaches Poll,17,UC Davis,Big Sky,226
2023,regular,1,FCS Coaches Poll,18,North Dakota,MVFC,188
2023,regular,1,FCS Coaches Poll,19,North Carolina Central,MEAC,139
2023,regular,1,FCS Coaches Poll,20,Northern Iowa,MVFC,137
2023,regular,1,FCS Coaches Poll,21,Delaware,CAA,124
2023,regular,1,FCS Coaches Poll,22,Mercer,Southern,123
2023,regular,1,FCS Coaches Poll,23,Rhode Island,CAA,73
2023,regular,1,FCS Coaches Poll,24,Gardner-Webb,Big South-OVC,72
2023,regular,1,FCS Coaches Poll,25,Florida A&M,SWAC,70
